# 分析摘要
# 最高相似度: 1.000
# 建議門檻: 0.80 (最高相似度的80%)
# 總食譜組合數: 1035
# 當前分析門檻: 0.3
# 符合門檻組合數: 14
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 187 組相似食譜
# 門檻 0.2: 72 組相似食譜
# 門檻 0.3: 14 組相似食譜
# 門檻 0.4: 8 組相似食譜
# 門檻 0.5: 3 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
475327,餐廳的高麗菜 Part3,469623,高麗菜餅,1.0
474920,餐廳的高麗菜,475063,餐廳的高麗菜Part2,0.69
473157,蒜苗炒高麗菜,473702,三杯雞風味雞胸炒高麗菜,0.575
475601,炒高麗菜,474215,高麗菜炒肉末,0.48
474237,高麗菜封,474215,高麗菜炒肉末,0.477
475601,炒高麗菜,476128,炒高麗菜冬粉,0.451
479753,玉米高麗菜水餃,479116,高麗菜豬肉水餃,0.422
475601,炒高麗菜,473274,蝦米香菇高麗菜,0.413
477399,金沙高麗菜,475601,炒高麗菜,0.395
473157,蒜苗炒高麗菜,468318,高麗菜炒豆皮,0.39
475327,餐廳的高麗菜 Part3,475063,餐廳的高麗菜Part2,0.32
469623,高麗菜餅,475063,餐廳的高麗菜Part2,0.32
478677,魚香高麗菜,474408,高麗菜醬油炒飯,0.309
473843,焗烤高麗菜,473157,蒜苗炒高麗菜,0.304
