id,name,document
463054,豆豉龍鬚菜,龍鬚菜 乾豆豉 蒜頭
477318,龍鬚菜炒破布子,龍鬚菜 破布籽及湯汁 蒜末
461643,龍鬚菜炒燒肉,龍鬚菜 燒肉 雞粉 蒜末
474790,韓式芝麻油拌龍鬚菜,龍鬚菜 紅蘿蔔 杏鮑菇 韓國芝麻油
478828,氣炸雞腿 / 雞油拌龍鬚菜,土雞腿去骨 龍鬚菜 醬油 台灣玉米筍 米酒 地瓜粉 蒜瓣 麵粉 白胡椒粉 五香粉 黑胡椒粉
472123,小魚乾炒龍鬚菜,龍鬚菜 小魚乾 蒜頭
479602,夏日減醣涼料理-胡麻洋蔥絲x龍鬚菜,有機龍鬚菜 洋蔥
454853,破布子炒龍鬚菜,龍鬚菜 破布子
461253,龍鬚菜炒麵🤤,龍鬚菜 番茄 豆包 黃椒 麵條 茭白筍 醬油水
460931,涼拌香鬆龍鬚菜,龍鬚菜 美乃滋 素香鬆
457034,蛋湯龍鬚菜,雞蛋 龍鬚菜 蒜末 辣椒 胡椒粉 米酒
460620,蒜香小魚乾炒龍鬚菜,龍鬚菜 蒜片 魚乾
454208,木魚上湯龍鬚菜,龍鬚菜 柴魚片 醬油 味醂
459614,秀珍菇炒龍鬚菜 / 家常菜,秀珍菇大 龍鬚菜 蒜瓣
454750,香菇肉末炒龍鬚菜,絞肉 新鮮香菇 紅蘿蔔絲 薑絲 蒜頭 白胡椒粉
463114,夏日小菜同樂會-涼拌酪梨龍鬚菜沙拉,酪梨 龍鬚菜 沙拉醬 小磨坊煙燻風味料 蒜頭
451849,鹹水雞拌龍鬚,去骨雞腿肉 龍鬚菜 蒜末 辣椒 雞湯 白芝麻 蔥段 薑片 米酒
462279,夏日小菜同樂會-涼拌泰式打拋龍鬚菜,龍鬚菜 小磨坊泰式打拋醬 蒜頭 紅辣椒 沙拉醬
441386,蒜炒龍鬚菜,龍鬚菜 蒜瓣
442596,京料理 - 涼拌龍鬚菜,龍鬚菜 薑 SB 生蒜泥醬 七味醬 鰹魚調味露 香醋 白芝麻
443635,龍鬚菜炒菇 / 家常菜,龍鬚菜 鴻喜菇 蒜瓣
443669,涼拌龍鬚菜︱夏日必備涼菜,龍鬚菜 醬油 SB 生蒜泥醬 沙拉醬
441641,木耳炒龍鬚 / 健康家常菜,木耳 龍鬚菜 蒜瓣 黑胡椒粒
439285,龍鬚菜玉米筍 / 家常菜,龍鬚菜 玉米筍 蒜瓣 黑胡椒粒
427541,肉醬拌龍鬚,龍鬚菜 絞肉 蒜末 辣椒 辣豆瓣 醬油 米酒 胡椒粉 砂糖 太白粉水粉1大匙水1碗
428231,雪白菇炒龍鬚菜,龍鬚菜 雪白菇 薑絲
438946,龍鬚菜炒木耳 (木耳保鮮分享),龍鬚菜 新鮮木耳 老薑片
423671,清炒龍鬚菜,龍鬚菜 蒜頭
417550,涼拌龍鬚菜,龍鬚菜 蒜末 辣椒 薑片 雞粉 糖
424323,金銀蛋龍鬚,龍鬚菜 皮蛋 鹹蛋 蒜末 醬油 米酒 胡椒粉
415582,龍鬚菜沙拉,龍鬚菜 沙拉醬 堅果碎
418335,龍鬚菜花生粉涼拌菜,龍鬚菜 美奶滋 花生粉
426736,黑木耳炒龍鬚菜 / 家常菜,新鮮黑木耳 龍鬚菜 蒜瓣中型
415987,龍鬚菜炒鴨肝 / 龍鬚菜料理懶人包,鴨肝 龍鬚菜 蒜頭 老薑片 辣椒不吃辣可省略 素蠔油或醬油 米酒
412874,水炒龍鬚菜,龍鬚菜 胡蘿蔔可加可不加 蒜頭
420649,夏日涼拌-龍鬚菜雞肉沙拉,龍鬚菜 雞肉絲 芝麻醬
