# 分析摘要
# 最高相似度: 1.000
# 建議門檻: 0.80 (最高相似度的80%)
# 總食譜組合數: 990
# 當前分析門檻: 0.3
# 符合門檻組合數: 33
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 124 組相似食譜
# 門檻 0.2: 67 組相似食譜
# 門檻 0.3: 33 組相似食譜
# 門檻 0.4: 19 組相似食譜
# 門檻 0.5: 12 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
454040,龍鬚菜佐胡麻醬,419801,胡麻涼拌龍鬚菜沙拉,1.0
459063,胡麻龍鬚菜,454040,龍鬚菜佐胡麻醬,0.657
459063,胡麻龍鬚菜,419801,胡麻涼拌龍鬚菜沙拉,0.657
476062,炒龍鬚菜,424323,金銀蛋龍鬚,0.607
459614,秀珍菇炒龍鬚菜 / 家常菜,441386,蒜炒龍鬚菜,0.581
441386,蒜炒龍鬚菜,443635,龍鬚菜炒菇 / 家常菜,0.581
441641,木耳炒龍鬚 / 健康家常菜,439285,龍鬚菜玉米筍 / 家常菜,0.569
463054,豆豉龍鬚菜,423671,清炒龍鬚菜,0.553
472123,小魚乾炒龍鬚菜,423671,清炒龍鬚菜,0.553
423671,清炒龍鬚菜,412874,水炒龍鬚菜,0.553
461643,龍鬚菜炒燒肉,417550,涼拌龍鬚菜,0.517
457034,蛋湯龍鬚菜,427541,肉醬拌龍鬚,0.507
457034,蛋湯龍鬚菜,424323,金銀蛋龍鬚,0.485
441386,蒜炒龍鬚菜,441641,木耳炒龍鬚 / 健康家常菜,0.468
441386,蒜炒龍鬚菜,439285,龍鬚菜玉米筍 / 家常菜,0.468
451849,鹹水雞拌龍鬚,417550,涼拌龍鬚菜,0.464
476062,炒龍鬚菜,423671,清炒龍鬚菜,0.461
427541,肉醬拌龍鬚,424323,金銀蛋龍鬚,0.431
442596,京料理 - 涼拌龍鬚菜,443669,涼拌龍鬚菜︱夏日必備涼菜,0.428
457034,蛋湯龍鬚菜,417550,涼拌龍鬚菜,0.384
463114,夏日小菜同樂會-涼拌酪梨龍鬚菜沙拉,423671,清炒龍鬚菜,0.38
462279,夏日小菜同樂會-涼拌泰式打拋龍鬚菜,423671,清炒龍鬚菜,0.38
425606,涼拌龍鬚菜 / 家常菜,426736,黑木耳炒龍鬚菜 / 家常菜,0.378
457034,蛋湯龍鬚菜,451849,鹹水雞拌龍鬚,0.36
463114,夏日小菜同樂會-涼拌酪梨龍鬚菜沙拉,462279,夏日小菜同樂會-涼拌泰式打拋龍鬚菜,0.343
459614,秀珍菇炒龍鬚菜 / 家常菜,443635,龍鬚菜炒菇 / 家常菜,0.337
443669,涼拌龍鬚菜︱夏日必備涼菜,415582,龍鬚菜沙拉,0.309
423671,清炒龍鬚菜,415987,龍鬚菜炒鴨肝 / 龍鬚菜料理懶人包,0.306
463054,豆豉龍鬚菜,472123,小魚乾炒龍鬚菜,0.305
463054,豆豉龍鬚菜,412874,水炒龍鬚菜,0.305
472123,小魚乾炒龍鬚菜,412874,水炒龍鬚菜,0.305
441386,蒜炒龍鬚菜,479581,脆皮燒肉拌飯  (炒飯懶人包),0.305
442055,蒜酥龍鬚菜,479198,繽紛高纖時蔬&雙蛋套餐,0.303
