id,預覽食材,詳細食材
476284,蛤蜊,蛤蜊600g
476284,老薑,老薑適量
476284,九層塔,九層塔少許
476284,米酒,米酒2大匙
476284,食鹽,食鹽1/2茶匙
476284,雞粉,雞粉1/2茶匙
476284,熱水,熱水1公升
474705,超市雞胸肉,超市雞胸肉1盒
474705,九層塔,九層塔1把
474705,米酒,米酒少許
474705,辣椒,辣椒適量
474705,食用油,食用油適量
474705,鹽,鹽適量
478176,雞蛋,雞蛋4顆
478176,九層塔,九層塔1/2手把
478176,蔥餅,蔥餅現成的
478176,鹽,鹽1/6小匙
478176,貝貝南瓜,貝貝南瓜1顆
478176,油,油2小匙
478176,富士蘋果,富士蘋果1顆
478176,冷凍黑莓,冷凍黑莓20顆
478176,冷凍覆盆莓,冷凍覆盆莓20顆
476026,蛤蜊,蛤蜊300g
476026,辣椒,辣椒1根 可不加或加半根
476026,青蔥段,青蔥段少許
476026,九層塔,九層塔一把
476026,薑絲,薑絲一小撮
476026,蒜頭,蒜頭3瓣（拍碎或切末
476026,米酒,米酒2大匙
476026,醬油,醬油1大匙
476026,水,水1～2大匙
476026,食用油,食用油少許
477606,鴨肉,鴨肉0.5隻
477606,鴨胗,鴨胗5個
477606,小黃瓜,小黃瓜2根
477606,小磨坊蒜香九層塔,小磨坊蒜香九層塔適量
477606,紅辣椒,紅辣椒1根
477606,鹽巴,鹽巴0.5小匙
477606,玉米筍,玉米筍10根
477606,蒜頭,蒜頭5瓣
477606,香油,香油1小匙
477606,青蔥,青蔥2根
475123,雞蛋,雞蛋4顆
475123,聖女番茄,聖女番茄100克
475123,乳酪絲,乳酪絲50克
475123,九層塔,九層塔35克
475123,胡椒鹽,胡椒鹽4克
475123,食用油,食用油2小匙
476542,低筋麵粉,低筋麵粉100g
476542,高筋麵粉,高筋麵粉200g
476542,九層塔,九層塔110g
476542,水,水175g
476542,植物油,植物油10g
476542,糖,糖25g
476542,速發酵母,速發酵母3g
476542,胡椒鹽,胡椒鹽3g
476542,白芝麻,白芝麻適量
476542,鹽,鹽3g
475734,新鮮香菇,新鮮香菇10朵
475734,小磨坊蒜香九層塔,小磨坊蒜香九層塔適量
475734,鹽巴,鹽巴1小匙
475734,雞蛋,雞蛋1顆
475734,白胡椒粉,白胡椒粉1小匙
475734,樹薯粉,樹薯粉1大匙
475734,炸油,炸油1杯
470474,排骨,排骨200克
470474,九層塔骨,九層塔骨1小把
470474,鹽巴,鹽巴適量
470474,荸薺,荸薺6顆
470474,白胡椒粉,白胡椒粉少許
470474,黑蠔菇,黑蠔菇1盒
470474,枸杞,枸杞1小把
470474,九層塔,九層塔骨1小把
467048,九層塔,九層塔1把
467048,蒜頭,蒜頭6瓣
467048,橄欖油,橄欖油25毫升
467048,安食小品醬鹽,安食小品醬鹽1小匙
467048,細砂糖,細砂糖1小匙
467048,米酒,米酒1大匙
467048,安食小品黑豆醬油,安食小品黑豆醬油1小匙
467048,麵條,麵條1把
466528,九層塔,九層塔1把
466528,蒜頭,蒜頭6瓣
466528,橄欖油,橄欖油25毫升
466528,安食小品醬鹽,安食小品醬鹽1小匙
466528,細砂糖,細砂糖1小匙
466528,米酒,米酒1大匙
466528,安食小品黑豆醬油,安食小品黑豆醬油1小匙
466528,板豆腐,板豆腐1塊
462631,豬絞肉,豬絞肉300克
462631,義大利ORO去皮切丁罐頭,義大利ORO去皮切丁罐頭100克
462631,醬油,醬油10克
462631,蒜末,蒜末15克
462631,韓國魚露,韓國魚露18克
462631,長辣椒,長辣椒1支
462631,新鮮檸檬汁,新鮮檸檬汁25克
462631,朝天椒,朝天椒1根
462631,二砂糖,二砂糖20克
462631,九層塔,九層塔30克
462631,米酒頭,米酒頭20克
462631,橄欖油,橄欖油15克
466042,吐司,吐司2片
466042,起司,起司1片
466042,蛋,蛋1顆
466042,九層塔,九層塔2株
466042,黑胡椒粒,黑胡椒粒1／10茶匙
466042,奇異果,奇異果1顆
466042,砂糖橘,砂糖橘1顆
466042,熟毛豆莢,熟毛豆莢1／2碗
456490,九層塔葉,九層塔葉適量
456490,雞蛋,雞蛋4顆
456490,鹽巴,鹽巴少許
456490,胡椒粉,胡椒粉少許
462579,板豆腐,板豆腐1盒
462579,起司片,起司片1片
462579,九層塔,九層塔8片
462579,醬油膏,醬油膏1大匙
462579,糖,糖1小匙
461098,湯種麵糊約80克,湯種麵糊約80克80克
461098,水,水75克
461098,高粉,高粉15克
461098,低粉,低粉75克
461098,香蒜醬,香蒜醬個人喜好
461098,鹽,鹽10克
461098,糖,糖45克
461098,速酵,速酵6克
461098,湯種,湯種麵糊約80克80克
461098,九層塔,九層塔20克
461098,冰水,冰水200克
461098,優格,優格100克
456597,蘑菇,蘑菇半盒
456597,有機白舞菇,有機白舞菇半顆
456597,羅漢果糖,羅漢果糖1大匙
456597,九層塔,九層塔1大把
456597,黑豆桑醬油,黑豆桑醬油1大匙
456597,薑,薑10克
456597,麻油,麻油1大匙
466635,牛肉絲,牛肉絲1份
466635,紅辣椒,紅辣椒1條
466635,九層塔,九層塔1包
466635,水,水2大匙
466635,油,油少許
466635,鹽,鹽少許
466635,糖,糖少許
459428,九層塔,九層塔200克
459428,帕馬森起司粉,帕馬森起司粉65克
459428,松子,松子50克
459428,蒜頭,蒜頭65克
459428,鹽巴,鹽巴適量
459428,黑胡椒,黑胡椒適量
459428,橄欖油,橄欖油250毫升
459428,鯷魚,鯷魚24克
468950,雞蛋,雞蛋5顆
468950,九層塔,九層塔一把
468950,韭菜,韭菜2支
468950,鹽巴,鹽巴適量
468950,鰹魚粉,鰹魚粉適量
468950,二砂,二砂適量
453947,蛤蜊,蛤蜊25顆
453947,薑,薑5片
453947,麻油,麻油20克
453947,紅辣椒,紅辣椒2支
453947,醬油,醬油20克
453947,蒜頭,蒜頭3瓣
453947,砂糖,砂糖1小匙
453947,九層塔,九層塔1小把
453947,米酒,米酒20克
452953,雞蛋,雞蛋1顆
452953,義美蛋餅皮,義美蛋餅皮1片
452953,九層塔葉,九層塔葉適量
452953,胡椒鹽,胡椒鹽適量
467438,水手牌法國麵包粉,水手牌法國麵包粉150g
467438,酵母,酵母1.5g
467438,糖,糖15g
467438,鹽,鹽3g
467438,番茄羅勒醬,番茄羅勒醬30g
