id,ingredient,quantity,unit
476284,蛤蜊,600.0,g
476284,老薑,適量,
476284,九層塔,少許,
476284,米酒,2.0,大匙
476284,食鹽,0.5,茶匙
476284,雞粉,0.5,茶匙
476284,熱水,1.0,公升
477239,鮭魚,1.0,片
477239,檸檬,0.25,顆
477239,小磨坊~蒜香九層塔,0.125,茶匙
477239,小磨坊~蒜香九層塔,0.25,茶匙
477239,鹽,0.5,茶匙
477239,米酒,1.0,茶匙
477596,雞蛋,3.0,顆
477596,皮蛋,1.0,顆
477596,鹹蛋,1.0,顆
477596,小磨坊~蒜香九層塔,0.25,茶匙
477596,米酒,1.0,大匙
477596,鹽,0.125,茶匙
474705,超市雞胸肉,1.0,盒
474705,九層塔,1.0,把
474705,米酒,少許,
474705,辣椒,適量,
474705,食用油,適量,
474705,鹽,適量,
478176,雞蛋,4.0,顆
478176,九層塔,0.5,手把
478176,鹽,0.167,小匙
478176,油,2.0,小匙
478176,蔥餅現成的,,
478176,貝貝南瓜,1.0,顆
478176,富士蘋果,1.0,顆
478176,冷凍黑莓,20.0,顆
478176,冷凍覆盆莓,20.0,顆
476026,蛤蜊,300.0,g
476026,辣椒1根 可不加或加,0.5,根
476026,青蔥段,少許,
476026,九層塔,1,把
476026,薑絲一小,撮,
476026,蒜頭,3.0,瓣（拍碎或切末
476026,米酒,2.0,大匙
476026,醬油,1.0,大匙
476026,水,1～2,大匙
476026,食用油,少許,
477606,鴨肉,0.5,隻
477606,鴨胗,5.0,個
477606,小黃瓜,2.0,根
477606,小磨坊蒜香九層塔,適量,
477606,紅辣椒,1.0,根
477606,鹽巴,0.5,小匙
477606,玉米筍,10.0,根
477606,蒜頭,5.0,瓣
477606,香油,1.0,小匙
477606,青蔥,2.0,根
475123,雞蛋,4.0,顆
475123,聖女番茄,100.0,克
475123,乳酪絲,50.0,克
475123,九層塔,35.0,克
475123,胡椒鹽,4.0,克
475123,食用油,2.0,小匙
476542,低筋麵粉,100.0,g
476542,高筋麵粉,200.0,g
476542,水,175.0,g
476542,植物油,10.0,g
476542,速發酵母,3.0,g
476542,糖,25.0,g
476542,鹽,3.0,g
476542,九層塔,110.0,g
476542,植物油,30.0,g
476542,糖,4.0,g
476542,胡椒鹽,3.0,g
476542,糖,15.0,g
476542,水,15.0,g
476542,白芝麻,適量,
