"id";"食譜名稱";"網址";"預覽食材";"詳細食材";"做法";"圖片相對路徑"
"479070";"減脂料理～大黃瓜玉米雞丁";"https://icook.tw/recipes/479070";"玉米、大黃瓜、鹽味雞胸肉、蒜頭、鹽";"玉米1根, 大黃瓜1/4條, 鹽味雞胸肉180克, 蒜頭2瓣, 鹽適量";"準備食材，鹽味雞胸肉是市售現成調味好的雞肉，也可以自行以生雞胸肉泡鹽水的方式先醃漬，水：鹽約100:5，約泡半天，可讓雞胸肉鮮嫩多汁而不柴，再加上適量黑胡椒調味即可 / 大黃瓜削皮去籽切丁 / 刨玉米粒，雞胸肉切成適口塊狀，蒜頭切細末備用 / 倒油爆香蒜末 / 聞到蒜香味後即可放入雞胸肉丁拌炒 / 待雞胸肉煎至表面略微上色即可盛起備用 / 原鍋倒油，再倒入玉米和大黃瓜拌炒，中途加些水，並蓋上鍋蓋燜煮 / 加鹽巴調味，再略微拌炒至食材都熟了 / 最後倒入雞胸肉丁拌炒均勻，即可盛盤上菜";"大黃瓜\479070_減脂料理～大黃瓜玉米雞丁.jpg"
"475843";"大黃瓜蒸肉";"https://icook.tw/recipes/475843";"大黃瓜、絞肉、太白粉、鹽、米酒、香油、水、白胡椒、醬油";"大黃瓜1條, 絞肉200克, 太白粉1大匙, 鹽1小匙, 米酒1小匙, 香油1茶匙, 水少許, 白胡椒少許, 醬油2小匙";"將絞肉加入鹽.香油.米酒.胡椒粉.醬油拌勻，因為醬油與鹽會讓肉變硬，所以再打點水進去。每次的水量一點點，等肉都吸收後再打入下一次的水 / 打完水後加點太白粉增加黏性 / 胡瓜去皮切大段後，去籽，將胡瓜內部灑點太白粉增加黏性 / 將肉餡鑲入胡瓜內，放入電鍋鍋，外鍋放兩杯水，蒸熟即完成";"大黃瓜\475843_大黃瓜蒸肉.jpg"
"477943";"大黃瓜鑲肉";"https://icook.tw/recipes/477943";"大黃瓜、豬絞肉、蝦仁漿、胡蘿蔔、蔥、鹽、胡椒粉、高湯或水";"大黃瓜1條, 豬絞肉200克, 蝦仁漿1條, 胡蘿蔔1小段, 蔥1小段, 鹽1小匙, 胡椒粉適量, 高湯或水100毫升";"胡蘿蔔切末、蔥綠切末，絞肉加蝦仁漿、胡蘿蔔末、蔥末、胡椒粉、鹽，抓勻 / 黃瓜去頭尾切厚片，挖掉瓜囊，中間塞入肉餡整圓 / 鍋子刷一點油把黃瓜排入，加入高湯，蓋蓋小火15分關火再悶15分，撒上蔥花、香油就完成了！";"大黃瓜\477943_大黃瓜鑲肉.jpg"
"476586";"大黃瓜貢丸湯";"https://icook.tw/recipes/476586";"大黃瓜、貢丸、香菜、米酒、白胡椒粒、香油、雞粉、鹽、白胡椒粉、清水";"大黃瓜一條, 貢丸8顆, 香菜2株, 米酒1大匙, 白胡椒粒1大匙, 香油1大匙, 雞粉1茶匙, 鹽1/2茶匙, 白胡椒粉1/4茶匙, 清水1公升";"大黃瓜去皮去籽、切成大塊，白胡椒粒敲碎，加入貢丸、清水燉煮30分鐘（電鍋外鍋1杯水） / 調入鹽、雞粉、白胡椒粉、香油 / 碗中盛取適量熱湯，撒上香菜末即可";"大黃瓜\476586_大黃瓜貢丸湯.jpg"
"475466";"大黃瓜鑲肉";"https://icook.tw/recipes/475466";"大黃瓜、豬絞肉、蔥、乾香菇、紅蘿蔔、鹽、柴魚粉、白胡椒粉、醬油、香油、薑泥、米酒、水、太白粉";"大黃瓜1條, 豬絞肉1碗, 蔥2支, 乾香菇7朵, 紅蘿蔔1小塊, 鹽適量, 柴魚粉1大匙, 白胡椒粉1大匙, 醬油1大匙, 香油1茶匙, 薑泥1小匙, 米酒1大匙, 水適量, 太白粉1大匙";"豬絞肉拌入香菇丁、薑泥、柴魚粉、胡椒粉、米酒、香油及水，順時鐘攪拌至出筋（稍微黏稠狀），再加入蔥花輕輕拌勻 / 將黃瓜洗乾淨，將皮消掉，或是像圖一樣削成斑馬狀，但建議皮不要留太多影響口感，挖掉中間的籽，成空心狀 / 將肉餡塞進去中間的洞裡，盡量扎實，最後呈現突起狀，將黃瓜周圍抹少許太白粉，避免肉餡散開 / 擺入電鍋中，加入水大約蓋住食材一半即可，外鍋約2杯水蒸熟 / 蒸好後可以直接當一道菜吃，也可以加適量水調味煮成湯，最後加點香菜末，香味四溢上桌";"大黃瓜\475466_大黃瓜鑲肉.jpg"
"462759";"大黃瓜炒麵腸";"https://icook.tw/recipes/462759";"大黃瓜、麵腸、雞粉、鹽、糖";"大黃瓜1條, 麵腸2條, 雞粉1大匙, 鹽1小匙, 糖1小匙";"將大黃瓜削皮去籽切片、麵腸斜切備用 / 熱油鍋將麵腸香煎至金黃 / 加入大黃瓜煮至熟透，加入雞粉、鹽、糖調味即可";"大黃瓜\462759_大黃瓜炒麵腸.jpg"
"460567";"大黃瓜排骨湯";"https://icook.tw/recipes/460567";"大黃瓜、排骨、雞粉、鹽、香油";"大黃瓜1條, 排骨300克, 雞粉1小匙, 鹽2茶匙, 香油少許";"將大黃瓜削皮切塊備用、將排骨燙水去血水，撇除浮沫再取出備用 / 湯鍋放入排骨煮滾，轉小火10分鐘 / 加入大黃瓜煮至熟透加入雞粉和鹽調味加入香油拌勻即可上桌";"大黃瓜\460567_大黃瓜排骨湯.jpg"
"478109";"大黃瓜薏仁排骨湯—新手0️⃣失敗";"https://icook.tw/recipes/478109";"排骨、大黃瓜、米酒、薏仁、鹽巴";"排骨500克, 大黃瓜1條, 薏仁30克, 米酒10cc, 鹽巴14克";"大黃瓜削皮滾刀切塊，薏仁泡水 / 排骨冷水下鍋去血水
⚠️冷水下鍋用小火煮比較能逼出血水 / 排骨煮滾加入10cc的米酒去腥 / 把川燙好的排骨用冷水洗乾淨 / 加入1.5公升的清水、大黃瓜、2大勺鹽巴（約7克），放入電鍋，用2杯米杯的水蒸（約360克） / 電鍋跳起來後再加入薏仁和2大勺鹽巴（約7克），用2杯米杯的水再蒸一次（約360克） / 如果想要讓湯有大骨湯的濃醇白湯感，可以放上瓦斯爐用小火燉煮 / 我用鑄鐵鍋在爐上小火燉三小時，湯頭會呈現乳白色，口感喝起來有點大骨湯的感覺";"大黃瓜\478109_大黃瓜薏仁排骨湯—新手0️⃣失敗.jpg"
"468448";"lanni 胡瓜炒蛋";"https://icook.tw/recipes/468448";"胡瓜（切條）、紅蘿蔔絲、鹽,柴魚粉,糖、蛋+蔥+一點鹽（打散）";"胡瓜（切條）1/4/顆, 紅蘿蔔絲適量, 蛋+蔥+一點鹽（打散）2顆, 鹽,柴魚粉,糖適量";"備料 / 將蛋炒散 / 炒好的蛋盛出備用！ / 鍋中補點油,依序入蒜末和紅蘿蔔絲稍拌炒~ / 再加入胡瓜絲拌勻 / 加入少許水 / 蓋上鍋蓋中小火燜煮數分鐘~ / 掀蓋,煮至胡瓜軟~ / 加調味~ / 倒入煎過的蛋塊拌勻~ / 即可盛盤上桌享用囉~";"大黃瓜\468448_lanni_胡瓜炒蛋.jpg"
"469746";"大黃瓜鑲肉";"https://icook.tw/recipes/469746";"大黃瓜、絞肉、芹菜碎、紅蘿蔔碎、醬油、白胡椒粉、地瓜粉";"大黃瓜1條, 絞肉1盒（180g), 芹菜碎適量, 紅蘿蔔碎適量, 醬油2大匙, 白胡椒粉適量, 地瓜粉適量";"備料：芹菜我用半把莖切碎；紅蘿蔔半條切碎；大黃瓜去皮切厚塊（約4～5cm)挖空去籽 / 紅蘿蔔碎和芹菜碎的量如圖 / 內餡：絞肉稍微用刀背剁一下增加筋性 / 用一個鋼盆將絞肉+紅蘿蔔碎+芹菜珠加一點地瓜粉攪拌均勻，加兩大匙的薄鹽醬油，撒一點點白胡椒粉增加香氣 / 把內餡填入挖洞的大黃瓜內壓實，有剩下的做成肉排冷凍起來又是另一道菜

電鍋外鍋用兩杯水蒸，大黃瓜蒸透變半透明，我用Greenis（100度）蒸約1個小時 / 完成✅～";"大黃瓜\469746_大黃瓜鑲肉.jpg"
