"id";"食譜名稱";"網址";"預覽食材";"詳細食材";"做法";"圖片相對路徑"
"478968";"涼拌小黃瓜";"https://icook.tw/recipes/478968";"小黃瓜、鹽、糖、紅辣椒或辣椒醬";"小黃瓜2條, 鹽1小匙, 糖1小匙, 紅辣椒或辣椒醬隨口味適量";"小黃瓜斜切成薄片，放入鹽巴拌勻靜置15分鐘 / 倒掉鹽巴水，加入糖拌勻靜置15分鐘 / 拌入喜歡的辣椒醬即可放入冰箱冰過更好吃。此步驟如果沒有辣椒醬可以放紅辣椒及香油少許取代辣椒醬。";"小黃瓜\478968_涼拌小黃瓜.jpg"
"478750";"醃小黃瓜";"https://icook.tw/recipes/478750";"小黃瓜、砂糖、醋、水、鹽";"小黃瓜2條, 砂糖適量, 醋適量, 水200毫升, 鹽2小匙";"小黃瓜洗淨切片，要薄片要厚度隨個人喜好，並加鹽抓一下靜置十五分鐘，後續用開水把鹽沖掉，加入砂糖、醋、開水醃漬即可。";"小黃瓜\478750_醃小黃瓜.jpg"
"478131";"涼拌小黃瓜";"https://icook.tw/recipes/478131";"鹽、砂糖、小黃瓜、白醋、辣椒、蒜頭、香油";"鹽一大匙, 砂糖一大匙, 小黃瓜600克, 白醋300克, 砂糖150克, 辣椒10克, 蒜頭4顆, 香油適量";"小黃瓜用刀子敲扁，加入鹽跟砂糖，用手抓三分鐘。 / 抓到出水，靜置15分鐘。 / 調糖醋汁，白醋300克、砂糖150克、辣椒加下去，攪拌均勻。 / 將軟化的小黃瓜用力擠，把苦澀都擠出來。 / 用礦泉水洗乾淨，洗掉多餘的鹽分。 / 擠乾加入糖醋汁。 / 最後淋上適量的香油，冷藏一天食用，會比較入味。";"小黃瓜\478131_涼拌小黃瓜.jpg"
"475329";"涼拌小黃瓜";"https://icook.tw/recipes/475329";"小黃瓜、紅辣椒、蒜頭、細砂糖、烏醋、醬油、鹽、植物油";"小黃瓜4根, 紅辣椒1根, 蒜頭5瓣, 細砂糖1大匙, 烏醋1大匙, 醬油1大匙, 鹽0.5小匙, 植物油1大匙";"小黃瓜洗淨後，去除頭尾，然後以菜刀拍碎 / 將拍碎的小黃瓜切小段 / 加入細砂糖拌勻，去菁15分鐘 / 辣椒清洗後切成辣椒圈 / 蒜頭清洗後切成蒜末 / 用手將小黃瓜多餘的水份擠出，然後倒掉 / 加入辣椒圈和蒜末 / 加入醬油 / 加入烏醋 / 加入鹽 / 淋上加熱後的植物油(淋熱油) / 將所有食材拌勻即可食用 / 於冰箱醃漬2小時以上會更入味更好吃";"小黃瓜\475329_涼拌小黃瓜.jpg"
"479380";"醬漬小黃瓜";"https://icook.tw/recipes/479380";"小黃瓜、醋、醬油、糖、芝麻油、蒜頭";"小黃瓜2條, 醋3大匙, 醬油2大匙, 糖1小匙, 芝麻油1大匙, 蒜頭1瓣";"小黃瓜均等削皮後，切成3等分。 / 小黃瓜放入醋、醬油、糖、芝麻油、蒜頭均勻攪拌。 / 冷藏至少半天即完成。";"小黃瓜\479380_醬漬小黃瓜.jpg"
"478269";"皮蛋涼拌小黃瓜";"https://icook.tw/recipes/478269";"皮蛋、小黃瓜、醬油、香菜、白醋、白芝麻、蒜末、鹽、糖、香油、蠔油";"皮蛋4個, 小黃瓜3根, 香菜少許, 醬油2匙, 白醋2匙, 白芝麻0.5匙, 蒜末1匙, 鹽1小把, 糖0.5匙, 香油1匙, 蠔油1匙";"小黃瓜洗淨，用刀拍一下，切段裝，用鹽殺青一下 / 皮蛋切塊狀 / 香菜切碎備用 / 調醬汁：醬油、白醋、蒜末、鹽、糖、香油、白芝麻 / 碗中放入小黃瓜與皮蛋、香菜與醬汁攪拌均勻 / 放入冰箱冷藏20分即可";"小黃瓜\478269_皮蛋涼拌小黃瓜.jpg"
"478364";"淺漬小黃瓜";"https://icook.tw/recipes/478364";"小黃瓜、萬能醋";"小黃瓜2根, 萬能醋2大匙";"今天要介紹的是我很愛用的淺漬缽及萬能醋。 / 小黃瓜切薄片。 / 將小黃瓜放入淺漬缽中，加入costco買的萬能醋2-3大匙，依照個人喜好增減用量。 / 淺漬缽放入冰箱過夜。 / 第二天早上，將多餘的水分瀝乾，放到另外的盒中，即為炎熱夏日的涼拌小菜。";"小黃瓜\478364_淺漬小黃瓜.jpg"
"478038";"臘腸炒小黃瓜";"https://icook.tw/recipes/478038";"臘腸、肝腸、蠔油、小黃瓜、蒜頭";"臘腸1條, 肝腸1條, 小黃瓜2條, 蒜頭5~6瓣, 蠔油1大匙";"臘腸、肝腸汆燙後，切成片；小黃瓜洗淨，切斜片；蒜頭去膜，切片
2、 / 起油鍋，倒入臘腸片、肝腸片煎至稍微焦黃色，加入蒜片炒香，加入蠔油、1大匙水、小黃瓜片炒均即可";"小黃瓜\478038_臘腸炒小黃瓜.jpg"
"478088";"蝦仁炒蛋小黃瓜";"https://icook.tw/recipes/478088";"蒜頭、紅蘿蔔、小黃瓜、蝦仁、雞蛋、鹽巴、白胡椒";"蒜頭5瓣, 紅蘿蔔1/4條, 小黃瓜1條, 蝦仁140克, 雞蛋2顆, 鹽巴1小匙, 白胡椒1小匙";"油熱鍋，蒜頭爆香，加入紅蘿蔔一起拌炒 / 放入小黃瓜一起拌炒 / 放入蝦仁炒熟 / 將炒好的食材放旁邊，加入打好的蛋液，炒熟 / 加入鹽巴跟白胡椒粉拌勻 / 拿一個漂亮的盤子裝盤就完成了✅";"小黃瓜\478088_蝦仁炒蛋小黃瓜.jpg"
"479279";"鳳梨涼拌小黃瓜(純素)";"https://icook.tw/recipes/479279";"鳳梨、小黃瓜、砂糖、蘋果醋、檸檬汁、食鹽";"鳳梨1大顆, 小黃瓜5條, 砂糖4大匙, 蘋果醋2大匙, 檸檬汁2大匙, 食鹽1茶匙";"鳳梨去皮、去芯，切成厚片 / 用淡鹽水浸泡20分鐘 / 小黃瓜切片，也用淡鹽水浸泡，去除苦澀味 / 控乾水分，加入砂糖、果醋、檸檬汁 / 輕輕翻拌均勻，注意別把鳳梨挖爛了 / 冷藏醃漬30分鐘以上再享用";"小黃瓜\479279_鳳梨涼拌小黃瓜(純素).jpg"
