"id";"食譜名稱";"網址";"預覽食材";"詳細食材";"做法";"圖片相對路徑"
"458937";"蒜香炒油菜";"https://icook.tw/recipes/458937";"油菜、蒜頭、油、鹽";"油菜1把, 蒜頭1瓣, 油1匙, 鹽1小匙";"加入油菜，一點鹽調味 / 完成~";"油菜\458937_蒜香炒油菜.jpg"
"466616";"油菜肉末冬粉";"https://icook.tw/recipes/466616";"冬粉、豬絞肉、紅蘿蔔、油菜、亁香菇、蒜頭";"冬粉2球, 豬絞肉半飯碗, 紅蘿蔔1小塊, 油菜5支, 亁香菇5朵, 蒜頭5顆";"泡水後的亁香菇切片,紅蘿蔔切絲蒜頭切細末,油菜洗淨切細塊,莖枝和葉要分開 / 熱油炒香蒜頭香菇,放絞肉,加2茶匙胡椒粉,炒至半熟加油菜莖紅蘿蔔 / 加調味料,煮至絞肉上醬油色全熟加油菜葉,炒勻葉稍軟,加1飯碗水,煮滾加冬粉,小火煮至湯全被冬粉吸飽煮軟 / 冬粉拌開再滴幾滴香油,完成。";"油菜\466616_油菜肉末冬粉.jpg"
"472221";"白灼油菜(五辛素)";"https://icook.tw/recipes/472221";"油菜/青江菜、胡蘿蔔、乾辣椒、蒜末、蒸魚豉油、香油/花椒油、植物油、鹽、砂糖、味精";"油菜/青江菜2把, 胡蘿蔔60g, 乾辣椒6條, 蒜末2大匙, 蒸魚豉油2大匙, 香油/花椒油1大匙, 植物油3大匙, 鹽少許, 砂糖少許, 味精少許";"乾辣椒可於傳統市場／乾貨行／大賣場購得，清洗乾淨後用剪刀剪成斜片或小段 / 起一鍋滾水，調入鹽、食用油，然後下入青菜 / 焯水3~5分鐘至蔬菜軟化 / 撈出，用冷開水漂涼 / 鍋熱倒植物油、香油/花椒油，然後下蒜末、乾辣椒、胡蘿蔔翻炒，最後嗆入蒸魚豉油 / 澆在青菜上，鹽、糖、味精調味";"油菜\472221_白灼油菜(五辛素).jpg"
"470221";"蕓薹(油菜類)味噌湯";"https://icook.tw/recipes/470221";"蕓薹菜(油菜類)、味噌(鹽分8%)、昆布柴魚高湯";"蕓薹菜(油菜類)30g, 味噌(鹽分8%)1大匙, 昆布柴魚高湯300cc";"蕓薹菜洗淨段切備用. / 取有深度小鍋子,倒入昆布柴魚高湯煮滾續放入步驟1. / 再滾關小火煮至蕓薹菜夠熟,將味噌溶入鍋邊再滾熄火即可.";"油菜\470221_蕓薹(油菜類)味噌湯.jpg"
"455493";"油菜炒蛋";"https://icook.tw/recipes/455493";"油菜、紅蘿蔔、雞蛋、鹽、黑胡椒、香油";"油菜250克, 紅蘿蔔50克, 雞蛋4個, 鹽1小匙, 黑胡椒1小匙, 香油1大匙";"食材 / ❶油菜切約1公分小段，紅蘿蔔切小丁 / ❷滾水將點鹽巴，將油菜、紅蘿蔔燙軟撈出沖涼開水冷卻後擠乾水分 / ❸油菜蘿蔔加雞蛋、鹽巴、黑胡椒調味，再淋點香油，拌勻 / ❹炒鍋熱油，倒入蛋液，用筷子不斷攪拌至蛋液凝固即可";"油菜\455493_油菜炒蛋.jpg"
"460826";"燙青菜_油菜_調味";"https://icook.tw/recipes/460826";"油菜、鵝油香蔥、醬油、胡麻醬、鰹魚露、芝麻香油、柴魚片";"油菜1, 鵝油香蔥0.5, 醬油0.5, 胡麻醬0.5, 鰹魚露0.5, 芝麻香油0.5, 柴魚片0.5";"水裡加鹽跟一點油，煮滾放入油菜 / 鵝油香蔥+醬油(龜甲萬) / 胡麻醬+白芝麻(冷) / 鰹魚露+芝麻香油+柴魚片";"油菜\460826_燙青菜_油菜_調味.jpg"
"453363";"沙茶油菜";"https://icook.tw/recipes/453363";"油菜、沙拉油、鹽、生薑、牛頭牌沙茶醬、紅辣椒";"油菜250公克, 沙拉油2匙, 生薑2片, 紅辣椒1根, 鹽1/4匙, 牛頭牌沙茶醬2匙";"油菜洗淨切段；生薑洗淨，切片再切絲；辣椒洗淨，對切去籽再切長絲。 / 起油鍋，放入薑絲及辣椒爆香，再放入油菜，將油菜鍋邊撥，鍋中放入沙茶醬，以鍋鏟撥散沙茶醬，以大火快速翻炒 / 使油菜、沙茶醬混合均勻，用鹽調味即可起鍋。";"油菜\453363_沙茶油菜.jpg"
"457054";"油菜炒肉片";"https://icook.tw/recipes/457054";"梅花豬火鍋肉片、油菜、李錦記舊庄特級蠔油、蒜頭、白胡椒粉、鹽巴、水、紅蘿蔔";"梅花豬火鍋肉片200克, 油菜200克, 蒜頭3瓣, 水100cc, 紅蘿蔔50克, 李錦記舊庄特級蠔油2小匙, 白胡椒粉1/3茶匙, 鹽巴1/3茶匙";"火鍋肉片加李錦記舊庄特級蠔油、白胡椒粉，拌勻，冷藏醃15分以上油菜洗淨，切開根莖、葉子，切小段紅蘿蔔洗淨削皮切絲 / 熱鍋倒油，肉片炒至略熟，取出備用 / 原鍋倒油，倒根莖、紅蘿蔔、蒜頭，拌炒，加50cc水，蓋鍋燜會
再倒油菜葉、水50cc，蓋鍋燜會 / 嚴選鮮蠔熬煮，提鮮入味。
蠔油當然選李錦記！ / 倒入略熟的肉片，加些鹽，拌炒至肉片全熟即可";"油菜\457054_油菜炒肉片.jpg"
"460791";"韓式油菜泡菜유채김치";"https://icook.tw/recipes/460791";"油菜*、胡蘿蔔、洋蔥、青蔥、薑、熟白芝麻、蒜頭、蝦皮、白飯*、砂糖、粗辣椒片*、韓式粗辣椒粉、玉筋魚露*、鯷魚高湯*";"油菜*1.5Kg, 胡蘿蔔200g, 青蔥80g, 熟白芝麻20g, 洋蔥300g, 薑30g, 蒜頭70g, 蝦皮20g, 白飯*120g, 砂糖60g, 粗辣椒片*40g, 韓式粗辣椒粉80g, 玉筋魚露*80g, 鯷魚高湯*200ml";"A.油菜切段、洗去泥沙 / 清水燒開加鹽，油菜下鍋焯水1分鐘 / 撈出過涼，控乾水分 / B.洋蔥、蒜頭、老薑切塊，加入盆中 / 加入蝦皮、白飯、鯷魚高湯攪打成泥 / 調入辣椒麵、韓式辣椒粉、魚露、砂糖 / 加入蔥末、胡蘿蔔絲、白芝麻，攪拌均勻 / C.油菜與洋釀挼勻，一邊調整鹹淡與辣度 / 裝瓶，室溫發酵2~3天，冷藏發酵12天再享用";"油菜\460791_韓式油菜泡菜유채김치.jpg"
"458363";"松阪豬炒油菜";"https://icook.tw/recipes/458363";"油菜、松阪豬、蒜片、醬油、味霖";"油菜1把, 松阪豬1份, 蒜片4瓣, 醬油2小匙, 味霖0.5小匙";"豬肉過水洗淨後，切條。
菜去頭切段。 / 中火熱油鍋下蒜片炒香後放入肉拌炒 / 肉表面微變白後加入醬油與味霖 / 放入菜大火拌炒 / 炒至肉與菜梗熟透後即可 / 香噴噴盛盤";"油菜\458363_松阪豬炒油菜.jpg"
