"id";"食譜名稱";"網址";"預覽食材";"詳細食材";"做法";"圖片相對路徑"
"474795";"培根玉米筍";"https://icook.tw/recipes/474795";"玉米筍、培根、胡椒粉、胡椒粒";"玉米筍12支, 培根6片, 胡椒粉少許, 胡椒粒少許";"培根有油、用小火慢煎過一會兒就會出油、在用中火煎一會兒就要換面、讓整個培根變酥酥脆脆的、就可以起鍋撒點胡椒粉胡椒粒就完成囉";"玉米筍\474795_培根玉米筍.jpg"
"473134";"烤玉米筍";"https://icook.tw/recipes/473134";"帶殼玉米筍、乾香麻辣子、粗鹽";"帶殼玉米筍10隻, 乾香麻辣子兩大匙, 粗鹽三大匙";"先錫箔紙鋪在烤盤上，放上粗鹽鋪平 / 撒上乾香麻辣子 / 擺上玉米筍 / 包起來送烤箱，180度烤20分鐘 / 剛烤好的玉米筍是非常燙的唷，要小心燙手喔";"玉米筍\473134_烤玉米筍.jpg"
"476953";"鯷魚炒櫛瓜玉米筍";"https://icook.tw/recipes/476953";"櫛瓜、玉米筍、鯷魚、蒜頭、辣椒";"櫛瓜2條, 玉米筍一盒, 鯷魚一罐, 蒜頭3瓣, 辣椒一根";"櫛瓜洗淨去頭尾,去不去芯看個人,切適當大小,玉米筍先燙過剖半對切, 大蒜切碎,辣椒去籽切段備用 / 熱鍋放油, 下鯷魚、大蒜, 待鯷魚融化後放櫛瓜小火煎3-4分鐘, 中間需翻面, 最後下辣椒絲、玉米筍翻炒均勻即可起鍋";"玉米筍\476953_鯷魚炒櫛瓜玉米筍.jpg"
"461976";"四季豆醬炒玉米筍";"https://icook.tw/recipes/461976";"四季豆、玉米筍、雞粉、芝麻、烤肉醬";"四季豆300克, 玉米筍1盒, 芝麻1茶匙, 雞粉1茶匙, 烤肉醬1大匙";"將四季豆去頭尾洗淨切段備用、玉米筍斜切備用 / 熱油鍋加入四季豆、玉米筍炒至微軟 / 加入雞粉與烤肉醬拌勻，灑上白芝麻即可";"玉米筍\461976_四季豆醬炒玉米筍.jpg"
"458432";"［減醣］烤玉米筍";"https://icook.tw/recipes/458432";"玉米筍、醬油、醋、羅漢果糖";"玉米筍20根, 醬油1大匙, 醋1大匙, 羅漢果糖1大匙";"玉米筍洗淨加入適量的油拌勻 / 鋪到烤盤上，用200度烤20分鐘 / 熱鍋將調味料倒進去 / 滾後加入烤好的玉米筍，炒至收汁";"玉米筍\458432_［減醣］烤玉米筍.jpg"
"477798";"玉米筍香腸雙蔥佛卡夏";"https://icook.tw/recipes/477798";"水、橄欖油、番茄紅醬、高筋麵粉、炒熟洋蔥絲、鹽、德式香腸片、帕馬森乳酪粉、熟玉米筍、義式香料、青蔥末、速發酵母、乳酪絲、帕馬森起司粉";"水100克, 橄欖油10克, 高筋麵粉200克, 鹽2克, 帕馬森乳酪粉10克, 義式香料1克, 速發酵母1克, 番茄紅醬1大匙, 炒熟洋蔥絲1/2杯, 德式香腸片1根, 熟玉米筍2根, 青蔥末2大匙, 乳酪絲1/2杯, 帕馬森起司粉1大匙";"於容器中依序放入麵粉、鹽、糖、和酵母，混合拌勻。量秤好的水與橄欖油倒入容器中，使用矽膠刮鏟將所有材料充分攪拌均勻後，室溫靜置15至20分鐘。 / 開始第一次拉伸折疊，約7至8次或麵團變得緊繃後靜置15至20分鐘。第二次拉伸折疊，同樣是7至8次後，為避免室溫高過度發酵，移置冰箱冷藏靜置15至20分鐘。第三次拉折後，室溫靜置30分鐘，再一次拉折靜置20分鐘，接著冷藏低溫隔夜發酵。 / 翌日取出麵團狀態。 / 翌日取出麵團於塗抹橄欖油的工作台上，手勢輕柔的拉伸展開麵團成長方。 / 於麵團1/3處由上往下折二次。重覆上述動作，由上往下折二次後，麵團移置鋪有烘焙紙的容器等待完成最後發酵。35度50-60分鐘。 / 完成最後發酵。 / 烤箱連同烤盤一起預熱，230度。預熱完成，擺放備好的鋪頂食材於麵團表面，淋上橄欖油。 / 鋪滿乳酪絲後，手指打濕札洞，再撒上帕瑪森乳酪粉。 / 接著送進預熱好的烤盤上，烤溫降至220度置上層烘烤15分鐘，烤盤移至下層續烤4-5分鐘。";"玉米筍\477798_玉米筍香腸雙蔥佛卡夏.jpg"
"457757";"甜豆炒玉米筍";"https://icook.tw/recipes/457757";"甜豆、玉米筍、雞粉、紅蘿蔔片、鹽巴";"甜豆300克, 玉米筍1盒, 紅蘿蔔片8片, 雞粉1小匙, 鹽巴1.5小匙";"甜豆洗淨瀝乾、玉米筍寫切備用 / 熱油鍋放入紅蘿蔔片拌炒 / 加入玉米筍與甜豆與少許水中火返炒 / 加入鹽巴與雞粉拌炒均勻即可";"玉米筍\457757_甜豆炒玉米筍.jpg"
"475310";"蒜香櫛瓜蝦仁玉米筍";"https://icook.tw/recipes/475310";"櫛瓜、玉米筍、蝦仁、蒜片、黑胡椒粉、鹽、奶油、米酒";"櫛瓜1條, 玉米筍6條, 蝦仁10隻, 蒜片1, 黑胡椒粉1小匙, 鹽1小匙, 奶油1, 米酒1小匙";"退冰蝦仁，先加了點米酒跟胡椒去腥。蔬菜清洗切好備用，蒜片跟紅蘿蔔是本周先切好的備料。奶油一塊。 / 先用奶油爆香蒜片，奶油量不夠再補點油。 / 加入蝦仁，先煎半熟後盛出放一邊備用。 / 櫛瓜玉米筍加入翻炒。 / 加入一點水，蓋鍋蓋悶30秒。 / 加入蝦仁，鹽，黑胡椒粉調味，翻炒確定蝦仁熟了之後出鍋。";"玉米筍\475310_蒜香櫛瓜蝦仁玉米筍.jpg"
"469471";"金沙茭白筍玉米筍";"https://icook.tw/recipes/469471";"鹹蛋、茭白荀、玉米筍、蒜頭、橄欖油、水、胡椒粉";"鹹蛋2顆, 茭白荀10支, 玉米筍120克, 蒜頭8瓣, 橄欖油2大匙, 水3大匙, 胡椒粉適量";"茭白筍洗淨去殼及粗皮後切片、玉米筍洗淨後切滾刀 / 將鹹蛋黃取出切碎、鹹蛋白另切末備用 / 起鍋加水、茭白筍及玉米筍煮熟至收汁撈起備用 / 同鍋熱油下鹹蛋黃以中小火炒至起泡後加蒜末炒香 / 再把茭白筍、玉米筍一起放回鍋中稍微拌炒 / 接著下鹹蛋白炒香 / 最後灑上胡椒粉提味即可";"玉米筍\469471_金沙茭白筍玉米筍.jpg"
"467919";"秋葵炒玉米筍";"https://icook.tw/recipes/467919";"秋葵、洋蔥、紅蘿蔔、玉米筍、蒜蓉醬";"秋葵6根, 洋蔥1/4顆, 紅蘿蔔1/3條, 玉米筍1盒, 蒜蓉醬適量";"食材切喜歡的大小。 / 油鍋加入洋蔥拌炒。
加入秋葵拌炒，加少許的水蓋上鍋蓋燜煮。 / 加入紅蘿蔔絲、玉米筍，同樣加入少許的水蓋上鍋蓋燜煮。
到達喜歡的熟度，加2小匙蒜蓉醬即可。";"玉米筍\467919_秋葵炒玉米筍.jpg"
