"id";"食譜名稱";"網址";"預覽食材";"詳細食材";"做法";"圖片相對路徑"
"456496";"蘑菇炒甜豌豆";"https://icook.tw/recipes/456496";"蘑菇、甜豌豆、橄欖油、蠔油、鹽巴、糖、白胡椒粉";"蘑菇1盒, 甜豌豆1把, 橄欖油1大匙, 蠔油2大匙, 鹽巴適量, 糖適量, 白胡椒粉適量";"熱鍋（不加油），放入切片蘑菇，炒至出水。 / 倒入油，放入甜豌豆，炒至熟。 / 加入鹽巴、糖、蠔油、白胡椒粉拌勻即可。";"甜豌豆\456496_蘑菇炒甜豌豆.jpg"
"454976";"甜豌豆炒菇";"https://icook.tw/recipes/454976";"甜豌豆、玉米筍、紅甜椒、鴻禧菇、鹽巴、橄欖油、白胡椒粉、蒜碎";"甜豌豆2把, 玉米筍4支, 紅甜椒0.5顆, 鴻禧菇半盒, 鹽巴適量, 橄欖油適量, 白胡椒粉適量, 蒜碎2瓣";"煮一鍋熱水，將甜豌豆、玉米筍、紅甜椒川燙至7-8分熟，撈起冰鎮備用。 / 熱乾鍋，放入鴻禧菇炒香至微微上色。 / 倒入橄欖油、蒜碎炒香，加入燙好的甜豌豆、玉米筍、紅甜椒拌炒，起鍋前加入鹽巴、白胡椒粉調味即可。";"甜豌豆\454976_甜豌豆炒菇.jpg"
"436645";"甜豌豆炒雞胸肉";"https://icook.tw/recipes/436645";"甜豌豆、雞胸肉、紅蘿蔔、鹽巴";"甜豌豆1, 雞胸肉2片, 紅蘿蔔0.5條, 鹽巴1小匙";"把材料都備好 / 取一鍋熱後加入些許油 / 放入甜豌豆和紅蘿蔔 / 炒熟後加入雞胸肉和鹽巴調味";"甜豌豆\436645_甜豌豆炒雞胸肉.jpg"
"437603";"簡單好料理：金沙甜豌豆";"https://icook.tw/recipes/437603";"甜豌豆、鹹蛋、蒜頭";"甜豌豆230克, 鹹蛋1顆, 蒜頭1瓣";"甜豌豆從尖端折下去絲；
鹹蛋對半切用湯匙挖出來切碎。 / 熱鍋少許油，加入甜豌豆翻炒一下，加入50ml水分，約2-3分鐘，炒到8分熟，裝起來備用。 / 起油鍋下蒜末和鹹蛋碎，炒到起泡。 / 下炒熟的甜豌豆拌炒均勻，如果你的鹹蛋不鹹可以加一些鹽巴調味。 / 完成啦～上菜囉！";"甜豌豆\437603_簡單好料理：金沙甜豌豆.jpg"
"434216";"甜豌豆炒時蔬";"https://icook.tw/recipes/434216";"甜豌豆、杏包菇、黑木耳、紅蘿蔔絲、蒜頭、鹽、油";"甜豌豆1包, 杏包菇1隻, 黑木耳2~3小朵, 紅蘿蔔絲少許, 蒜頭2~3顆, 鹽適量, 油適量";"食材展示 / 甜豌豆去蒂頭及拔絲、黑木耳/杏包菇/紅蘿蔔都切絲(長度不要超過甜豌豆)、蒜頭切末 / 油入鍋 / 加入蒜末稍微拌炒出香氣 / 加入紅蘿蔔拌炒 / 加入甜豌豆拌炒，直到甜豌豆開始轉為油亮的綠色(快熟了)。 / 加入黑木耳及杏包菇拌炒至食材都熟了即可 / 上菜";"甜豌豆\434216_甜豌豆炒時蔬.jpg"
"468936";"家常涼拌甜豆(五辛素)";"https://icook.tw/recipes/468936";"甜豌豆(甜豆)、蒜頭、紅辣椒、日式紅油、醬油、味醂、味素";"甜豌豆(甜豆)2包, 蒜頭3瓣, 紅辣椒5片, 日式紅油1茶匙, 醬油1茶匙, 味醂1茶匙, 味素少許";"A.掐住甜豆的尖角，把甜豆的纖維撕掉（兩端尖角同樣方法），然後洗淨 / 水滾加鹽、小蘇打粉，甜豆下鍋焯水4~6分鐘 / 焯熟過涼，控乾水分 / B.盆中加入蒜末、辣椒圈、醬油、紅油、味醂、味素 / 甜豆也加入盆中，翻拌均勻 / 醃漬1小時後盛盤，上桌享用";"甜豌豆\468936_家常涼拌甜豆(五辛素).jpg"
"421211";"竹筍&甜豌豆&杏鮑菇的奶油醬油沙拉";"https://icook.tw/recipes/421211";"竹筍、甜豌豆、杏鮑菇、有鹽奶油、鰹魚淡醬油";"竹筍300g, 甜豌豆70g, 杏鮑菇1隻, 有鹽奶油50g, 鰹魚淡醬油10cc";"筍尖對半切開。(大一點的竹筍可以切滾刀塊)
Cut the asparagus tips in half. (Larger bamboo shoots can be cut into hob blocks) / 筍子的根部對半切開後，再切成0.5公分的厚片
After the roots of the bamboo shoots are cut in half, then cut into 0.5 cm thick slices / 用刀尖在筍片上劃出格子狀的劃痕，小心不要將竹筍切斷。
Use the tip of the knife to make grid-like scratches on the bamboo shoots, being careful not to cut the bamboo shoots. / 杏鮑菇切滾刀塊
King Oyster Mushroom Cut Hob Blocks / 甜豌豆去除部分頭尾及較粗的纖維
Sweet peas with some heads, tails and thicker fibers removed / 平底鍋燒熱，先放入30g有鹽奶油
Heat a pan and add 30g of salted butter / 放入竹筍，鋪平煎3分鐘，煎到竹筍呈現焦黃色
Add bamboo shoots, spread out and fry for 3 minutes, until the bamboo shoots are browned / 竹筍翻面後，再煎3分鐘，到竹筍另一片也呈現焦黃色
After the bamboo shoots are turned over, fry for another 3 minutes, until the other piece of bamboo shoots is also browned / 接著將甜豌豆及杏鮑菇倒入鍋中，拌炒1分鐘
Then put the sweet peas and king oyster mushrooms into the pot, stir fry for 1 minute / 將剩下的20g有鹽奶油放入，翻炒30秒
Add the remaining 20g of salted butter and stir fry for 30 seconds / 再加入10cc鰹魚淡醬油，續炒2分鐘
Add 10cc of bonito light soy sauce, continue to fry for 2 minutes / 炒好，盛入盤中，完成~
Fry it, put it on a plate, and it's done~";"甜豌豆\421211_竹筍&甜豌豆&杏鮑菇的奶油醬油沙拉.jpg"
"477081";"地中海料理｜鹽漬黃檸檬香料燉雞翅";"https://icook.tw/recipes/477081";"雞翅小腿、二節翅、小茴香粉、紅甜椒、咖哩粉、黃甜椒、凱宴辣椒粉、鹽漬黃檸檬、煙燻紅甜椒粉、葡萄乾、鹽與現磨黑胡椒、豌豆、白酒、清水、食用油、香菜";"雞翅小腿3支, 二節翅3支, 紅甜椒1/4個, 黃甜椒1/4個, 鹽漬黃檸檬30g, 葡萄乾1.5大匙, 豌豆50g, 白酒3大匙, 清水適量, 食用油1/2大匙, 香菜適量, 小茴香粉1/2小匙, 咖哩粉1/2小匙, 凱宴辣椒粉1/2小匙, 煙燻紅甜椒粉1/2小匙, 鹽與現磨黑胡椒少許";"洋蔥切大丁；紅、紅甜椒切大丁備用。 / 將翅小腿與二節翅放入大碗中，加入所有醃漬材料拌勻備用。 / 平底鍋以小火加熱，加入食用油後，煎香翅小腿與二節翅。 / 放入洋蔥拌炒一下，再加入鹽漬黃檸檬、白酒、清水與葡萄乾燒煮一下。 / 待醬汁濃稠後加入豌豆與紅、黃甜椒拌炒至豌豆熟透即可盛盤。
食用前，撒上香菜即可。";"甜豌豆\477081_地中海料理｜鹽漬黃檸檬香料燉雞翅.jpg"
"455783";"奶香炒烏龍";"https://icook.tw/recipes/455783";"烏龍麵、秀珍菇、糖、奶油、醬油、甜豌豆、蠔油、洋蔥、香油、水";"烏龍麵3包, 秀珍菇1份, 奶油1小塊, 甜豌豆1份, 洋蔥1顆, 糖1小匙, 醬油1大匙, 蠔油1大匙, 香油3茶匙, 水1杯";"甜豌豆挑好跟秀珍菇一起洗淨，洋蔥切成喜歡的大小 / 熱油鍋下奶油到融化，放入洋蔥炒出香味，再陸續加入甜豌豆、秀珍菇炒1至2分鐘 / 接著放入烏龍麵、一杯水，加入調味料，拌炒至收汁✅";"甜豌豆\455783_奶香炒烏龍.jpg"
"446399";"10分鐘上菜-水炒甜豆";"https://icook.tw/recipes/446399";"甜豌豆、蒜頭、紅蘿蔔、鹽巴、食用油";"甜豌豆1把, 蒜頭2瓣, 紅蘿蔔1/3條, 鹽巴1小匙, 食用油1小匙";"影音教學連結：https://youtube.com/shorts/Dezl16WYRTY?si=hQdSvtxzLuhTGOgd / 將甜豌豆洗淨，折去頭尾，將側身的纖維絲撕去，這樣口感才會美味。 / 紅蘿蔔削去外皮，切薄片備用；蒜頭去膜切成蒜末備用。 / 加熱平底鍋，倒入1杯的水量，將紅蘿蔔片放入川燙，再將處理好的甜豌豆放入川燙，煮沸約3分鐘後，將鍋中的水倒掉，放入蒜末和食用油拌勻，加入鹽巴調味即可熄火裝盤。 / 上菜嘍。";"甜豌豆\446399_10分鐘上菜-水炒甜豆.jpg"
