"id";"食譜名稱";"網址";"預覽食材";"詳細食材";"做法";"圖片相對路徑"
"456503";"韓式醃白蘿蔔";"https://icook.tw/recipes/456503";"白蘿蔔、二砂糖、壽司醋、水";"白蘿蔔1條, 二砂糖2/3杯, 壽司醋2/3杯, 水2/3杯";"白蘿蔔削皮，切丁、切條、切片都可以（喜歡吃辣可以放入辣椒丁） / 將糖、醋、水等比放入鍋中煮至沸騰 / 用密封的玻璃器皿先將蘿蔔做分裝，再倒入煮沸的步驟二";"白蘿蔔\456503_韓式醃白蘿蔔.jpg"
"475367";"白蘿蔔燒肉片";"https://icook.tw/recipes/475367";"白蘿蔔、豬五花肉片、鹽、蔥白、白胡椒粉、醬油、蔥綠、米酒、味醂、開水、二砂糖";"白蘿蔔315克, 豬五花肉片330克, 蔥白適量, 蔥綠適量, 開水4大匙, 鹽½小匙, 白胡椒粉¼小匙, 米酒1小匙, 醬油2大匙, 味醂1大匙, 米酒1大匙, 二砂糖1大匙";"白蘿蔔去皮，切成厚度約0.5公分的扇形，電鍋外鍋放蒸架並倒入半米杯水先蒸過（開關跳起即可，免燜）。
五花肉片切適口大小，醃漬15分鐘。蔥白切圈、蔥綠切圈。 / 小火，些許油，爆香蔥白。 / 中火，肉片下鍋炒熟。 / 放入白蘿蔔翻炒幾下。 / 調味料下鍋和食材炒勻。 / 開水下鍋拌勻。 / 煮滾時，轉中小火燒煮至濃稠（大約10分鐘，期間偶爾）。 / 撒下蔥綠拌一拌，完成。";"白蘿蔔\475367_白蘿蔔燒肉片.jpg"
"475639";"素燒白蘿蔔湯";"https://icook.tw/recipes/475639";"白蘿蔔、乾香菇、八角、月桂葉、薑片、醬油、蠔油、鹽、鮮味炒手、蔥花、水";"白蘿蔔200克, 乾香菇50g, 八角2顆, 月桂葉3片, 薑片5片, 醬油1大匙, 蠔油1大匙, 鹽2小匙, 鮮味炒手1小匙, 蔥花適量, 水1500cc";"乾香菇泡熱水半小時左右 / 白蘿蔔去皮切塊 / 熱油鍋煎白蘿蔔去掉生味 / 煎到2面微焦黃後盛起備用 / 熱油鍋，放入薑片爆香 / 放入月桂葉跟八角一起爆香 / 放入泡軟的香菇，香菇水，白蘿蔔，醬油，蠔油，鹽，鮮味炒手一起煮沸 / 煮沸後轉小火煮15分鐘即完成 / 撒上蔥花，清甜好喝";"白蘿蔔\475639_素燒白蘿蔔湯.jpg"
"470673";"紅燒白蘿蔔";"https://icook.tw/recipes/470673";"絞肉豬、白蘿蔔、薑片、蔥白蔥綠、辣椒、蒜片、醬油、糖、水";"絞肉豬150克, 白蘿蔔1, 薑片5片, 蔥白蔥綠1小匙, 辣椒1條, 蒜片4瓣, 醬油3大匙, 糖1大匙, 水適量";"下油先將薑、蔥白、蒜頭炒出味道 / 下絞肉 翻炒至出水 / 炒至表面上色 / 加入3大匙醬油、1大匙糖（或味醂）、1小杯水，稍微拌炒 / 加入白蘿蔔及淹沒食材的水、少許胡椒鹽 / 等水滾白蘿蔔煮爛
這次使用的是金小萬速度還蠻快的，但要開蓋注意避免水煮乾
之前是用瓦斯爐煮，蓋上鍋蓋小火煮個20分鐘，白蘿蔔切小塊，會熟透的比較快 / 白蘿蔔有煮透後，稍微收醬汁，加入辣椒、蔥綠 稍微滾一下就可以上桌囉";"白蘿蔔\470673_紅燒白蘿蔔.jpg"
"479476";"電鍋出好菜—日式白蘿蔔佃煮";"https://icook.tw/recipes/479476";"白蘿蔔、海帶結、日式高湯包、油豆腐、醬油（3大匙）、日式油豆腐、二砂糖";"白蘿蔔1條, 海帶結200克, 油豆腐6塊, 日式油豆腐適量, 日式高湯包1包, 醬油（3大匙）45cc, 二砂糖1大匙";"食材隨喜❤️最重要的有白蘿蔔，
想加水煮蛋、紅蘿蔔也是可以的。

做法
1）白蘿蔔洗淨削皮，切厚片、中心劃十字
2）其餘食材洗淨備用
3）起一鍋水，水開放入白蘿蔔片、一小匙太白粉煮20分鐘去除澀味後撈起備用
4）所有食材放入內鍋
5）加入調味料，加水沒過食材
6）電鍋外鍋2杯水，開始烹煮 / 7）完成✅可擺上蔥絲點綴";"白蘿蔔\479476_電鍋出好菜—日式白蘿蔔佃煮.jpg"
"477337";"百香大根（百香果醃白蘿蔔）";"https://icook.tw/recipes/477337";"白蘿蔔、百香果、鹽、糖";"白蘿蔔1根, 百香果2顆, 鹽1大匙, 糖1小匙";"白蘿蔔去皮，切成好入口的片狀。 / 切好的白蘿蔔灑上一大匙鹽拌勻，靜置約10-15分鐘。照片中是小半條白蘿蔔的份量。我自己覺得鹽的份量就是每片蘿蔔都有沾附到一層薄薄的鹽即可。 / 百香果切開，取出果肉及果汁，倒在大碗或保鮮盒中備用。 / 靜置完成，出水的白蘿蔔，倒掉有澀味的水後，再用力擠乾水份。然後用可飲用的水，再次將蘿蔔片淘洗一會兒，洗去多餘鹽份。照片中是整根白蘿蔔的量，這些水全部都是白蘿蔔排出的水。 / 將百香果汁、白蘿蔔、糖於大碗或保鮮盒拌勻，若覺得百香果汁太少，可補些飲用水。 / 冰箱放置一晚後即可取出食用。";"白蘿蔔\477337_百香大根（百香果醃白蘿蔔）.jpg"
"472057";"酸甜醃白蘿蔔";"https://icook.tw/recipes/472057";"白蘿蔔、鹽巴、檸檬汁、糖、氣泡水";"白蘿蔔1根, 鹽巴2大匙, 檸檬汁2大匙, 糖80克, 氣泡水1杯";"蘿蔔切薄片、丁塊
不同的形狀，口感吃起來也不一樣 / 切好的蘿蔔灑上鹽巴

重點：使蘿蔔出水，可以手捏看看蘿蔔有沒有軟

變軟、出水後，清洗蘿蔔，避免過鹹 / 調製酸甜液體檸檬汁+糖+氣泡水
淹過蘿蔔，可以嚐看看酸甜的味道夠不夠 / 放置冰箱，一個晚上，吃炸雞的時候可以配著吃";"白蘿蔔\472057_酸甜醃白蘿蔔.jpg"
"470871";"白蘿蔔肉粥";"https://icook.tw/recipes/470871";"白蘿蔔、豬絞肉、胡椒鹽、蝦皮、醬油、白米、水、紅頭酥、香菜";"白蘿蔔1/2根, 豬絞肉100克, 蝦皮適量, 白米1.5杯, 水15杯, 紅頭酥適量, 香菜適量, 胡椒鹽適量, 醬油1-2匙";"白蘿蔔去皮，切小塊；白米洗淨，瀝水 / 起油鍋，放入豬絞肉炒至變白，加入蝦皮、紅頭酥爆香，加入白米、醬油拌炒一下，加入白蘿蔔、水煮沸後，轉小火，煮約15-20分鐘至白米開花，用胡椒鹽調味 / 食用時，加入香菜即可";"白蘿蔔\470871_白蘿蔔肉粥.jpg"
"460475";"清燉牛肉洋蔥白蘿蔔";"https://icook.tw/recipes/460475";"牛嫩煎里脊、洋蔥、鹽、白蘿蔔、雞粉、滷包、米酒";"牛嫩煎里脊800克, 洋蔥1顆, 白蘿蔔0.25條, 滷包1包, 米酒1大匙, 鹽1大匙, 雞粉2大匙";"牛肉、洋蔥、白蘿蔔切塊備用 / 熱鍋放入牛肉與洋蔥炒至焦化 / 將煎鍋食材移至湯鍋加入1000 CC熱水、滷包、米酒煮滾10分鐘 / 加入白蘿蔔塊小火煮40分鐘，加入鹽與雞粉調味即可";"白蘿蔔\460475_清燉牛肉洋蔥白蘿蔔.jpg"
"473822";"烤烏魚子佐蒜苗白蘿蔔";"https://icook.tw/recipes/473822";"烏魚子、白蘿蔔、蒜苗、高粱酒";"烏魚子1片, 烏魚子1片, 白蘿蔔1段, 白蘿蔔1段, 蒜苗2支, 蒜苗2支, 高粱酒2杯, 高粱酒2杯";"取淺盤，將烏魚子浸泡高粱酒 / 將浸泡的酒倒掉，重新加入高粱酒，點火烤烏魚子 / 烤至有香氣表皮微焦即可 / 放涼後才斜切片，白蘿蔔也切薄片，蒜苗切片，組裝成盤";"白蘿蔔\473822_烤烏魚子佐蒜苗白蘿蔔.jpg"
