"id";"食譜名稱";"網址";"預覽食材";"詳細食材";"做法";"圖片相對路徑"
"479426";"金沙秋葵";"https://icook.tw/recipes/479426";"秋葵、鹹鴨蛋、蒜頭";"秋葵300g, 鹹鴨蛋1-2顆, 蒜頭2瓣";"1.準備所有食材，清理與清洗之(秋葵可用一點鹽搓揉去除表面絨毛再清洗)。 / 2.蒜頭切末，秋葵切去蒂頭，切1公分圓段，鹹鴨蛋去殼，取出蛋黃壓散(泥)，蛋白切細丁。 / 3.起鍋，開小火，倒入1大匙的食用油，放入蒜末與鹹蛋白炒出香氣。 / 4.轉中火，放入秋葵拌炒。 / 5.約炒1.5-2分鐘，至秋葵轉透綠熟成(脆口無莢生)，即可先起鍋。 / 6.續鍋轉小火，再加入1大匙的食用油，放入鹹蛋黃，拌炒至起泡泡。 / 7.再加入炒好的秋葵(步驟5.)快速翻拌，使其裹上金沙，即可關火。 / 8.起鍋盛盤。";"秋葵\479426_金沙秋葵.jpg"
"479037";"金沙秋葵";"https://icook.tw/recipes/479037";"秋葵、鹹蛋、白胡椒粉、蒜頭";"秋葵7條, 鹹蛋1顆, 白胡椒粉少量, 蒜頭2瓣";"1.秋葵去除蒂頭和細毛，燒開水燙熟(約1分鐘)，呈起放入涼水後，切小塊備用
2.將鹹蛋的蛋黃和蛋白分開，皆切成沬
3.蒜頭切沬 / 起油鍋、下鹹蛋黃炒出泡沫後，下蒜沬，讓蒜沬和蛋黃的味道混合在一起 / 下秋葵，快速翻炒(因秋葵之前己經先燙熟，所以不用炒太久)，再下鹹蛋白沬，將所有的秋葵皆沾滿澄黃的蛋黃和雪白的蛋白屑，起鍋前再下少許白胡椒粉提味。 / 美味爽口的金沙秋葵上桌";"秋葵\479037_金沙秋葵.jpg"
"476663";"秋葵蒸蛋";"https://icook.tw/recipes/476663";"雞蛋、水、柴魚粉、秋葵";"雞蛋2顆, 水220cc, 柴魚粉1大匙, 秋葵適量";"將蛋跟水加入柴魚粉混合過篩備用！秋葵切小片備用！ / 將蛋液倒入容器（用小叉子將氣泡戳掉） / 放入蒸烤箱 / 按蒸氣模式！100度15分鐘 / 光滑又水噹噹的蒸蛋就完成囉！";"秋葵\476663_秋葵蒸蛋.jpg"
"477590";"涼拌秋葵 / 家常小菜";"https://icook.tw/recipes/477590";"秋葵、蒜瓣、辣椒去籽、天時野櫻莓果醋、鹽";"秋葵20根, 蒜瓣2瓣, 辣椒去籽1/5根, 天時野櫻莓果醋1.5大匙, 鹽1/5小匙";"●秋葵絨毛明顯表新鮮，泡在水裡用雙手掌搓洗略去除表面絨毛，再用刨皮器小心刨去每根秋葵的硬帽，溫柔的削不要讓秋葵被削破皮，這樣汆燙時秋葵內管裡的黏液是營養來源才不會流失，可惜了。 / ●蒜瓣洗過拍碎剝膜；辣椒買不會辣的洗過挖掉辣椒籽切圓片。
●野櫻莓果醋夏天放冷藏，平日加開水當保健飲喝，也很適合拿來做涼拌菜醃小黃瓜、高麗菜、醃芭樂都很好吃。 / ●起湯鍋水滾放洗淨的秋葵蓋鍋汆燙2分鐘，今天同時間做一道涼拌菜素雞。 / ●時間到把秋葵撈起泡在能飲用的淨水裡。 / ●秋葵泡涼後用料理剪刀每根橫剪兩刀，先灑點鹽花及蒜末辣椒片後用筷子拌拌，再淋上果醋再次用筷子略拌放冰箱冰鎮一下。 / ●上桌盛盤時連同醃的醬汁一起，這時秋葵的黏液跟果醋已融合，吃起來更爽口。 / 近150篇果醋簡單料理分享https://tinyurl.com/4c37w8rp";"秋葵\477590_涼拌秋葵___家常小菜.jpg"
"479361";"秋葵薑飲OkraGinger Drink";"https://icook.tw/recipes/479361";"秋葵Okra、有機薑nonGMOGinger、清水pure water";"秋葵Okra3條 pieces, 有機薑nonGMOGinger3片slices, 清水pure water3杯cups";"選秋葵如手指般長，有機薑連皮。
Choose okra that is as long as a finger and organic ginger with the skin. / 洗乾淨切片、切丁。
Wash, slice and dice. / 將秋葵和有機薑放入清水中，大火煮開，然後轉小火煮大概30分鐘。
Place okra and organic ginger in water, bring to a boil over high heat, then simmer for about 30 minutes. / 煮至秋葵及薑味溢出，秋葵色澤變黃。水量少了一半。
Cook until the okra and ginger flavor comes out and the okra turns yellow. The amount of water was reduced by half. / 隔渣過濾後，只享用飲料。
After filtering, just enjoy the drink. / 可加鹽或者蜂蜜。冷飲或熱飲，都可以。
You can add salt or honey. Drink it hot or cold.";"秋葵\479361_秋葵薑飲OkraGinger_Drink.jpg"
"478936";"鴨血牛肉燴秋葵";"https://icook.tw/recipes/478936";"牛勒條、鴨血、蔥末、秋葵、薑未、辣豆瓣醬、蒜末、寧記麻辣鍋醬、白胡椒粉、老幹媽雞油辣椒、醬油、蔥白末、蠔油、油膏、薑末、米酒、蒜片、玉米粉、春菜末、香油、水";"牛勒條1條, 鴨血1/2塊, 秋葵7條, 蔥末少許, 薑未少許, 蒜末3瓣, 辣豆瓣醬1大匙, 寧記麻辣鍋醬1大匙, 老幹媽雞油辣椒1大匙, 蔥白末半條, 薑末一小塊, 蒜片3瓣, 春菜末一小株, 白胡椒粉1大匙, 醬油1大匙, 蠔油1大匙, 米酒1大匙, 玉米粉酌料(視肉乾爽程度), 香油1小匙, 水200毫升, 醬油1小匙, 油膏1小匙, 白胡椒粉1小匙";"首先來皮處理牛肋條，牛肋條要快速軟爛，就是要把它表面的文紋給破壞掉，所以先在牛肉的表面畫上十字刀 / 另一面也同樣的處理 / 將牛肉切小片 / 放入器皿了，加上醃肉調味醬，然後用手把他們混合在一起 / 把肉餡和到沒有任何醬汁 / 再加入少許玉米粉後再把它攪得有些黏度，再加上少許香油，讓肉汁可以完全的鎖在裡面 / 鴨血切成自己喜歡的大小，我這次是用己經滷好的鴨血，如果還沒滷過程可能要稍久一點 / 備辛香料 / 把辣豆瓣醬+寧記麻辣火鍋醬+老干媽先攪拌在一起 / 起油鍋 / 倒入辛香料，待炒出香味後 / 加入調味醬，炒出紅油和醬香味 / 加入200ml的水，讓它滾起後 / 放入鴨血，待水滾將湯汁和鴨血都融在一起後 / 放入剛剛醃好的牛肉片 / 將牛肉稍微撥開一下下，蓋上鍋蓋，煮個8-10分鐘(視自己吃牛肉軟Q程度) / 在等待過程中來處理秋葵：將秋葵蒂把刨掉，再用鹽巴把表面的細玉大概的去除，然後用水洗去鹽巴後，滾刀切成小塊狀 / 十分鐘，確定牛肉的軟Q程度是自己可以接受的，再放人秋葵(因為秋葵有勾欠的感覺，所以無需再勾欠，若你沒下秋葵，可能下一點薄薄的玉米粉水，可以讓整道菜再加飽滿。 / 再燜個2-3分鐘 / 起鍋前灑上一半的香菜末 / 起鍋後再灑另一半香菜末後，就可上桌了";"秋葵\478936_鴨血牛肉燴秋葵.jpg"
"478982";"涼拌小黃瓜雪白菇秋葵";"https://icook.tw/recipes/478982";"小黃瓜、雪白菇、醬油、秋葵、烏醋、白芝麻、紅蘿蔔、糖、香油、香蒜粒、檸檬汁";"小黃瓜3條, 雪白菇1包, 秋葵7根, 紅蘿蔔一小塊, 醬油2大匙, 烏醋1大匙, 糖1小匙, 香蒜粒1小匙, 檸檬汁少量, 白芝麻少量, 香油少許";"1.小黃瓜切片，加入鹽巴加少量糖，放置10分鐘，再去清處理
2.雪白菇洗清、秋葵把頭和毛去掉，汆燙後、撈起瀝乾水份備用 / 將調味醬調和在一起(可依個人喜好調整) / 處理好食材後 / 放入器皿中 / 將調味醬倒入拌勻，放入冰箱冷藏後取出味道會更佳。 / 上菜前，灑一些白芝麻和一些香油，味道會更棒";"秋葵\478982_涼拌小黃瓜雪白菇秋葵.jpg"
"477106";"香蒜辣炒秋葵";"https://icook.tw/recipes/477106";"水、植物油、秋葵、鹽、蒜頭、紅辣椒、醬油、素蠔油、細砂糖🍬";"水800毫升, 植物油1小匙, 鹽0.5小匙, 秋葵300克, 蒜頭5瓣, 紅辣椒1根, 醬油2小匙, 素蠔油1大匙, 鹽0.5小匙, 細砂糖🍬1小匙, 植物油1大匙";"蒜頭清洗後切成蒜末，紅辣椒清洗後切成辣椒圈 / 準備川燙水 / 將川燙水煮滾 / 加入清洗後的秋葵川燙2分鐘 / 將川燙後的秋葵撈起，切除蒂頭 / 秋葵切斜刀塊 / 炒鍋熱鍋後，加入植物油 / 以小火將蒜末和辣椒圈炒香 / 加入醬油、素蠔油、鹽和細砂糖，拌炒至細砂糖溶解 / 加入秋葵拌炒均勻 / 呈盤後即完成";"秋葵\477106_香蒜辣炒秋葵.jpg"
"476125";"麻香秋葵肉捲";"https://icook.tw/recipes/476125";"秋葵、豬肉片、18味花椒鵝香辣油、白芝麻";"秋葵12根, 豬肉片12片, 18味花椒鵝香辣油兩大匙, 白芝麻適量";"將秋葵去頭。 / 用豬肉片將秋葵包裹起來。 / 熱鍋下油，放入肉捲。 / 煎至金黃再倒入醬汁 / 蓋上鍋蓋悶煮10分鐘後開蓋收汁即可。 / 裝盤即可上桌。";"秋葵\476125_麻香秋葵肉捲.jpg"
"479751";"蔭豆吻仔魚炒秋葵";"https://icook.tw/recipes/479751";"秋葵、吻仔魚、蔭豆鼓";"秋葵12, 吻仔魚1把, 蔭豆鼓1小匙";"蒜頭五瓣切碎爆香，放入秋葵（清洗後去蒂斜切）、吻仔魚，炒熟放入蔭豆，拌勻即可起鍋。";"秋葵\479751_蔭豆吻仔魚炒秋葵.jpg"
