"id";"食譜名稱";"網址";"預覽食材";"詳細食材";"做法";"圖片相對路徑"
"476270";"腐乳空心菜";"https://icook.tw/recipes/476270";"空心菜、蒜頭、豆腐乳、油、鹽";"空心菜1把, 蒜頭3-4瓣, 豆腐乳2小塊, 油適量, 鹽1小匙";"先用油爆香蒜頭 / 先下菜梗炒一下 / 再加菜葉翻炒 / 即將起鍋前，加入豆腐乳，以及一點鹽調味 / 完成~";"空心菜\476270_腐乳空心菜.jpg"
"478567";"空心菜炒牛肉";"https://icook.tw/recipes/478567";"牛梅花肉、溫泉空心菜、食用油、白胡椒、黑胡椒、醬油膏、蠔油、米酒、薑片、蒜頭";"牛梅花肉200克, 溫泉空心菜一把, 食用油1大匙, 白胡椒1小匙, 黑胡椒1~2小匙, 醬油膏1小匙, 蠔油1大匙, 米酒1大匙, 薑片4片, 蒜頭1瓣";"空心菜洗淨切段（因為溫泉空心菜的管比較粗，切短一點比較好入口）。蒜頭及薑片切碎。 / 將醃料拌勻，醃肉半小時到一個小時左右。 / 熱鍋，加多一點油潤鍋。多餘的油先倒出，炒菜的時候可以用。 / 醃好的牛肉先倒到鍋中炒至半熟，先取出。 / 步驟三倒出的油可再利用倒入鍋中，炒空心菜。炒空心菜時，先炒管子，可加少量水，等管子軟後，加少許鹽調味，再加入葉子一起炒，等葉子也差不多的時候，放入步驟四的牛肉，拌炒均勻即可上桌。";"空心菜\478567_空心菜炒牛肉.jpg"
"458239";"空心菜雞蛋湯";"https://icook.tw/recipes/458239";"空心菜、蒜頭、雞蛋、鹽、白胡椒粉、香油、油、熱水";"空心菜1/2把, 蒜頭1瓣, 雞蛋1顆, 鹽1小匙, 白胡椒粉適量, 香油適量, 油適量, 熱水600cc";"先用一點油，爆蒜，炒空心菜(不要炒太熟) / 稍微炒過就好，不要炒到熟，然後加水煮 / 水滾下蛋液，加入鹽跟白胡椒粉 / 最後加入香油，完成~";"空心菜\458239_空心菜雞蛋湯.jpg"
"478671";"沙茶牛肉炒空心菜";"https://icook.tw/recipes/478671";"牛肉片、空心菜、鹽、沙茶醬、白胡椒粉、糖、米酒、醬油、橄欖油、蒜末、辣椒末、水";"牛肉片200克, 空心菜300克, 沙茶醬2大匙, 鹽1/2鹽匙, 白胡椒粉適量, 醬油1小匙, 橄欖油2大匙, 蒜末8瓣, 辣椒末1根, 水適量, 鹽1/2鹽匙, 白胡椒粉適量, 糖1小匙, 米酒2大匙";"牛肉用沙茶醬、鹽、白胡椒粉、醬油抓醃10分鐘 / 起鍋下油用大火將肉片炒至八分熟後取出 / 同鍋再下油用大火炒香蒜末、辣椒末、沙茶醬 / 接著放空心菜、水炒熟後下調味料 / 最後放回肉片拌炒至熟即可起鍋";"空心菜\478671_沙茶牛肉炒空心菜.jpg"
"476149";"沙茶肉絲空心菜";"https://icook.tw/recipes/476149";"空心菜、蒜頭、辣椒、米酒、肉絲、沙茶醬約35克、沙拉油、鹽巴、水";"空心菜1把, 蒜頭2瓣, 辣椒1根, 米酒1大匙, 肉絲50克, 沙茶醬約35克2大匙, 沙拉油1大匙, 鹽巴0.5小匙, 水3大匙";"蒜瓣切丁、辣椒切小段（不敢吃辣的可以將辣椒子去除）。 / 清洗空心菜並切段，我會把葉子跟梗分開洗。 / 熱油下蒜瓣及辣椒段爆香。 / 下肉絲翻炒一下，快熟時加入米酒去腥味 / 下空心菜梗翻炒一下 / 一大匙沙茶醬，2大匙水，拌炒約二分鐘（沙茶醬散開） / 下空心菜葉，一大匙沙茶醬、1大匙水、半茶匙鹽巴，翻炒均勻就能起鍋了。";"空心菜\476149_沙茶肉絲空心菜.jpg"
"478381";"清爽開胃 魚露空心菜";"https://icook.tw/recipes/478381";"空心菜、魚露、醬油、米酒、糖、辣椒、油";"空心菜1把, 魚露1大匙, 醬油1大匙, 米酒1大匙, 糖1小匙, 辣椒1小匙, 油適量";"把空心菜洗乾淨，分成菜葉跟菜梗。 / 調製醬汁 : 1匙魚露，1匙醬油，1匙米酒，1小匙糖。 / 先用油炒辣椒與空心菜梗。 / 加入菜葉一起炒，同時倒入調好的醬汁。 / 完成~";"空心菜\478381_清爽開胃_魚露空心菜.jpg"
"460943";"空心菜炒牛肉";"https://icook.tw/recipes/460943";"空心菜、嫩煎里脊牛肉、雞粉、蒜末、鹽、米酒、香油、太白粉";"空心菜1把, 嫩煎里脊牛肉200克, 蒜末1小匙, 雞粉1小匙, 鹽1小匙, 米酒1大匙, 鹽0.5小匙, 香油1小匙, 太白粉0.5大匙";"空心菜洗淨切段備用
牛肉切片後使用米酒香油鹽醃漬10分鐘，再加入太白粉拌勻 / 熱油鍋爆香蒜末漿牛肉快炒5分熟盛起 / 加入空心菜翻炒至熟加入雞粉、鹽調味，再加入嫩煎里脊牛肉炒勻即可";"空心菜\460943_空心菜炒牛肉.jpg"
"468586";"清炒宜蘭溫泉空心菜";"https://icook.tw/recipes/468586";"宜蘭溫泉空心菜、雞粉、鹽";"宜蘭溫泉空心菜1把, 雞粉1小匙, 鹽1茶匙";"將空心菜去除尾端，切斷洗淨備用 / 熱油鍋放入空心菜大火快炒加入雞粉、鹽拌勻炒熟透即可";"空心菜\468586_清炒宜蘭溫泉空心菜.jpg"
"458211";"空心菜小魚乾湯";"https://icook.tw/recipes/458211";"空心菜、蒜頭、小魚乾、鹽、香油、水";"空心菜1/2把, 蒜頭2瓣, 小魚乾1大匙, 鹽1小匙, 香油1小匙, 水600cc";"切的時候把菜葉跟菜梗分開 / 先下小魚乾跟蒜片熬湯底 / 先下菜梗煮 / 菜梗煮一分鐘後下菜葉，一點鹽跟香油調味 / 完成~";"空心菜\458211_空心菜小魚乾湯.jpg"
"467301";"燙空心菜";"https://icook.tw/recipes/467301";"空心菜、姜片、醬油、糖、油";"空心菜1把, 姜片6片, 醬油1/3碗, 糖1小匙, 油1小匙";"將空心菜洗乾淨，先不切 / 放入滾水中川燙 / 翻面燙熟後即可撈出 / 撈出後再將空心菜切斷，切自己好入口的大小即可 / 製作醬汁，首先將薑切末 / 加入醬油、糖、油攪拌後淋到空心菜上即可上桌";"空心菜\467301_燙空心菜.jpg"
