"id";"食譜名稱";"網址";"預覽食材";"詳細食材";"做法";"圖片相對路徑"
"466773";"◆紅蔥頭炒蔬菜";"https://icook.tw/recipes/466773";"紅蔥頭、小玉米筍、四季豆、柴魚粉、鹽巴";"紅蔥頭3瓣, 小玉米筍2人, 四季豆2人, 柴魚粉半匙, 鹽巴1匙";"紅蔥頭炒蔬菜：
新鮮紅蔥頭3顆切丁加入蝦米爆香，加入蔬菜翻炒，加入調味後，即可起鍋。";"紅蔥頭\466773_◆紅蔥頭炒蔬菜.jpg"
"409853";"紅蔥頭韭菜";"https://icook.tw/recipes/409853";"韭菜、紅蔥頭絲、辣椒、酒、味霖、醬油、昆布柴魚高湯";"韭菜50g, 紅蔥頭絲20g, 辣椒1根, 酒1小匙, 味霖1/2小匙, 醬油1/2小匙, 昆布柴魚高湯30cc";"韭菜洗淨段切備用. / 取小鍋子,倒入酒與味霖煮滾揮發酒精,續放入紅蔥頭絲,醬油及昆布柴魚高湯. / 再滾收乾到9成時,放入步驟1韭菜段,邊拌邊加熱收汁即可.";"紅蔥頭\409853_紅蔥頭韭菜.jpg"
"401006";"紅蔥頭油酥";"https://icook.tw/recipes/401006";"紅蔥頭、植物油";"紅蔥頭適量, 植物油適量";"適量的紅蔥頭撥好
切片 / 將油蓋過食材
用小火～中小火慢慢攪拌
偏微金黃就要專注小心不要變焦蔥酥變金黃就可以起鍋過濾了 / 起鍋分開瀝油 / 完成的蔥油酥.油可拌麵
或燙青菜拌
加上少許的醬油就可以拌飯超美味";"紅蔥頭\401006_紅蔥頭油酥.jpg"
"478715";"簡易版雞肉飯（雞腿肉）/樸實的經典好味道";"https://icook.tw/recipes/478715";"雞腿、紅蔥頭、醬油、砂糖、鹽巴、白胡椒";"雞腿3隻, 紅蔥頭約50克, 醬油2大湯匙, 砂糖適量, 鹽巴適量, 白胡椒隨個人喜好";"材料
1. 雞腿去骨去皮（雞皮炸炸雞油用）
2.紅蔥頭切薄片 / 水滾下雞腿肉，滾3分鐘後，蓋上鍋蓋悶20分鐘

這樣煮出來的雞腿肉很嫩喔
雞胸肉也可以這樣煮，煮出來的肉質不柴 / 小火將雞皮的油熬出 / 熬出雞油後，取出雞皮，加肉紅蔥頭爆香 / 紅蔥頭炸出香氣，色澤開始轉成金黃色加入醬油、砂糖、白胡椒📌因為油溫很高，加醬油時要慢慢加，以免油爆 / 加入煮雞腿的雞湯及雞皮，湯汁滾後小火熬3分鐘
取出雞皮

試鹹淡，依照個人喜好調整口味，需要比平常吃的口味稍為鹹一點，因為要淋在白飯與雞肉上 / 筷子可以輕鬆插入雞肉，抽出沒有血，就悶熟了喔 / 雞腿肉切片

雞腿片比雞肉絲吃起來更滿足呦

也可以用雞胸撕成雞肉絲，來個雙拼🤭";"紅蔥頭\478715_簡易版雞肉飯（雞腿肉）_樸實的經典好味道.jpg"
"405150";"自炸豬油---豬油拌飯/拌麵";"https://icook.tw/recipes/405150";"豬油、紅蔥頭、米酒";"豬油100元, 紅蔥頭適量, 米酒適量";"豬油，準備100元 / 紅蔥頭適量，想要香氣重一點就準備多一點 / 燒一鍋熱水，加點米酒去腥 / 豬油下鍋過水一下 / 撈起瀝乾下鍋，加一碗水 / 中大火滾至豬油有點黃 / 關小火至豬油縮乾如圖 / 紅蔥頭事先切好備用 / 撈起豬油渣，下紅蔥頭，不停攪拌 / 過程火量大小以中小火至小火，
注意！！！！
微黃就要馬上關火，不然會焦掉 / 準備一支玻璃瓶，裝罐，
注意很燙！最好用盤子端著 / 放涼後冰冰箱 / 冰過後就會凝固 / 豬油加點烏醋、蠔油，拌乾麵超香 / 也可以豬油加蠔油拌飯";"紅蔥頭\405150_自炸豬油---豬油拌飯_拌麵.jpg"
"420367";"脆煎干貝佐紅蔥頭奶油醬";"https://icook.tw/recipes/420367";"扇貝、紅蔥頭、鮮奶、鮮奶油、無鹽奶油、豆蔻粉、鹽巴";"扇貝4顆, 紅蔥頭4瓣, 鮮奶50ml, 鮮奶油1大匙, 無鹽奶油50g, 豆蔻粉些許, 鹽巴些許";"扇貝

利用清水洗淨多餘的沙子清洗乾淨。 / 熱鍋，15g無鹽奶油至融化後，放入扇貝，第一面朝下煎至金黃色澤。 / 翻至另一面，加入15g無鹽奶油，煎約30秒，即可完成。 / 熱鍋，15g無鹽奶油至融化，加入紅蔥頭末，炒出香氣。 / 紅蔥頭奶油醬
加入50ml鮮奶、1大匙鮮奶油，加入1/4茶匙鹽巴、1/2茶匙豆蔻粉調味，攪拌至滾呈稠狀。 / 將綠珊瑚鋪在底層，扇貝擺上，放上些許紅蔥頭奶油醬，最後櫻桃蘿蔔刨薄片立在最上方！";"紅蔥頭\420367_脆煎干貝佐紅蔥頭奶油醬.jpg"
"468914";"橄欖紅蔥油";"https://icook.tw/recipes/468914";"紅蔥頭、橄欖油";"紅蔥頭1顆, 橄欖油適量";"紅蔥頭切碎後把橄欖油加滿用氣炸鍋180度10分鐘烤到有香味 / 炸好放涼可以冰起來適量取用";"紅蔥頭\468914_橄欖紅蔥油.jpg"
"395198";"蔥香豬油";"https://icook.tw/recipes/395198";"豬油、八角、薑、蔥、紅蔥頭";"豬油200g, 八角3片, 薑4片, 蔥1支, 紅蔥頭6瓣/45g";"豬油洗淨、切塊 / 薑切片，蔥切段 / 紅蔥頭切薄片 / 豬油入滾水汆燙2分鐘 / 取出豬油，洗淨後切細丁 / 鍋中加入豬油、少許清水，中火燒開 / 煮至水分快收乾時，轉小火 / 煸出一些豬油後，下薑、蔥、八角 / 小火煸約10分鐘，至豬油粕焦黃後熄火，用餘溫續炸 / 濾出豬油粕，即為豬油 / 豬油倒回鍋中，加入紅蔥片，開小火炸 / 不斷攪拌 / 炸至略帶金黃即可熄火，用餘溫續炸至完全金黃 / 炸好即為油蔥酥、蔥香豬油；建議冷藏保存";"紅蔥頭\395198_蔥香豬油.jpg"
"475715";"家庭小菜｜簡單 美味 南瓜排骨盅";"https://icook.tw/recipes/475715";"南瓜、排骨、紅蔥頭、蒜頭、薑片、生抽、生油";"南瓜1個, 排骨300g, 紅蔥頭1粒, 蒜頭3瓣, 薑片3片, 生抽2湯匙, 生油4湯匙";"詳細食譜，請看:https://youtu.be/2PBb9KKlV1M / 紅蔥頭、蒜頭切粒，分為兩份，備用。薑片切絲，加入生蔥頭蒜頭中，作為生蔥蒜粒。 / 油燒熱，至有白煙。淋在沒薑絲的蔥蒜粒中，作為熟蔥蒜粒。 / 3.	熱水倒在排骨中，使血水滲出。
沖洗排骨。
把熟蔥蒜粒 和 生蔥蒜粒倒在排骨中，混合。
3分鐘後，加入生抽。
醃30分鐘至1小時。 / 4.南瓜去頂部，留用。
挖去核及少少瓜肉。
把醃排骨放南瓜中間。
隔水蒸 1小時 （因南瓜大小而定）。";"紅蔥頭\475715_家庭小菜｜簡單_美味_南瓜排骨盅.jpg"
"477422";"蒜香火腿蛋炒飯";"https://icook.tw/recipes/477422";"白飯、火腿腸、蛋、蒜頭、紅蔥頭、蔥、植物油、醬油、白胡椒粉、黑胡椒粒";"白飯2碗, 火腿腸1根, 蛋2顆, 蒜頭4瓣, 紅蔥頭2瓣, 蔥2根, 植物油3大匙, 醬油1大匙, 白胡椒粉0.5小匙, 黑胡椒粒0.5小匙";"將蒜頭和紅蔥頭清洗後切末，蔥清洗後切蔥花，火腿腸切丁 / 鍋子熱鍋後，加入植物油 / 將蛋用筷子打散 / 打散的蛋倒入油鍋中 / 開中火，將蛋拌炒至定型後移至盤子上 / 開小火，用炒蛋的餘油炒香蒜末和紅蔥頭末，然後移至盤子上 / 將白飯倒至鍋中，以中火拌炒至水份略乾 / 加入火腿腸丁拌炒至表面略焦黃 / 加入炒蛋、炒香的蒜末和紅蔥頭末 / 加入鹽、醬油、白胡椒粉和黑胡椒粒拌炒均勻 / 起鍋前加入蔥花拌炒即完成";"紅蔥頭\477422_蒜香火腿蛋炒飯.jpg"
