"id";"食譜名稱";"網址";"預覽食材";"詳細食材";"做法";"圖片相對路徑"
"479774";"芋頭西米露";"https://icook.tw/recipes/479774";"芋頭、西米露、砂糖";"芋頭1顆, 西米露1大匙, 砂糖2大匙";"芋頭削皮後切塊（削皮時建議戴手套）
加水沒過芋頭（喜歡喝甜湯可以多加一些水）
放入電鍋，外鍋一杯水
電鍋跳起後加入砂糖放涼備用 / 煮一鍋滾水
倒入西米露大火煮至浮起
轉中小火續煮10分鐘後
蓋上鍋蓋悶15分鐘
撈起西米露倒入放涼的芋頭甜湯即完成～";"芋頭\479774_芋頭西米露.jpg"
"478946";"蜜芋頭";"https://icook.tw/recipes/478946";"芋頭、砂糖、米酒";"芋頭半顆, 砂糖1大匙, 米酒1小匙";"芋頭切塊，加水淹過芋頭，放入電鍋，外鍋放一杯水，等跳起，再悶10分鐘，然後加糖跟米酒，外鍋再放一杯水再煮，等跳起，就可起鍋，待涼放冰箱更綿密好吃。";"芋頭\478946_蜜芋頭.jpg"
"467185";"芋頭米粉";"https://icook.tw/recipes/467185";"芋頭、豬肉絲、雞湯塊、洋蔥、雞粉、米酒、娃娃菜、糖、醬油、香菇、香油、蝦米、油蔥酥、炊粉";"芋頭300克, 豬肉絲200克, 洋蔥1顆, 娃娃菜1包, 香菇4朵, 蝦米1小匙, 油蔥酥1大匙, 炊粉1包, 雞湯塊2塊, 雞粉1大匙, 糖1小匙, 米酒1小匙, 醬油1小匙, 香油1小匙";"芋頭噴油放入氣炸鍋180度15分鐘、娃娃菜洗淨切斷備用、蝦米與香菇分別泡水、香菇軟了切絲、洋蔥也切絲，豬肉絲使用醬油.香油米酒醃漬15分鐘 / 熱油鍋爆香香菇絲、蝦米加入洋蔥炒香加入豬肉絲炒至變色加入熱水煮滾 / 放入芋頭塊娃娃菜燉煮30分鐘加入炊粉、雞湯塊、雞粉、糖調味最後撒上油蔥酥即可";"芋頭\467185_芋頭米粉.jpg"
"475483";"芋頭飯";"https://icook.tw/recipes/475483";"芋頭、五花肉、米酒、香菇、醬油、蝦米、鹽巴、白胡椒粉";"芋頭1顆, 五花肉半塊, 香菇5朵, 蝦米20克, 米酒1大匙, 醬油1大匙, 鹽巴1/2匙, 白胡椒粉1/4匙";"芋頭切塊 / 熱水泡蝦米 / 浸泡好的香菇切片 / 五花肉切小塊 / 芋頭丁炸恰恰的，並撈起備用。 / 醃豬肉絲：米酒1大匙，醬油1大匙，鹽1/2匙，白胡椒粉1/4小匙，醃十分鐘。 / 蒜末爆香，蝦米爆香，香菇爆香。五花肉翻炒（鹽2小匙，雞粉1小匙，白胡椒粉1/4小匙）芋頭丁回鍋翻炒，白米下鍋翻炒。";"芋頭\475483_芋頭飯.jpg"
"475505";"芋頭麵包";"https://icook.tw/recipes/475505";"高筋麵粉、糖、鹽、水、酵母、雞蛋、土雞蛋、奶粉、奶油";"高筋麵粉400克, 糖60克, 鹽4克, 酵母5克, 土雞蛋1個, 奶粉20克, 奶油50克, 水50克或適量不黏, 高筋麵粉30克, 水150克, 高筋麵粉100克, 酵母1克, 水100克, 雞蛋1個";"食材選用：嘉禾牌高筋麵粉、南北坊二砂糖、台鹽、燕子牌酵母、克寧奶粉、土雞蛋、總統牌無鹽奶油、水 / 湯種：開小火煮到濃稠即可（1：1或1：5例如：50公克高筋麵粉、50公克水或10公克高筋麵粉、50公克水）
前一天先做冰冷藏到隔天製作使用
加入攪拌鋼 / 液種：高筋麵粉100公克、1公克酵母跟水100公克攪拌均勻
前一天先做冰冷藏到隔天製作使用
加入攪拌鋼 / 加所有食材 / 先慢速打再中速打到厚薄膜 / 打到厚薄膜 / 奶油 / 加奶油先慢速 / 再轉中速 / 打到薄膜（圓弧狀） / 測溫度（21度）
麵糰溫度（28度以內） / 滾圓做基本發酵50分鐘 / 基本發酵50分鐘完成 / 分割麵糰一個90公克 / 滾圓做中間發酵15分鐘 / 中間發酵15分鐘完成 / 自製芋頭餡：芋頭、糖粉、煉乳、奶油攪拌均勻即完成 / 麵糰整形把麵糰拍扁 / 翻面包餡料 / 照這樣收折起來 / 把底部捏緊麵糰表面朝上 / 做最後發酵50分鐘 / 最後發酵50分鐘完成 / 預熱：上下火250度25分鐘預熱到下火180度以上才可烤可以13分鐘內出爐
烤焙：上火240度下火230度放烤箱倒數第二層（上火有上色關零度沒上色上火再調高），總共烤13分鐘
第二盤上火230度~240度下火220度放倒數第二層烤13分鐘
焙雅客數位版烤箱烤溫 / 烘烤中 / 芋頭麵包完成";"芋頭\475505_芋頭麵包.jpg"
"474489";"芋頭年糕";"https://icook.tw/recipes/474489";"糯米粉、二砂、黑糖、水、芋頭";"糯米粉2杯, 二砂半杯, 黑糖半杯, 水1杯, 芋頭半顆";"芋頭切丁，加油拌炒一下，
加水煮熟後放入二砂2大匙，
蜜芋頭 / 水加熱融化黑糖，二砂，過濾放涼
加入糯米粉攪拌均勻 / 蜜芋頭和粉漿混合
電鍋(外鍋4杯半水)蒸到筷子插入無粉漿即熟";"芋頭\474489_芋頭年糕.jpg"
"479327";"芋頭酥蛋餅";"https://icook.tw/recipes/479327";"義美芋頭酥餅、雞蛋";"義美芋頭酥餅1片, 雞蛋1顆";"煎 / 鋪蛋上 / 翻面，盛";"芋頭\479327_芋頭酥蛋餅.jpg"
"476260";"芋頭燒肉";"https://icook.tw/recipes/476260";"梅花肉、芋頭去皮、醬油、酒、糖、水";"梅花肉600克, 芋頭去皮440克, 醬油3圓匙, 酒2圓匙, 糖2毫升, 水0.8米杯";"全部倒入快鍋
中大火煮開，並鎖上氣閥
鎖上後轉中小火煮7分鐘關火 / 等氣閥平了再開蓋，
拌勻後即可上菜";"芋頭\476260_芋頭燒肉.jpg"
"475410";"芋頭米粉湯";"https://icook.tw/recipes/475410";"芋頭塊、乾香菇泡水、白胡椒、蝦米用米酒洗過、醬油、豬骨高湯、鹽巴、蔥白切段、油蔥酥、芹菜珠、米粉";"芋頭塊300克, 乾香菇泡水6朵, 蝦米用米酒洗過15克, 豬骨高湯1500c.c., 蔥白切段2根, 油蔥酥20克, 芹菜珠2根, 米粉1包, 白胡椒1小匙, 醬油1小匙, 鹽巴1大匙";"芋頭切塊，炸的恰恰。 / 乾香菇泡過水後剪一剪。乾香菇、蝦米、蔥白炒香，放些許醬油。 / 加水，放入已經川燙過的豬排骨（即豬骨高湯）。倒入恰恰的芋頭（滾十分鐘），再加入乾米粉，可以吸飽湯汁。 / 加入油蔥酥跟鹽、白胡椒調味，最後放芹菜珠提味。";"芋頭\475410_芋頭米粉湯.jpg"
"472328";"芋頭肉丸";"https://icook.tw/recipes/472328";"豬絞肉、芋頭、蒜片、醬油、糖、蛋、木薯粉";"豬絞肉280克, 芋頭150克, 蒜片1大匙, 醬油2匙, 糖2小匙, 蛋1個, 木薯粉1匙";"豬肉加蒜及調味料攪拌。 / 芋頭切粗絲。 / 豬絞肉（加入一個蛋及木薯粉）+芋頭絲拌勻。 / 捏成丸狀放入電鍋。
外鍋一杯水。 / 蒸好再悶十分鈡。 / 盛盤。 / 咬開，肉丸內的芋頭。";"芋頭\472328_芋頭肉丸.jpg"
