"id";"食譜名稱";"網址";"預覽食材";"詳細食材";"做法";"圖片相對路徑"
"473157";"蒜苗炒高麗菜";"https://icook.tw/recipes/473157";"蒜苗、高麗菜、雞粉、鹽、糖";"蒜苗1根, 高麗菜0.5顆, 雞粉1.5小匙, 鹽1.5茶匙, 糖0.5茶匙";"將高麗菜切塊洗淨瀝乾備用、蒜苗斜切片狀 / 熱油鍋爆香蒜白加入高麗菜大火快炒 / 加入雞粉.鹽.糖調味炒至食材熟透即可";"蒜苗\473157_蒜苗炒高麗菜.jpg"
"478735";"蒜苗炒叉燒";"https://icook.tw/recipes/478735";"叉燒、蒜苗、蒜頭、辣椒、胡椒鹽、油";"叉燒適量, 蒜苗1支, 蒜頭1瓣, 辣椒適量, 胡椒鹽適量, 油1大匙";"油熱，下蒜頭、蒜白爆香，吃辣的再加辣椒。 / 有香味之後下叉燒 / 叉燒稍微焦焦時下蒜青 / 起鍋前調味，這也是好市多買的，太大罐吃不完，當成鹽來用比較快。沒有的話鹽、味精就可以了。 / 完成";"蒜苗\478735_蒜苗炒叉燒.jpg"
"479556";"蒜苗炒蘿蔔糕";"https://icook.tw/recipes/479556";"蘿蔔糕、香菜、蒜苗";"蘿蔔糕300克, 香菜1把, 蒜苗1把";"起鍋下油，煎蘿蔔糕 / 煎至兩面金黃酥脆 / 原鍋下蒜白炒香 / 蘿蔔糕及蒜綠一同下鍋 / 加入香菜拌炒的，即可調味起鍋";"蒜苗\479556_蒜苗炒蘿蔔糕.jpg"
"474364";"蒜苗鹹豬肉";"https://icook.tw/recipes/474364";"五花肉條、蒜苗或青蔥、辣椒、玄米油或其他油";"五花肉條300克, 蒜苗或青蔥2支, 辣椒1根, 玄米油或其他油1小匙";"老媽使用特別的滷包來醃製五花肉，我撿現成的😆 / 我本身不愛吃皮，所以我將五花肉的皮去除掉之後，切成薄片或是細條狀狀 / 噴少少的油，搭配不沾平底鍋（很推薦ASD聚油環形不沾鍋），用文火慢慢煎出油 / 蒜苗也是娘家種的，老媽說鹹豬肉一定要配 / 豬肉的油慢慢被逼出來之後，蒜苗就可以下鍋一起拌炒，喜歡吃辣，可以加一根辣椒 / 我是為了拍照好看，所以配了一根去籽的辣椒，建議在準備起鍋的時候再放，這樣就不會辣了。";"蒜苗\474364_蒜苗鹹豬肉.jpg"
"475368";"蒜苗炒臘肉";"https://icook.tw/recipes/475368";"臘肉、蒜苗";"臘肉185克, 蒜苗2根";"臘肉切片，厚度約0.2～0.3公分，蒜苗斜切成片狀備用，並事先將蒜白蒜青分開 / 煮一鍋水，待水沸騰後，放入臘肉汆燙約10秒鐘 / 隨後將臘肉撈起瀝水備用 / 熱鍋，不加油放入臘肉平鋪煎炒 / 臘肉會慢慢出油，翻面後繼續煎炒 / 加入蒜白炒出蒜香味 / 再放入蒜青拌炒幾下，待蒜青油亮翠綠，即可盛盤上菜";"蒜苗\475368_蒜苗炒臘肉.jpg"
"476721";"蒜苗豆豉燴鯊魚肉";"https://icook.tw/recipes/476721";"鯊魚肉、蒜苗、豆豉、鹽巴、太白粉";"鯊魚肉1塊, 蒜苗3枝, 豆豉1大匙, 鹽巴2小匙, 太白粉12小匙";"鯊魚肉洗淨切小塊、蒜苗去頭後切段。 / 中火熱油鍋，乾豆豉洗淨後瀝乾放入鍋中壓一下炒香 / 倒入1小湯匙水與蒜苗大火拌炒均勻 / 放入鯊魚肉炒至魚肉變白 / 倒入2匙水和鹽巴拌炒，蓋上鍋蓋燜煮中小火3分 / 取1小匙太白粉與4匙水攪拌均勻，倒入炒鍋中拌炒勾芡，盛盤即可。";"蒜苗\476721_蒜苗豆豉燴鯊魚肉.jpg"
"472024";"蒜苗炒鹹豬肉";"https://icook.tw/recipes/472024";"鹹豬肉、洋蔥、蒜苗、黑胡椒粒";"鹹豬肉1條, 洋蔥1顆, 蒜苗2根, 黑胡椒粒少許";"備菜
鹹豬肉切小塊蒜苗斜切洋蔥小段 / 鹹豬肉少許油
慢慢煎逼出油
（過程中可以用些水煎方式 慢慢壓肉逼油，把油撈出來可以炒菜，很香） / 先炒白蒜苗
炒香後加入生洋蔥快炒30秒 / 加入青蒜苗拌勻炒香
起鍋前加入黑胡椒粒 / 完成上桌
沒有特別加調味 吃鹹豬肉香";"蒜苗\472024_蒜苗炒鹹豬肉.jpg"
"472621";"蒜苗炒香腸";"https://icook.tw/recipes/472621";"蒜味香腸、大蒜、酒、蒜末、醬油、薑末、鹽";"蒜味香腸4根, 大蒜2根, 蒜末1小匙, 薑末1小匙, 酒1大匙, 醬油1小匙, 鹽些許";"香腸斜切片，大蒜洗淨也斜切片。
熱鍋，倒入些許橄欖油，放蒜末薑末炒香，放進香腸炒至變色炒熟，倒進 [調料］略炒，最後放進蒜苗一起拌炒炒勻即可。";"蒜苗\472621_蒜苗炒香腸.jpg"
"473791";"鹹蛋黃金沙蒜苗炒板豆腐";"https://icook.tw/recipes/473791";"板豆腐、鹹蛋黃金沙調味料、蒜苗";"板豆腐1盒, 鹹蛋黃金沙調味料1包, 蒜苗1根";"蒜苗斜切、板豆腐切片備用 / 熱油鍋放入版豆腐煎至金黃後盛起 / 將鍋中放入20 ml的油加入鹹蛋黃風味調味粉拌勻 / 放入蒜苗炒香後，將板豆腐加入拌勻即可";"蒜苗\473791_鹹蛋黃金沙蒜苗炒板豆腐.jpg"
"473147";"蒜苗炒梅花肉";"https://icook.tw/recipes/473147";"梅花肉、豆乾、鹽、蒜苗、片栗粉、醬油、蠔油、羅漢果糖、粗粒黑胡椒";"梅花肉300克, 豆乾5塊, 蒜苗3支, 鹽1小匙, 片栗粉1小匙, 醬油1大匙, 蠔油1大匙, 羅漢果糖1小匙, 粗粒黑胡椒適量";"將梅花肉切成較薄的片狀，加入 1 小匙鹽 和 1 小匙片栗粉，充分抓拌均勻，醃10分鍾 / 使用平底鍋加熱，倒入少許油，將豆乾放入鍋中煎 / 將豆乾放入鍋中，以中小火煎至表面金黃 / 熱鍋後加入大蒜片油，若無大蒜片，可改用 3 瓣大蒜切片與一般食用油爆香，以達相同風味效果。 / 加入白蒜苗翻炒至香氣釋放，加入醃好的後炒至半熟 / 加入煎至金黃的豆乾，接著倒入 1 大匙醬油，翻炒均勻，使豆乾充分吸收醬香。 / 再加入 1 大匙半蠔油，翻炒均勻，使豆乾充分吸收醬汁。 / 加入 1 小匙羅漢果糖，翻炒均勻。 / 加入 粗粒黑胡椒，翻炒均勻。 / 最後加入 綠蒜苗，快速翻炒至微軟且釋放香氣，即可完成。";"蒜苗\473147_蒜苗炒梅花肉.jpg"
