"id";"食譜名稱";"網址";"預覽食材";"詳細食材";"做法";"圖片相對路徑"
"478065";"涼拌蓮藕";"https://icook.tw/recipes/478065";"蓮藕、鹽、醋、蒜末、糖、薄鹽醬油、韓式香油、薑絲";"蓮藕1, 鹽適量, 醋2大匙, 蒜末少許, 糖1大匙, 薄鹽醬油1大匙, 韓式香油2大匙, 薑絲少許";"蓮藕去皮泡鹽水可防止蓮藕變色 / 切片的蓮藕一樣泡在鹽水中,也可看看蓮藕空洞中是否有泥巴殘留 / 蓮藕燙約3—5分鐘,依蓮藕厚度大小調整時間。
燙過的蓮藕泡冷水冷卻備用。 / 調味的糖跟鹽可以先用熱水調開，避免拌入涼菜中調味料沒有溶解。 / 將所有的調味料與食材拌勻，放冰箱冷藏至少2小時讓食材入味。
照片中的涼拌菜是靜置24小時的成品。";"蓮藕\478065_涼拌蓮藕.jpg"
"465542";"牛肉炒蓮藕";"https://icook.tw/recipes/465542";"牛肉、蓮藕、米酒、蔥、醬油、香油、太白粉";"牛肉200克, 蓮藕1節, 蔥2根, 米酒1大匙, 醬油1大匙, 香油1小匙, 太白粉1大匙";"牛肉切片後使用米酒醬油香油醃漬10分鐘再加入太白粉，攪拌等待5分鐘，蓮藕切片蔥切段備用 / 爆香蔥白放入蓮藕片炒至8分熟 / 將牛肉及醃漬醬汁一同加入鍋中翻炒並加入青蔥段翻炒至牛肉變色即可";"蓮藕\465542_牛肉炒蓮藕.jpg"
"463047";"蓮藕片炒雞胸";"https://icook.tw/recipes/463047";"雞胸肉、蓮藕、雞粉、紅蘿蔔片、蠔油、鹽、蔥、醬油、米酒、糖、十三香粉、太白粉、香油";"雞胸肉1盒, 蓮藕3節, 紅蘿蔔片6片, 蔥1根, 雞粉1小匙, 蠔油1大匙, 醬油1大匙, 糖1小匙, 太白粉1小匙, 鹽1小匙, 米酒1大匙, 十三香粉1小匙, 香油1小匙, 太白粉1茶匙";"雞胸肉使用鹽、米酒、十三香粉、香油拌匀入味醃制10分鐘再使用太白粉醃製 / 熱油鍋將雞胸肉拌匀醃制下過翻炒至熟透盛起 / 將蓮藕片、紅蘿蔔片和蔥炒匀後，加入雞粉、蠔油、醬油、糖與雞胸肉炒匀 / 並使用少許太白粉勾芡即完成";"蓮藕\463047_蓮藕片炒雞胸.jpg"
"465490";"洋蔥肉末炒蓮藕";"https://icook.tw/recipes/465490";"燒肉末、蓮藕、味霖、洋蔥、雞粉、鹽";"燒肉末150克, 蓮藕2節, 洋蔥0.5顆, 味霖1大匙, 雞粉1小匙, 鹽0.5小匙";"將洋蔥切絲備用、蓮藕削皮切片泡水 / 將燒肉下鍋加入洋蔥絲翻炒至香 / 加入蓮藕片加味霖、雞粉和鹽炒熟";"蓮藕\465490_洋蔥肉末炒蓮藕.jpg"
"461633";"蓮藕豬里肌煮";"https://icook.tw/recipes/461633";"蓮藕、豬里肌、糖、紅蘿蔔絲、醬油、芝麻、水、太白粉";"蓮藕200克, 豬里肌200克, 紅蘿蔔絲1大匙, 芝麻1小匙, 糖2大匙, 醬油1.5大匙, 水200毫升, 太白粉1大匙";"將蓮藕洗淨削皮，切成入口長條狀 / 豬肉輕拍太白粉後乾煎，加入紅蘿蔔絲與蓮藕塊翻炒 / 我中放入砂糖醬油與水，煮沸後轉小火周自在淋上芝麻及完成";"蓮藕\461633_蓮藕豬里肌煮.jpg"
"466516";"蓮藕片炒鴻禧菇";"https://icook.tw/recipes/466516";"蓮藕、鴻禧菇、雞粉、鹽";"蓮藕2節, 鴻禧菇1包, 雞粉1小匙, 鹽1茶匙";"將蓮藕洗淨削皮切薄片泡水備用 / 熱油鍋加入蓮藕片翻炒，放入少許水與鴻喜菇蓋過燜煮 / 開鍋加入鹽、雞粉調味拌勻即可";"蓮藕\466516_蓮藕片炒鴻禧菇.jpg"
"468576";"蓮藕肉餅";"https://icook.tw/recipes/468576";"蓮藕、絞肉";"蓮藕200克, 絞肉100克";"絞肉加一點13香粉、醬油、糖將絞肉均勻地攪拌一會兒 / 蓮藕洗淨切片、將蓮藕片鋪在肉餅上";"蓮藕\468576_蓮藕肉餅.jpg"
"479174";"涼拌黑芝麻沙拉藕片";"https://icook.tw/recipes/479174";"蓮藕、鹽、丘比美奶滋、黑芝麻粉、蔬果白醋、冷開水";"蓮藕350克, 鹽1茶匙, 丘比美奶滋50克, 黑芝麻粉15克, 蔬果白醋1茶匙, 冷開水3茶匙";"蓮藕洗淨；芝麻粉與日式美奶滋+白醋+冷開水拌勻放冰箱冷藏； / 蓮藕去皮切0.2cm厚度的薄片； / 蓮藕片泡水洗去表面澱粉； / 煮滾1鍋水，加入少許橄欖油和1茶匙鹽； / 藕片倒入滾水中清燙3分鐘； / 撈起蓮藕片，泡入冰開水中，洗淨表面的澱粉後瀝乾； / 藕片略擦乾，倒入調好的黑芝麻沙拉醬； / 拌勻後放冰箱冷藏，擺盤後撒上少許熟芝麻即可。";"蓮藕\479174_涼拌黑芝麻沙拉藕片.jpg"
"479007";"清甜玉米蓮藕湯、雞絲同步完成";"https://icook.tw/recipes/479007";"蓮藕、黃玉米、鹽巴、紅棗、去骨雞腿";"蓮藕2段, 黃玉米2支, 紅棗6個, 去骨雞腿1支, 鹽巴1.5小匙";"蓮藕切薄片，紅棗去頭尾放入鍋中
水醃過食材開火煮滾 / 加入川燙洗淨的雞腿中火煮30分鐘 / 用筷子刺雞腿若無血水跑出來代表雞腿熟透，將雞腿取出置入盤中待涼。
加入切塊玉米一起煮約五分鐘即可，玉米不要煮過頭甜味才不會流失
此時玉米蓮藕湯完成，加入鹽巴調味即可 / 取出放涼的雞腿肉撕成雞絲 / 以少許湯汁加一點蠔油及蔥絲調製雞絲拌醬，攪拌雞絲均勻即成一道主食";"蓮藕\479007_清甜玉米蓮藕湯、雞絲同步完成.jpg"
"473420";"蓮藕青椒炒鴨賞";"https://icook.tw/recipes/473420";"蓮藕、鴨賞、青椒、米酒、胡椒";"蓮藕200克, 鴨賞200克, 青椒150克, 米酒10毫升, 胡椒適量";"蓮藕刷去污泥，兩端切開，在水龍頭下沖洗藕孔，之後削皮切片，用麵粉水浸泡10分鐘，然後洗淨，用滾水汆燙2分鐘備用。 / 青椒洗淨去籽切塊備用。 / 鴨賞煸出鴨油，用廚房紙巾吸去多餘油脂，熗點米酒加蓋燜出香味約30秒。 / 加入蓮藕片、青椒，拌炒均勻加熱約90秒至青椒炒熟，試試味道，撒點胡椒提味即可。";"蓮藕\473420_蓮藕青椒炒鴨賞.jpg"
