"id";"食譜名稱";"網址";"預覽食材";"詳細食材";"做法";"圖片相對路徑"
"478358";"蘆筍炒牛肉";"https://icook.tw/recipes/478358";"美國牛肉片、蘆筍、蒜片、辣椒、醃料、醬油、糖、水、玫瑰鹽、黑胡椒粉、太白粉、香油、醬汁、醬油膏";"美國牛肉片200克, 蘆筍10-12根, 蒜片2大匙, 辣椒1茶匙, 醃料0, 醬油1匙, 糖1茶匙, 水1大匙, 玫瑰鹽1/4茶匙吧, 黑胡椒粉1茶匙, 太白粉1小匙, 香油1大匙, 醬汁如下, 醬油膏2小匙, 黑胡椒粉少許";"準備食材，蘆筍洗淨削皮後底部粗根切除，蒜、辣椒切片備用。 / 牛肉醃漬玫瑰鹽、黑胡椒粉、米酒醬油、糖、水抓至水份消失再下太白粉抓勻最後下香油混合醃15分鐘。 / 起鍋沸水下蘆筍、鹽、油少許燙2分鐘撈起。 / 撈起後泡冰水讓蘆筍保持脆綠。 / 起油鍋2湯匙橄欖油下牛肉炒熟撈起備用。 / 同鍋油下蒜片辣椒炒出香味。 / 倒入牛肉翻炒再下蘆筍炒勻。 / 最後下醬汁炒勻即可。 / 擺盤上桌享用。";"蘆筍\478358_蘆筍炒牛肉.jpg"
"479085";"蘆筍番茄炒蛋";"https://icook.tw/recipes/479085";"蘆筍、牛蕃茄、雞蛋";"蘆筍200克, 牛蕃茄2顆, 雞蛋3顆";"先炒番茄，超軟 / 下蘆筍，一起炒。 / 最後下雞蛋，蛋熟就可以起鍋。";"蘆筍\479085_蘆筍番茄炒蛋.jpg"
"475870";"蘆筍花枝蝦仁";"https://icook.tw/recipes/475870";"蘆筍、花枝、蝦仁、蒜片、白胡椒粉、米酒、鹽";"蘆筍1把, 花枝1隻, 蝦仁8隻, 蒜片1瓣, 白胡椒粉1小匙, 米酒1小匙, 鹽1小匙";"鮮嫩小蘆筍，摘掉尾部約一小指節清洗乾淨，冷凍蝦仁，花枝買完之後我會洗淨切好裝袋冷凍，要料理拿出來退冰。（便宜時可囤貨） / 蒜頭爆香 / 花枝蝦仁下鍋 / 花枝蝦仁七八分熟 / 小蘆筍很快就熟了，丟進去之後，撒點白胡椒粉或黑胡椒粉，翻拌一下加鹽調味，最後加一點米酒或水，蓋鍋蓋悶30秒出鍋。";"蘆筍\475870_蘆筍花枝蝦仁.jpg"
"477443";"蘆筍炒肥牛";"https://icook.tw/recipes/477443";"蘆筍、肥牛、鹽、洋蔥、黑胡椒粉、紅蘿蔔片、壽喜燒醬油、辣椒";"蘆筍400克, 肥牛200克, 洋蔥0.5顆, 紅蘿蔔片6片, 辣椒0.5根, 鹽1茶匙, 黑胡椒粉少許, 壽喜燒醬油1湯匙";"蘆筍洗淨，從根部用手折斷，斷掉的部位基本上太老，可以捨棄； / 然後用削皮刀把蘆筍折斷後的最後一節削皮，然後洗淨備用； / 蘆筍切段，紅蘿蔔切片後再對切；洋蔥切絲；辣椒斜切；這道菜用壽喜燒醬油很適合，或者也可以用淡醬油加點糖替代； / 鍋熱不放油，放肥牛肉片炒出油脂，撒少許鹽巴和黑胡椒粉，讓牛肉有底味； / 牛肉炒出香氣後，撥到旁邊，利用肥牛煎出的油脂，先炒紅蘿蔔片，然後再放蘆筍拌炒； / 接著放入洋蔥炒香； / 加入鹽調味炒勻； / 加入醬油拌炒到蘆筍炒透，試吃蘆筍和肥牛後做微調； / 放入辣椒炒勻即可。";"蘆筍\477443_蘆筍炒肥牛.jpg"
"473888";"火腿炒蘆筍";"https://icook.tw/recipes/473888";"火腿片、蘆筍、蒜片、鹽巴、白芝麻";"火腿片5片, 蘆筍1把, 蒜片4瓣, 鹽巴1小匙, 白芝麻1小匙";"蒜頭切片、蘆筍洗淨後切段、火腿切條備用 / 中火熱油鍋下蒜片炒香放入火腿片拌炒 / 火腿表面略變色後放入蘆筍大火拌炒均勻，途中加入2小匙水一起與鹽巴，炒約1分 / 蓋上鍋蓋，小火悶著1-2分讓蘆筍快熟 / 水收乾後盛盤 / 撒上白芝麻即可";"蘆筍\473888_火腿炒蘆筍.jpg"
"478045";"蒜香蛤蠣炒蘆筍";"https://icook.tw/recipes/478045";"蘆筍、蒜末、全聯大蛤蠣";"蘆筍2把, 蒜末3顆, 全聯大蛤蠣1盒";"1.蘆筍刨掉底部粗皮，切段
2.蛤蠣洗淨
3.蒜頭切粗末 / 中火熱油鍋下蒜末炒香後放入蘆筍大火拌炒均勻。 / 放入半碗水，轉中小火加入蛤蠣，蓋上鍋蓋，燜煮3分。 / 待蛤蠣全開盛盤即可。";"蘆筍\478045_蒜香蛤蠣炒蘆筍.jpg"
"477246";"蛤蜊蒜香炒蘆筍";"https://icook.tw/recipes/477246";"蛤蜊、蘆筍、蒜末、米酒、橄欖油、水";"蛤蜊10顆, 蘆筍1把, 蒜末適量, 米酒適量, 橄欖油適量, 水50CC";"先放水50CC+蛤蜊10顆+米酒適量，開火蓋鍋蓋煮2分鐘 / 開火2分鐘後加入蘆筍蓋鍋蓋煮3分鐘，中間要拌一下 / 3分鐘後加蒜末鹽巴攪拌均勻 / 最後加適量橄欖油拌勻 / 完成上桌";"蘆筍\477246_蛤蜊蒜香炒蘆筍.jpg"
"469860";"培根炒蘆筍";"https://icook.tw/recipes/469860";"培根、蘆筍、薑片、油、鹽";"培根2片, 蘆筍6根, 薑片適量, 油適量, 鹽適量";"培根切塊。薑切片蘆筍削掉硬皮後切段。 / 油鍋加入薑片。
加入培根爆香。
加入蘆筍。
加鹽炒熟即可。";"蘆筍\469860_培根炒蘆筍.jpg"
"478430";"清炒鮮蝦蘆筍義大利麵";"https://icook.tw/recipes/478430";"義大利麵條、蘆筍、蝦子、蒜頭、油、酒、鹽、義大利香料";"義大利麵條200g, 蘆筍一把, 蝦子數隻, 蒜頭適量, 油適量, 酒適量, 鹽適量, 義大利香料適量";"備料
還有酒忘記拍了，這次使用高粱（也可以換成米酒、白酒）
義大利香料是最後點綴使用，可加可不加 / 1.蘆筍洗淨切段，油熱後下鍋炒
2. 同時用另一個鍋子煮義大利麵條（依照包裝顯示煮的時間，這包是10分鐘） / 炒至有蘆筍香味出來後，加入蝦子炒熟，先起鍋備用 / 放入蒜頭炒香後，加入適量煮麵水、酒跟鹽 / 前步驟的水滾後加入麵條、蘆筍、蝦子，充份混合吸收醬汁後即可起鍋啦！ / 最後灑上義大利香料點綴即可享用😋";"蘆筍\478430_清炒鮮蝦蘆筍義大利麵.jpg"
"474763";"白蘆筍蜂蜜乳酪蛋糕";"https://icook.tw/recipes/474763";"白蘆筍、原味餅乾、奶油、奶油乳酪、白砂糖、蜂蜜、雞蛋";"白蘆筍100g, 原味餅乾100g, 奶油30g, 奶油乳酪200g, 白砂糖50g, 蜂蜜40g, 雞蛋2顆";"備料&前置
-全部材料放室溫退冰，奶油乳酪需退冰到可輕鬆壓下
-白蘆筍去皮切丁蒸熟後放涼
-奶油隔水加熱
-原味餅乾壓碎 / 將融化奶油分次加入餅乾碎內拌勻，狀態會越來越成團狀 / 倒入鋪好烘焙紙的6吋蛋糕模內壓實 / 鋪平壓實到這種程度就差不多了，放冷藏備用 / 奶油乳酪依序加入糖、蜂蜜、蛋(少量多次)攪拌至光滑(每次都必須攪拌均勻、刮鋼) / 加入蒸好的白蘆筍丁拌勻 / 將麵糊倒入剛剛冷藏的蛋糕模內，稍微敲模把空氣排出 / 160°C放中下層烤30-40分鐘至表面金黃就可取出放涼（烤箱記得預熱） / 完全放涼後放進冷藏凝固約3-4小時，就可以享用啦！";"蘆筍\474763_白蘆筍蜂蜜乳酪蛋糕.jpg"
