"id";"食譜名稱";"網址";"預覽食材";"詳細食材";"做法";"圖片相對路徑"
"478284";"豌豆菇菇豬肉咖哩飯";"https://icook.tw/recipes/478284";"洋蔥片、紅蘿蔔塊、馬鈴薯塊、豬肉塊、咖喱塊、豌豆、雪白菇、黑巧克力片（可有可無）、起司絲（可有可無）";"洋蔥片0.5顆, 紅蘿蔔塊1條, 馬鈴薯塊2顆, 豬肉塊適個人喜好, 咖喱塊0.5盒, 豌豆0.5盒, 雪白菇0.5包, 黑巧克力片（可有可無）1小塊, 起司絲（可有可無）適量";"電鍋煮一杯米，等待同時開始備料：
❶馬鈴薯、紅蘿蔔：滾刀切塊
❷洋蔥：切片
❸豌豆：剝除側面纖維
❹豬肉：如有冷凍須先退冰至接近常溫 / 【部分食材蒸軟】馬鈴薯和紅蘿蔔放電鍋蒸熟（外鍋一杯水），後續口感才會比較綿密 / 【炒豬肉塊】
下少許油，將豬肉塊煎至表面略為金黃，盛盤備用 / 【炒洋蔥】
原鍋將洋蔥炒軟到半透明，此時如果太乾可補水，避免鍋底燒焦
⚠️建議豌豆可晚點再放，才不會太過軟爛。 / 【煸炒雪白菇】
加入雪白菇，炒到出現菇的香氣，洋蔥呈現透明（同樣可視情況補水） / 【食材混合】
加入步驟2、3的豬肉塊、馬鈴薯和紅蘿蔔，加水至大約與食材齊平，轉中小火至煮滾 / 【持續燜煮】
煮滾後繼續轉小火，蓋鍋蓋燜煮30分鐘
⚠️豌豆可於此時再加入。 / 【預備咖喱塊】
此時同步將咖哩切更小塊，用熱水先稍微沖開（防止後續焦鍋） / 燜煮30分鐘後下咖喱，持續攪拌避免焦鍋 / 加入黑巧克力增添香氣（可有可無） / 完成！（如果喜歡吃起司，可以趁咖喱還很熱的時候加一些在上面）";"豌豆\478284_豌豆菇菇豬肉咖哩飯.jpg"
"470801";"炒豌豆";"https://icook.tw/recipes/470801";"豌豆、紅蘿蔔、鹽、鴻禧菇、黑胡椒、蒜頭、枸杞";"豌豆1包, 紅蘿蔔0.25條, 鴻禧菇1包, 蒜頭1瓣, 枸杞1小把, 鹽1克, 黑胡椒適量";"豌豆兩側的粗絲撕掉；紅蘿蔔切細條；鴻禧菇切除底部；蒜頭切片；枸杞泡溫水10分鐘。 / 煮一水川燙豌豆，水中加入1克鹽與1小匙食用油，大滾時放入豌豆，計時1分鐘，撈起沖冷水備用。 / 1. 熱鍋熱油，炒香蒜片，加入紅蘿蔔拌炒，再加入鴻禧菇。
2.鴻禧菇炒軟，加鹽及黑胡椒。 / 隨後，倒入豌豆與熱水，拌炒約1-2分鐘即可。撒入枸杞。 / 完成。";"豌豆\470801_炒豌豆.jpg"
"479325";"大排長龍的巫婆湯店-爽口的豌豆濃湯";"https://icook.tw/recipes/479325";"豌豆莢/豆仁、高湯塊、水、牛奶、鹽巴、胡椒";"豌豆莢/豆仁2杯份, 高湯塊2個, 水2杯, 牛奶2杯, 鹽巴少許, 胡椒少許";"剝開豌豆莢取出豆仁。 / 鍋中倒入水和豌豆，咕嚕咕嚕地煮到豌豆變軟。 / 再放入高湯塊，溶解後關火。 / 靜置片刻放涼後，倒入果汁機攪打2分鐘。 / 再倒回鍋子裡，加入牛奶煮到沸騰關火。 / 最後以鹽巴和胡椒調味，就完成了。盛入碗中。 / 美味上桌";"豌豆\479325_大排長龍的巫婆湯店-爽口的豌豆濃湯.jpg"
"457085";"豌豆炒蘑菇";"https://icook.tw/recipes/457085";"豌豆🫛、蘑菇、蒜粒粉、白葡萄酒、水、鹽巴、黑胡椒粒";"豌豆🫛150克, 蘑菇100克, 蒜粒粉適量, 白葡萄酒1大匙, 水適量, 鹽巴適量, 黑胡椒粒適量";"豌豆頭尾兩側往下撕開，去除較粗的部分，以免影響口感。 / 下油加入蒜粒煸香 / 下蘑菇、葡萄酒、黑胡椒粒與少量的水，開中小火慢慢熬出蘑菇的香味，時間約1分鐘，太久蘑菇會縮小。 / 下豌豆拌炒均勻，再利用鍋內的水，中小火加蓋燜煮1-2分鐘，時間多寡端看期望的口感，稍微燜煮一下也可以加速軟化豌豆，也可避免生、青的味道。";"豌豆\457085_豌豆炒蘑菇.jpg"
"450991";"豌豆炒香菇";"https://icook.tw/recipes/450991";"豌豆、胡蘿蔔、蒜頭、香菇、玉米筍";"豌豆1包, 胡蘿蔔1/4根, 蒜頭6瓣, 香菇4朵, 玉米筍4根";"胡蘿蔔切片
香鍋切小片玉米筍切小段 / 下油一匙
下蒜瓣及香菇頭炒香 / 下玉米筍及胡蘿蔔 / 加水100ml / 下豌豆炒 / 蓋鍋蓋悶熟，打開後加鹽調味

完成";"豌豆\450991_豌豆炒香菇.jpg"
"456496";"蘑菇炒甜豌豆";"https://icook.tw/recipes/456496";"蘑菇、甜豌豆、橄欖油、蠔油、鹽巴、糖、白胡椒粉";"蘑菇1盒, 甜豌豆1把, 橄欖油1大匙, 蠔油2大匙, 鹽巴適量, 糖適量, 白胡椒粉適量";"熱鍋（不加油），放入切片蘑菇，炒至出水。 / 倒入油，放入甜豌豆，炒至熟。 / 加入鹽巴、糖、蠔油、白胡椒粉拌勻即可。";"豌豆\456496_蘑菇炒甜豌豆.jpg"
"454976";"甜豌豆炒菇";"https://icook.tw/recipes/454976";"甜豌豆、玉米筍、紅甜椒、鴻禧菇、鹽巴、橄欖油、白胡椒粉、蒜碎";"甜豌豆2把, 玉米筍4支, 紅甜椒0.5顆, 鴻禧菇半盒, 鹽巴適量, 橄欖油適量, 白胡椒粉適量, 蒜碎2瓣";"煮一鍋熱水，將甜豌豆、玉米筍、紅甜椒川燙至7-8分熟，撈起冰鎮備用。 / 熱乾鍋，放入鴻禧菇炒香至微微上色。 / 倒入橄欖油、蒜碎炒香，加入燙好的甜豌豆、玉米筍、紅甜椒拌炒，起鍋前加入鹽巴、白胡椒粉調味即可。";"豌豆\454976_甜豌豆炒菇.jpg"
"462151";"豌豆苗日式胡麻醬沙拉";"https://icook.tw/recipes/462151";"豌豆苗、日式胡麻醬";"豌豆苗1盒, 日式胡麻醬適量";"將豌豆苗洗淨後，把水甩乾，淋些日式胡麻醬上去，就完成了";"豌豆\462151_豌豆苗日式胡麻醬沙拉.jpg"
"455926";"豌豆苗炒雞樅";"https://icook.tw/recipes/455926";"豌豆苗、黑雞樅菇、薑片、辣椒、蠔油、蔬菜高湯、低鈉鹽、茶油";"豌豆苗300克, 黑雞樅菇150克, 薑片4片, 辣椒1支, 蠔油適量, 蔬菜高湯1小匙, 低鈉鹽1茶匙, 茶油1大匙";"分別把黑雞樅菇與豌豆苗的嫩葉洗淨，再把薑與辣椒切成薄片。 / 開中火，加入一匙茶油，再放入切好的薑片與辣椒爆香。 / 香味出來後就是雞樅菇下鍋的時候啦～
煸一煸讓它出水更好吃～ / 這個時候來淋個蠔油，完全香氣撲鼻！ / 接著把所有的豌豆苗放進鍋裡，加上一茶匙低鈉鹽還有一小匙蔬菜高湯。 / 蓋上鍋蓋悶一會兒～ / 等它們消風，稍微拌炒一下就可以盛盤上桌囉～";"豌豆\455926_豌豆苗炒雞樅.jpg"
"460551";"夏天吃的豌豆紅蘿蔔豆乾炒飯";"https://icook.tw/recipes/460551";"豌豆、豆乾、雞蛋、紅蘿蔔、飯、醬油、鹽、香油、胡椒粉";"豌豆100克, 豆乾5片, 雞蛋3顆, 紅蘿蔔0.5條, 飯3碗, 醬油2大匙, 鹽1匙, 香油1大匙, 胡椒粉1小匙";"豌豆直切 / 剛好家裡有豆干（切成絲）
正在想怎麽處理比較好呢
現在都會想以現有食材去做變化
保持）水箱別堆積食材喔紅蘿蔔也切成絲 / 起油鍋，蛋液加點鹽打散，先煎蛋等有點定型再去翻炒它 / 接下來下紅蘿蔔絲、豌豆、豆乾 / 放入前一晚煮的飯、或當天煮也行記得放涼喔^^那我有加一些紅藜麥米，還是習慣炒飯是白白乾淨的米飯紅藜麥米不像紫米黑米會整鍋變色！藜麥纖維含量高，含有更多大米蛋白質；
升糖指數（GI）較低有助控制食慾和體重 / 調味料：醬油、鹽、胡椒粉最後撒上香油（可以先試味道）
我後面有再追加一匙醬油比較不會失手喔";"豌豆\460551_夏天吃的豌豆紅蘿蔔豆乾炒飯.jpg"
