"id";"食譜名稱";"網址";"預覽食材";"詳細食材";"做法";"圖片相對路徑"
"474766";"炒辣椒";"https://icook.tw/recipes/474766";"朝天椒、蒜末、冰糖、沙拉油";"朝天椒450克, 蒜末30克, 冰糖少許, 沙拉油400克";"辣椒洗好之後風乾 / 風乾後切成上圖 / 試過用很多種機器切，還是手切的口感最好 / 開最小火，鍋內加入油400g，再加入蒜末30g，直到蒜香味飄出來 / 加入辣椒 / 小火慢慢炒，可在這裡加入少許冰糖（火千萬不要大，辣椒會變黑變乾，口感就不好了） / 炒到油的顏色變得有點橘黃橘黃，大致上就是好了（約10-15分） / 裝瓶前，記得用開水先燙過玻璃瓶。油一定要蓋過辣椒，才容易保存，油沒有蓋過辣椒，很容易在最上層發霉";"辣椒\474766_炒辣椒.jpg"
"476507";"剝皮辣椒牛";"https://icook.tw/recipes/476507";"菲利牛排、剝皮辣椒、橄欖油、海鹽";"菲利牛排1片, 剝皮辣椒4根, 橄欖油少許, 海鹽少許";"1:牛排抹海鹽和橄欖油醃10分鐘
    剝皮辣椒切段
2:鍋子中大火把牛排煎兩面焦，
    夾起切片盛盤在把切好的辣椒也ㄧ起盛盤即可";"辣椒\476507_剝皮辣椒牛.jpg"
"479530";"剝皮辣椒煎餃";"https://icook.tw/recipes/479530";"誠泰剝皮辣椒、高麗菜、豬絞肉、醬油、香油、麵粉水、餃子皮";"誠泰剝皮辣椒10條, 高麗菜¼顆, 豬絞肉300g, 醬油1大匙, 香油1小匙, 麵粉水1小碗, 餃子皮適量";"拌餡料：先把高麗菜稍微川燙再切碎，剝皮辣椒也要切碎，和豬絞肉、醬油、香油混合拌勻，讓所有味道融合在一起 / 包餃子：取餃子皮，放適量餡料，喜歡什麼形狀就怎麼包 / 煎餃子：熱油下鍋，放入餃子，用中小火煎到底部金黃，然後再加一點麵粉水蓋鍋蓋悶熟，最後開蓋再煎一下讓外皮更酥脆！";"辣椒\479530_剝皮辣椒煎餃.jpg"
"475159";"剝皮辣椒雞湯";"https://icook.tw/recipes/475159";"雞肉、誠泰醬業剝皮辣椒、香菇";"雞肉適量, 誠泰醬業剝皮辣椒一罐, 香菇適量";"雞肉汆燙去血水，洗淨放入鍋中 / 倒入誠泰醬業的剝皮辣椒湯汁（適量） / 香菇泡軟後切半放入鍋中（我用乾香菇，風味更濃郁） / 加適量水至蓋過食材，放入電鍋，外鍋加1杯水，按下開關煮至跳起 / 燜10分鐘後開蓋，加入剝皮辣椒，攪拌均勻 / 再按下開關加熱一次（外鍋不加水），待保溫後即可享用";"辣椒\475159_剝皮辣椒雞湯.jpg"
"479559";"醬油醃辣椒(純素)";"https://icook.tw/recipes/479559";"紅辣椒、青辣椒、砂糖、朝天椒、食鹽、八角、生薑、味精、桂皮、青花椒、陳醋、生抽、老抽、素蠔油、清水";"紅辣椒23條/230g, 青辣椒8條/100g, 朝天椒5條/30g, 生薑15g, 砂糖2大匙/32g, 食鹽1茶匙/8g, 味精1茶匙/5g, 八角1顆, 桂皮2片, 青花椒1茶匙, 陳醋2大匙, 生抽2大匙, 老抽1大匙, 素蠔油1大匙, 清水200g";"青辣椒、紅辣椒、朝天椒洗淨，控乾水分備用 / 所有辣椒切成圈圈，或是打碎備用 / 加入薑末 / 加入食鹽、砂糖、味精醃漬【辣椒醃漬後會出水，係屬正常現象】 / 鍋中加入大料、桂皮、青花椒、清水煮開，然後調入生抽、老抽、陳醋、素蠔油 / 再次煮開即可熄火 / 放上一個密漏，料汁趁熱沖入辣椒中 / 自然放涼，裝瓶冷藏備用";"辣椒\479559_醬油醃辣椒(純素).jpg"
"472890";"剝皮辣椒雞湯";"https://icook.tw/recipes/472890";"剝皮辣椒、剝皮辣椒湯汁、雞肉（全聯）、洋蔥、乾香菇泡水、金針菇切段、薑片";"剝皮辣椒3條, 剝皮辣椒湯汁1大匙, 雞肉（全聯）1盒, 洋蔥1小顆, 乾香菇泡水3朵, 金針菇切段0.5把, 薑片適量";"雞肉先川燙去雜質備用，乾香菇泡熱水泡開切丁 / 煮滾水，放入剝皮辣椒跟其湯汁、雞肉滾煮一陣子，再放入其他配料與薑片，熬煮到喜歡的程度 / 適當用鹽調味即可上桌";"辣椒\472890_剝皮辣椒雞湯.jpg"
"476585";"剝皮辣椒粉絲湯";"https://icook.tw/recipes/476585";"冬粉、小青菜、豬絞肉、剝皮辣椒、老薑、米酒、醬油、烏醋、雞粉、食鹽、砂糖、白胡椒粉、熱水";"冬粉適量, 小青菜適量, 豬絞肉160g, 剝皮辣椒2~3條, 老薑2小片, 米酒1大匙, 醬油1大匙, 烏醋1茶匙, 雞粉1/2茶匙, 食鹽1/4茶匙, 砂糖1/4茶匙, 白胡椒粉1/8茶匙, 熱水600ml";"薑切片，剝皮辣椒切塊，與醬油、米酒、烏醋、鹽、砂糖、雞粉、熱水一起加入鍋中，大火燒開 / 肉末下鍋攪散，再次煮開時撇除浮沫，然後撒上少許胡椒粉 / 冬粉、青菜分別燙熟 / 碗中加入冬粉、青菜、肉末、剝皮辣椒，最後淋上熱湯";"辣椒\476585_剝皮辣椒粉絲湯.jpg"
"476994";"豆豉辣椒蒸臘魚";"https://icook.tw/recipes/476994";"湖北臘魚/鹹魚乾、辣椒、沙拉油、蒜頭、紹興酒、嫩薑、醬油、黑豆豉、蠔油、香菜、砂糖、味精、白胡椒粉";"湖北臘魚/鹹魚乾一尾, 辣椒3條, 蒜頭1大匙, 嫩薑1大匙, 黑豆豉1大匙, 香菜點綴, 沙拉油4大匙, 紹興酒2大匙, 醬油1大匙, 蠔油1大匙, 砂糖少許, 味精少許, 白胡椒粉少許";"A.湖北臘魚乾 / 鹹魚用清水浸泡一夜，去除鹹味 / B.嫩薑、蒜頭、辣椒、豆豉打碎 / 油熱下輔料炒香 / 嗆入醬油、蠔油、砂糖、紹興酒，炒香後熄火，調入味精、白胡椒粉 / C.鹹魚控乾水分，抹上炒好的辣醬 / 水開上鍋，大火蒸10~20分鐘 / 撒上香菜點綴";"辣椒\476994_豆豉辣椒蒸臘魚.jpg"
"474201";"剝皮辣椒紙包雞";"https://icook.tw/recipes/474201";"去骨雞腿排、剝皮辣椒汁、蔥、杏鮑菇、薑、毛豆、蒜、紅蘿蔔、米酒、花椰菜、醬油、剝皮辣椒";"去骨雞腿排1片, 剝皮辣椒汁3大匙, 蔥1根, 薑2片, 蒜1瓣, 米酒1大匙, 醬油1大匙, 杏鮑菇0.5根, 毛豆2大匙, 紅蘿蔔2小塊, 花椰菜1朵, 剝皮辣椒5條";"去骨雞腿排加入剝皮辣椒汁 / 蔥、薑、蒜 / 米酒 / 醬油 / 杏鮑菇切丁 / 紅蘿蔔 / 剝皮辣椒 / 取一張烘焙紙鋪上蔬菜 / 雞腿排 / 剝皮辣椒 / 對折 / 包邊邊 / 包一圈 / 氣炸鍋200度20-25分鐘";"辣椒\474201_剝皮辣椒紙包雞.jpg"
"477598";"剝皮辣椒蘿蔔排骨湯";"https://icook.tw/recipes/477598";"白蘿蔔、排骨、剝皮辣椒、柴魚湯包、薑片、米酒";"白蘿蔔1條, 排骨1台斤, 剝皮辣椒1/4罐, 柴魚湯包2包, 薑片5片, 米酒100毫升";"排骨加50毫升米酒水煮至無紅色。 / 蘿蔔切1公分薄片，如果趕時間可切更薄。 / 鍋內加入所有食材，水倒八分滿，中大火煮滾，撈除浮沫。 / 中小火燉煮20分鐘，關火悶15分鐘，以鹽、糖依個人調味，即可上桌。";"辣椒\477598_剝皮辣椒蘿蔔排骨湯.jpg"
