"id";"食譜名稱";"網址";"預覽食材";"詳細食材";"做法";"圖片相對路徑"
"479278";"素食香菜辣椒醬(純素)";"https://icook.tw/recipes/479278";"香菜(芫茜)、嫩薑、醬油、紅辣椒、砂糖、朝天椒、檸檬汁、香油、味精、食鹽";"香菜(芫茜)100g, 嫩薑100g, 紅辣椒60g, 朝天椒40g, 醬油4大匙, 砂糖4大匙, 檸檬汁3大匙, 香油2大匙, 味精1大匙, 食鹽自行斟酌";"香菜沖洗乾淨，去除根部，然後控乾水分 / 香菜、嫩薑、辣椒，控乾水分後切段，加入絞肉機中 / 攪打成細碎顆粒 / 加入醬油、香油、砂糖、味精、檸檬汁，覺得不夠鹹的話再加鹽 / 香菜辣椒醬製作完成！ / 裝瓶冷藏保存，可保存7~14天";"香菜\479278_素食香菜辣椒醬(純素).jpg"
"470956";"香菜餃子";"https://icook.tw/recipes/470956";"豬絞肉細、香菜、大蔥、荸薺、薑末、大蒜苗、米酒、昆布醬油、胡椒鹽、香油、糖";"豬絞肉細1.5台斤, 香菜3把, 大蔥2支, 荸薺5個, 薑末1小匙, 大蒜苗1支, 米酒2大匙, 昆布醬油2.5大匙, 胡椒鹽1小匙, 香油1大匙, 糖1匙";"將香菜、大蔥、荸薺、蒜苗、薑切成末 / 將絞肉和準備好的辛香蔬菜末及調味料一起加入，均勻攪拌 / 拌好的餃子料就可以包了！";"香菜\470956_香菜餃子.jpg"
"473948";"香菜拌牛肉";"https://icook.tw/recipes/473948";"牛肉片、香菜切段、醬油、米酒、蒜頭切末、太白粉、蔥切末、辣椒、白芝麻、白胡椒粉、糖、蠔油、烏醋、香油或辣油";"牛肉片300克, 香菜切段60公克, 醬油1大湯匙, 米酒1大湯匙, 太白粉半大湯匙, 蒜頭切末5瓣, 蔥切末1根, 辣椒隨意, 白芝麻半大湯匙, 白胡椒粉1/4大湯匙, 糖1/4大湯匙, 蠔油半大湯匙, 醬油1大湯匙, 烏醋2大湯匙, 香油或辣油1大湯匙 ⁡";"將牛肉與醃料混和醃製半小時 / 準備一鍋水開火加熱，水沸騰後加入牛肉片燙熟後撈起冷卻備用 / 將牛肉片與香菜放入鍋中 / 加入所有醬汁材料攪拌均勻即可收工";"香菜\473948_香菜拌牛肉.jpg"
"470070";"香菜牛肉";"https://icook.tw/recipes/470070";"牛肉片、香菜、辣椒、米酒、熟白芝麻、醬油、蔥、太白粉、蒜頭、沙拉油、醬油膏、二砂糖";"牛肉片400g, 香菜2大把, 辣椒1大根, 熟白芝麻2大匙, 蔥1大根, 蒜頭5瓣, 醬油1大匙, 醬油膏2大匙, 二砂糖1大匙, 米酒1大匙, 醬油1小匙, 太白粉1大匙, 沙拉油1大匙";"備料 / 牛肉先醃一下，放米酒、醬油、太白粉拌勻 / 牛肉先放一些沙拉油，醃30分鐘備用 / 香菜切段、辣椒切段、蔥切段、蒜切末放上熟白芝麻 / 辛香料淋上一大匙熱油 / 水滾後放入醃好的牛肉煮一分鐘後，肉片熟就可以撈起 / 牛肉撈起、辛香料加上醬油、醬油膏、二砂糖拌勻 / 牛肉跟辛香料醬汁拌勻 / 香辣開胃的香菜牛肉超好下飯";"香菜\470070_香菜牛肉.jpg"
"477592";"涼拌菜 小黃瓜皮蛋佐香菜";"https://icook.tw/recipes/477592";"小黃瓜、皮蛋、香菜、純香油、醬油、醬油膏、糖、鹽巴";"小黃瓜2條, 皮蛋2顆, 香菜1把, 純香油1大匙, 醬油2匙, 醬油膏2匙, 糖少許, 鹽巴少許";"小黃瓜（拍碎小黃瓜，用鹽殺青去水份）香菜切小段、皮蛋（用熱水煮一下 讓裡面定型等等好切）

醬油2匙、醬油膏2匙、香油2匙、鹽巴少許、糖少許小黃瓜香菜醬汁 最後淋上熱香油 撒點白芝麻即可";"香菜\477592_涼拌菜_小黃瓜皮蛋佐香菜.jpg"
"467464";"~香菜乾絲~";"https://icook.tw/recipes/467464";"干絲、香菜、鹽、紅蘿蔔蘿蔔、砂糖、紅辣椒、香油、薑";"干絲150公克, 香菜20公克, 紅蘿蔔蘿蔔5公克, 紅辣椒1根, 薑5公克, 鹽1大匙, 砂糖少許, 香油1大匙";"干絲洗淨切段狀，放入沸水中川燙至軟，瀝乾備用 / 紅蘿蔔去皮切絲，放入沸水中川燙至軟，瀝乾備用 / 紅辣椒.薑切絲，香菜切小片，與做法1和2及所有調味料拌勻即可";"香菜\467464_~香菜乾絲~.jpg"
"469774";"涼拌香菜木耳";"https://icook.tw/recipes/469774";"新鮮黑木耳、豆芽菜、醬油、香菜、黑醋、麻油";"新鮮黑木耳200克, 豆芽菜250克, 香菜1把, 醬油2大匙, 黑醋1大匙, 麻油1大匙";"豆芽菜去尾，新鮮黑木耳去蒂頭、撕/切一口大小 / 豆芽和木耳一起放電鍋，加入一碗水蒸煮，跳起後悶蒸約5分鐘方掀蓋 / 將香菜切末 / 先將調味料混合，倒入蒸熟的食材拌勻，最後倒入香菜末拌勻即可";"香菜\469774_涼拌香菜木耳.jpg"
"428978";"洋蔥香菜豆腐乳豬肉片";"https://icook.tw/recipes/428978";"豬肉片、香菜、豆腐乳、洋蔥、米酒、青蔥、白胡椒、辣椒、醬油、味啉、蒜頭";"豬肉片1盒, 香菜2小把, 洋蔥半顆, 青蔥1, 辣椒1根, 醬油1大匙, 味啉1大匙, 蒜頭3瓣, 豆腐乳2塊, 米酒適量, 白胡椒適量";"豬肉片可切半
豆腐乳用碎 / 將豬肉放置醃料中，放入冰箱，至少醃30分鐘。 / 洋蔥切片，蔥切段，辣椒斜切，蒜頭切成末，香菜切小段 / 加點油，先將豬肉乾煎8分熟 / 呈起備用 / 原鍋加入蒜末 / 加入洋蔥 / 加入蔥段，辣椒 / 加入豬肉 / 一起拌炒均勻後，加入醬油，味啉 / 完成";"香菜\428978_洋蔥香菜豆腐乳豬肉片.jpg"
"474220";"香菜胡蘿蔔丸子(純素)";"https://icook.tw/recipes/474220";"胡蘿蔔、香菜、中筋麵粉、食鹽、冷水、五香粉/十三香、太白粉、白胡椒粉、植物油、小蘇打粉";"胡蘿蔔260g, 香菜20g, 食鹽1/2茶匙, 五香粉/十三香1/2茶匙, 白胡椒粉1/2茶匙, 小蘇打粉1/4茶匙, 中筋麵粉100g, 冷水80g, 太白粉20g, 植物油15g";"胡蘿蔔用刨刀擦絲，然後切碎一點 / 香菜切小段 / 撒上五香粉、胡椒粉、食鹽、食用鹼，輕輕翻拌均勻 / 加入麵粉、澱粉、冷水、食油，抓拌均勻 / 鍋中油燒熱，用手攢成丸子狀下鍋【炸蘿蔔丸子油溫要稍微高一點】 / 炸1分鐘至定型，用筷子輕輕撥開、翻動 / 保持小火浸炸（不要讓火力忽大忽小） / 炸至八面金黃、焦香酥脆即可";"香菜\474220_香菜胡蘿蔔丸子(純素).jpg"
"473200";"香菜燒肉饅頭刈包";"https://icook.tw/recipes/473200";"巧克力饅頭、香菜、五花火鍋肉H、煎蛋、燒肉醬、美奶滋、素蠔油、米酒、香油";"巧克力饅頭1個, 香菜適量, 煎蛋1個, 美奶滋些許, 五花火鍋肉H適量, 燒肉醬適量, 素蠔油少量, 米酒少量, 香油少量";"煎 / 切 / 肉切碎醃漬 / 炒 / 蒸饅頭 / 包，淋美奶滋";"香菜\473200_香菜燒肉饅頭刈包.jpg"
"474044";"涼拌香菜(五辛素)";"https://icook.tw/recipes/474044";"香菜(淨重)、蒜頭、油潑辣子、朝天椒、醬油、胡蘿蔔、烏醋、花生米、砂糖、白芝麻、香油、味精、食鹽";"香菜(淨重)240g, 蒜頭30g, 朝天椒30g, 胡蘿蔔可選, 花生米可選, 白芝麻可選, 油潑辣子4大匙/70g, 醬油4大匙/60g, 烏醋3大匙/45g, 砂糖1大匙/15g, 香油1大匙/15g, 味精1茶匙/5g, 食鹽1/2茶匙/4g";"香菜沖洗、浸泡去除泥沙，然後控乾水分 / 全部切成小段，然後秤重 / 盆中加入蒜末、小米辣、辣椒油、醬油、香油、烏醋、砂糖、食鹽、味精，攪拌均勻【喜歡也可以加胡蘿蔔絲、油炸花生米】 / 抓一撮香菜搞進盆，攪拌均勻後再放一撮，重複動作直到香菜全部拌完，裝瓶醃漬10分鐘即可享用 / 上桌前撒上芝麻點綴";"香菜\474044_涼拌香菜(五辛素).jpg"
