"id";"食譜名稱";"網址";"預覽食材";"詳細食材";"做法";"圖片相對路徑"
"468298";"氣炸馬鈴薯";"https://icook.tw/recipes/468298";"馬鈴薯、橄欖油、胡椒鹽、鹽、奶油";"馬鈴薯1顆, 橄欖油1大匙, 胡椒鹽1小匙, 鹽1小匙, 奶油10克";"馬鈴薯切塊，滾水燙7分鐘 / 馬鈴薯撈起擦乾水分後，加入橄欖油(奶油）、胡椒鹽、鹽拌勻 / 放入氣炸鍋，180度15分鐘";"馬鈴薯\468298_氣炸馬鈴薯.jpg"
"479123";"風琴馬鈴薯";"https://icook.tw/recipes/479123";"馬鈴薯、橄欖油、義大利綜合香料、蒜香胡椒鹽";"馬鈴薯2顆, 橄欖油適量, 義大利綜合香料適量, 蒜香胡椒鹽適量";"馬鈴薯整顆洗淨後切片不切斷，走水洗掉澱粉質後瀝乾 / 均勻抹上橄欖油並灑上調味粉料，放至氣炸鍋轉190度20分鐘烤熟 / 再轉200度15分鐘烤香即可";"馬鈴薯\479123_風琴馬鈴薯.jpg"
"479735";"馬鈴薯沙拉";"https://icook.tw/recipes/479735";"馬鈴薯、紅蘿蔔、玉米罐、白煮蛋、鹹蛋黃、火腿、蘋果、美乃滋或優格";"馬鈴薯2顆, 紅蘿蔔1條, 玉米罐半罐, 白煮蛋2顆, 鹹蛋黃1顆, 火腿些許, 蘋果1顆, 美乃滋或優格依個人喜好";"馬鈴薯切片，紅蘿蔔切丁，白煮蛋一起蒸熟 / 蘋果切丁，蒸熟白煮蛋白切丁 / 蛋黃馬鈴薯壓泥 / 全部配料拌勻放入冰箱，食用時加入些許馬鈴薯或優格即可食用";"馬鈴薯\479735_馬鈴薯沙拉.jpg"
"479032";"馬鈴薯濃湯";"https://icook.tw/recipes/479032";"豬絞肉、馬鈴薯（褐色皮）、奶油、洋蔥、麵粉、牛奶、黑胡椒、高湯（雞湯）、蒜粉、巴西里（可選）、紅椒粉、鹽";"豬絞肉300g, 馬鈴薯（褐色皮）6顆, 洋蔥0.5顆, 牛奶600毫升, 高湯（雞湯）400克, 奶油些許, 麵粉1大匙, 黑胡椒1小匙, 蒜粉1小匙, 巴西里（可選）1小匙, 紅椒粉1小匙, 鹽1小匙";"培根切塊，用平底鍋煎到焦脆，取出備用 / 馬鈴薯2顆切塊蒸熟，用湯勺搗碎，備用來增加湯的濃稠度。
其他的馬鈴薯、洋蔥切丁 / 平底鍋放油，把洋蔥、豬絞肉、奶油、麵粉炒開。 / 加入牛奶、高湯、馬鈴薯泥，攪拌均勻。
加入鹽、黑胡椒、蒜粉（巴西里）、紅椒粉，攪拌煮滾。 / 放入馬鈴薯丁煮10分鐘，撒上培根碎即可。（沒有培根沒關係，也一樣好吃）";"馬鈴薯\479032_馬鈴薯濃湯.jpg"
"478600";"馬鈴薯煎餅";"https://icook.tw/recipes/478600";"馬鈴薯(視大小)、品高黑胡椒鹽1g、品高蜂蜜芥末醬";"馬鈴薯(視大小)1~3顆, 品高黑胡椒鹽1g2包, 品高蜂蜜芥末醬1顆";"食材一覽。 / 馬鈴薯洗淨→削皮→切絲。 / 撒上品高黑胡椒鹽，抓拌均勻靜置。出水後擠出水分。 / 熱鍋下少許油。 / 鋪上一小片薄薄的馬鈴薯絲。 / 小火定型後翻面。 / 雙面金黃即可起鍋，建議搭配品高蜂蜜芥末醬，超對味！";"馬鈴薯\478600_馬鈴薯煎餅.jpg"
"478678";"氣炸馬鈴薯";"https://icook.tw/recipes/478678";"馬鈴薯、橄欖油、鹽、義式綜合香料、黑胡椒";"馬鈴薯3顆, 橄欖油1大匙, 鹽1/2鹽匙, 義式綜合香料適量, 黑胡椒適量";"馬鈴薯去皮切楔型後用水將表面澱粉洗掉後擦乾 / 抹上橄欖油、調味料拌勻放入氣炸鍋轉180度10分鐘 / 翻面後再氣炸一次180度10分鐘即可";"馬鈴薯\478678_氣炸馬鈴薯.jpg"
"478285";"馬鈴薯沙拉";"https://icook.tw/recipes/478285";"馬鈴薯、紅蘿蔔、蛋、小黃瓜、美乃滋沙拉醬";"馬鈴薯2顆, 紅蘿蔔1/3條, 蛋2顆, 小黃瓜半條, 美乃滋沙拉醬適量";"蛋先煮成水煮蛋(冷水開始煮到滾再煮約10分鐘)後先放涼馬鈴薯切小塊紅蘿蔔切成丁狀小黃瓜切成薄片 / 小黃瓜加鹽醃10分鐘 出水後將水份擠乾備用
將剝好的水煮蛋 蛋黃跟蛋白分開 蛋白切成小小塊備用 / 冷水加入一匙的鹽後 再放入馬鈴薯跟紅蘿蔔開始煮 水滾後轉中小火續煮約15分鐘 測試馬鈴薯有煮鬆軟後 即可關火放涼 / 將馬鈴薯跟紅蘿蔔過瀘掉水份 放入鍋中 趁熱用湯匙將馬鈴薯按壓成泥狀後 加入蛋黃一起拌勻 最後加上小黃瓜跟美乃滋後 稍微攪拌後 可先放涼 蓋上保鮮膜後 再放入冷箱冷藏半天後食用";"馬鈴薯\478285_馬鈴薯沙拉.jpg"
"477309";"馬鈴薯燉肉";"https://icook.tw/recipes/477309";"馬鈴薯、紅蘿蔔、洋蔥、牛五花、醬油、味醂、糖、蒟弱絲、鴻喜菇";"馬鈴薯3顆, 紅蘿蔔1/3條, 洋蔥1/2顆, 牛五花20片, 醬油3大匙, 味醂2大匙, 糖1大匙, 蒟弱絲適量, 鴻喜菇1包";"蒟蒻先用熱水加鹽川燙過馬鈴薯紅蘿蔔削皮後切成塊狀洋蔥切絲備用 / 取一平底鍋 熱鍋後加入適量的油 先放入洋蔥絲炒軟 再放入牛五花 待肉熟透後先將肉片挑起 再放入馬鈴薯跟紅蘿蔔稍微拌炒一下 / 取一湯鍋 將平底鍋的食材放入 加水至蓋過食材 開大火至快滾時  平均放入先前炒好的牛五花 煮滾後 先轉小火 把肉末撈乾淨後  加入醬油 味醂 跟砂糖 用湯匙攪拌均勻後 放入蒟蒻絲跟鴻喜菇 蓋上鍋蓋 繼續燉煮約30分鐘 讓湯汁再收乾一些 即可關火起鍋";"馬鈴薯\477309_馬鈴薯燉肉.jpg"
"477231";"馬鈴薯煎餅";"https://icook.tw/recipes/477231";"馬鈴薯、希臘優格、蜂蜜、芝麻醬、辣粉、蒜泥、中筋麵粉、鹽、胡椒";"馬鈴薯3顆, 希臘優格50g, 蜂蜜5g, 芝麻醬5g, 辣粉3g, 蒜泥2顆, 中筋麵粉適量, 鹽適量, 胡椒適量";"先將食材整理準備齊全 / 將希臘優格、辣粉、芝麻醬、蜂蜜和蒜泥攪拌均勻，備用 / 將馬鈴薯去皮後切成細絲 / 把剛切好的馬鈴薯絲擦乾 / 將中筋麵粉均勻撒上馬鈴薯絲並攪拌備用 / 百慕達電烤盤溫度設置200度，熱盤冷油將馬鈴薯絲放入鋪平 / 煎至兩面上色，撒上鹽和胡椒，上色期間可慢慢塑型並分割";"馬鈴薯\477231_馬鈴薯煎餅.jpg"
"475389";"香煎馬鈴薯";"https://icook.tw/recipes/475389";"馬鈴薯、黑胡椒粉、鹽、橄欖油";"馬鈴薯3顆, 黑胡椒粉適量, 鹽適量, 橄欖油適量";"1.馬鈴薯削皮切小塊,用水浸泡一下後,再沖洗
2.熱鍋後,將馬鈴薯放入鍋中,加少許水,
將馬鈴薯煮至半熟後(水乾)
3.加橄欖油,將馬鈴薯煎至表面金黃(熟透)
4.加入適量鹽.黑胡椒粉調味,就可以起鍋囉 / 出鍋～😃";"馬鈴薯\475389_香煎馬鈴薯.jpg"
