"id";"食譜名稱";"網址";"預覽食材";"詳細食材";"做法";"圖片相對路徑"
"477399";"金沙高麗菜";"https://icook.tw/recipes/477399";"高麗菜、鹹蛋、紅蘿蔔、蒜頭、蝦米、辣椒（可省略）、鹽、青蔥";"高麗菜0.3 顆, 鹹蛋1 粒, 紅蘿蔔0.5 條, 蒜頭1 瓣, 蝦米1 把, 辣椒（可省略）少許, 鹽1 克, 青蔥1 根";"1.高麗菜洗淨手撕成適量大小，梗的部分斜切。
2. 蝦米泡水10分鐘 ;紅蘿蔔切小丁;蒜頭切碎 ; 青蔥切蔥花;辣椒斜切 ; 鹹鴨蛋用刀切一半，挖出蛋黃跟蛋白分開放，蛋白的部分切丁。 / 大火熱油熱鍋，小火放入鹹蛋黃，炒到冒泡泡，加入蝦米。 / 放入紅蘿蔔拌炒。 / 放入高麗菜拌一拌，蓋上鍋蓋，計時3分鐘。 / 開蓋，加入蛋白、蒜頭、辣椒、鹽拌炒均勻。
鹹蛋已有鹹度，加鹽之前不妨先試一下味道。 / 撒上蔥花，完成。";"高麗菜\477399_金沙高麗菜.jpg"
"473843";"焗烤高麗菜";"https://icook.tw/recipes/473843";"高麗菜、乳酪絲、雞粉、鹽、黑胡椒";"高麗菜0.2顆, 乳酪絲1把, 雞粉1小匙, 鹽0.5茶匙, 黑胡椒少許";"將高麗菜撥塊洗淨瀝乾備用 / 將高麗菜用熱水燙熟淋上雞粉與鹽拌勻後撒上黑胡椒粒，並鋪上起司絲 / 使用烤箱或氣炸鍋180度烘烤20分鐘即可";"高麗菜\473843_焗烤高麗菜.jpg"
"473157";"蒜苗炒高麗菜";"https://icook.tw/recipes/473157";"蒜苗、高麗菜、雞粉、鹽、糖";"蒜苗1根, 高麗菜0.5顆, 雞粉1.5小匙, 鹽1.5茶匙, 糖0.5茶匙";"將高麗菜切塊洗淨瀝乾備用、蒜苗斜切片狀 / 熱油鍋爆香蒜白加入高麗菜大火快炒 / 加入雞粉.鹽.糖調味炒至食材熟透即可";"高麗菜\473157_蒜苗炒高麗菜.jpg"
"478677";"魚香高麗菜";"https://icook.tw/recipes/478677";"高麗菜、豬絞肉、辣豆瓣醬、薑末、醬油、蒜末、鹽、蔥花";"高麗菜半顆, 豬絞肉適量, 薑末1-2大匙, 蒜末1-2大匙, 蔥花1-2大匙, 辣豆瓣醬1大匙, 醬油1大匙, 鹽適量";"將高麗菜切除硬莖，一葉一葉放入鹽水泡約10分鐘，瀝乾水分，用手撕成一小片 / 起油鍋，放入豬絞肉抄至顏色變白，放入蒜末、蔥花、薑末炒香，加入辣豆瓣醬拌炒，用醬油、鹽調味 / 倒入高麗菜拌炒均勻，蓋上鍋蓋，燜約1-2分鐘至高麗菜略軟，掀開鍋蓋，拌炒高麗菜至熟即可";"高麗菜\478677_魚香高麗菜.jpg"
"479753";"玉米高麗菜水餃";"https://icook.tw/recipes/479753";"豬絞肉、高麗菜、醬油、玉米粒、香油、雞蛋、鹽、餃子皮、胡椒粉、糖";"豬絞肉350克, 高麗菜300克, 玉米粒130克, 雞蛋1顆, 餃子皮40張, 醬油2大匙, 香油2大匙, 鹽1小匙, 胡椒粉1/2小匙, 糖1/2小匙";"高麗菜切小塊洗淨，加一匙鹽，抓一抓靜置十分鐘，豬絞肉加入所有調料攪至出黏，再下全蛋攪至充份吸收 / 高麗菜出水後洗淨，放入脫水機反覆脫水2-3回至乾，高麗菜、玉米加入絞肉盆，充分攪拌均勻，包保鮮膜冷藏30分 / 挖一匙餡，邊緣沾點水後對折黏緊，壓摺收口，煮熟就可以吃囉！";"高麗菜\479753_玉米高麗菜水餃.jpg"
"475638";"高麗菜飯";"https://icook.tw/recipes/475638";"豬五花肉切塊、高麗菜切塊、蒜頭切末、白米、鮮香菇切片、蠔油、蝦米、醬油、油蔥酥、白胡椒粉、清水、糖、鹽巴";"豬五花肉切塊300公克, 高麗菜切塊300公克, 白米300公克, 蒜頭切末5瓣, 鮮香菇切片3朵, 蝦米1大湯匙, 油蔥酥1大湯匙, 清水340cc, 蠔油1大湯匙, 醬油1大湯匙, 白胡椒粉1/4大湯匙, 糖1/4大湯匙, 鹽巴1/4大湯匙";"冷鍋加入五花肉開中火拌炒至上色 / 加入蒜頭、香菇、蝦米及油蔥酥拌炒2分鐘 / 加入所有調味料拌炒1分鐘 / 加入清水及白米煮滾 / 將鍋中所有食材倒入電子鍋中並使用標準煮飯功能 / 將高麗菜炒熟備用 / 炊飯煮熟後加入高麗菜燜3分鐘再攪拌均勻即可收工";"高麗菜\475638_高麗菜飯.jpg"
"477648";"蝦醬高麗菜";"https://icook.tw/recipes/477648";"高麗菜、蝦醬、辣椒、蒜末";"高麗菜4/1顆, 蝦醬1小匙, 辣椒1根, 蒜末2顆";"高麗菜洗淨把水瀝乾 / 1:鍋子倒油文火熱鍋加蝦醬把蝦
    醬用鍋鏟弄散
2:放蒜末、辣椒爆香
3:加入高麗菜快速翻炒即可";"高麗菜\477648_蝦醬高麗菜.jpg"
"474237";"高麗菜封";"https://icook.tw/recipes/474237";"高麗菜、絞肉、蔥、醬油、白胡椒、麻油";"高麗菜1顆, 絞肉300克, 蔥2支, 醬油2大匙, 白胡椒適量, 麻油3大匙";"準備一顆中型高麗菜，這次買的有點大顆，要煮比較久，梗的部分切開，後面要塞進絞肉 / 調味料加入絞肉拌勻 / 絞肉加入高麗菜 / 最後抹一下太白粉 / 蓋上蓋子 / 高麗菜比較大顆，蓋子蓋不起來沒關係，縫隙10-15分鐘後會慢慢變少 / 20分鐘後，可以把高麗菜翻過來 / 等整個高麗菜軟了，用剪刀剪四等份 / 賣相不太好看，但很好吃，是獅子頭的味道";"高麗菜\474237_高麗菜封.jpg"
"479116";"高麗菜豬肉水餃";"https://icook.tw/recipes/479116";"豬絞肉、高麗菜、清醬油、薑泥、香油、青蔥花、胡椒粉、玉米粒、黑木耳、飲用水";"豬絞肉1斤, 高麗菜半顆, 薑泥2大匙, 青蔥花適量, 玉米粒1小罐, 黑木耳1片, 飲用水20毫升, 清醬油3大匙, 香油1大匙, 胡椒粉適量";"青蔥切成細段，高麗菜洗淨切小丁，加入鹽巴脫水，薑磨成泥備用 / 將絞肉+青蔥花+薑末＋水放入盆中攪拌均勻 / 所有調味料加入攪拌均勻，直到肉跑出毛絨纖維（牽絲） / 再加入高麗菜、玉米粒、黑木耳拌勻 / 開始追劇（誤）包水餃囉～ / 煮一大鍋水，加入鹽巴（據說可以防沾黏），水滾加入放在冷凍庫包好的水餃，水餃剛下要用筷子小心攪拌防粘，煮約7分鐘，再看情況加減時間。";"高麗菜\479116_高麗菜豬肉水餃.jpg"
"475601";"炒高麗菜";"https://icook.tw/recipes/475601";"高麗菜、蒜頭、鹽、蝦米、醬油、烏醋";"高麗菜0.5顆, 蒜頭2瓣, 蝦米1小把, 鹽1克, 醬油15毫升, 烏醋10毫升";"高麗菜手撕小片後洗淨；蝦米泡水10分鐘；蒜頭切碎。 / 大火熱鍋熱油，轉小火依序炒香蒜末、蝦米。加入鹽。 / 放入高麗菜，蓋上鍋蓋，燜煮4分鐘。 / 開蓋，加入醬油、烏醋炒勻。 / 完成。";"高麗菜\475601_炒高麗菜.jpg"
