recipe_id,ingredient,preview_tag
476284,蛤蜊600g,蛤蜊
476284,老薑適量,老薑
476284,九層塔少許,九層塔
476284,米酒2大匙,米酒
476284,食鹽1/2茶匙,食鹽
476284,雞粉1/2茶匙,雞粉
476284,熱水1公升,熱水
474705,雞胸肉1盒,雞胸肉
474705,九層塔1把,九層塔
474705,米酒少許,米酒
474705,辣椒適量,辣椒
474705,食用油適量,食用油
474705,鹽適量,鹽
478176,雞蛋4顆,雞蛋
478176,九層塔1/2手把,九層塔
478176,蔥餅現成的,蔥餅
478176,鹽1/6小匙,鹽
478176,貝貝南瓜1顆,貝貝南瓜
478176,油2小匙,油
478176,富士蘋果1顆,富士蘋果
478176,冷凍黑莓20顆,冷凍黑莓
478176,冷凍覆盆莓20顆,冷凍覆盆莓
476026,蛤蜊300g,蛤蜊
476026,辣椒1根 可不加或加半根,辣椒
476026,青蔥段少許,青蔥段
476026,九層塔一把,九層塔
476026,薑絲一小撮,薑絲
476026,蒜頭3瓣（拍碎或切末,蒜頭
476026,米酒2大匙,米酒
476026,醬油1大匙,醬油
476026,水1～2大匙,水
476026,食用油少許,食用油
477606,鴨肉0.5隻,鴨肉
477606,鴨胗5個,鴨胗
477606,小黃瓜2根,小黃瓜
477606,蒜香九層塔適量,蒜香九層塔
477606,紅辣椒1根,紅辣椒
477606,鹽巴0.5小匙,鹽巴
477606,玉米筍10根,玉米筍
477606,蒜頭5瓣,蒜頭
477606,香油1小匙,香油
477606,青蔥2根,青蔥
475123,雞蛋4顆,雞蛋
475123,聖女番茄100克,聖女番茄
475123,乳酪絲50克,乳酪絲
475123,九層塔35克,九層塔
475123,胡椒鹽4克,胡椒鹽
475123,食用油2小匙,食用油
476542,低筋麵粉100g,低筋麵粉
476542,高筋麵粉200g,高筋麵粉
476542,九層塔110g,九層塔
476542,水175g,水
476542,植物油10g,植物油
476542,糖25g,糖
476542,速發酵母3g,速發酵母
476542,胡椒鹽3g,胡椒鹽
476542,白芝麻適量,白芝麻
476542,鹽3g,鹽
475734,新鮮香菇10朵,新鮮香菇
475734,蒜香九層塔適量,蒜香九層塔
475734,鹽巴1小匙,鹽巴
475734,雞蛋1顆,雞蛋
475734,白胡椒粉1小匙,白胡椒粉
475734,樹薯粉1大匙,樹薯粉
475734,炸油1杯,炸油
470474,排骨200克,排骨
470474,九層塔骨1小把,九層塔骨
470474,鹽巴適量,鹽巴
470474,荸薺6顆,荸薺
470474,白胡椒粉少許,白胡椒粉
470474,黑蠔菇1盒,黑蠔菇
470474,枸杞1小把,枸杞
470474,九層塔骨1小把,九層塔
467048,九層塔1把,九層塔
467048,蒜頭6瓣,蒜頭
467048,橄欖油25毫升,橄欖油
467048,醬鹽1小匙,醬鹽
467048,細砂糖1小匙,細砂糖
467048,米酒1大匙,米酒
467048,黑豆醬油1小匙,黑豆醬油
467048,麵條1把,麵條
466528,九層塔1把,九層塔
466528,蒜頭6瓣,蒜頭
466528,橄欖油25毫升,橄欖油
466528,醬鹽1小匙,醬鹽
466528,細砂糖1小匙,細砂糖
466528,米酒1大匙,米酒
466528,黑豆醬油1小匙,黑豆醬油
466528,板豆腐1塊,板豆腐
462631,豬絞肉300克,豬絞肉
462631,義大利ORO去皮切丁罐頭100克,義大利ORO去皮切丁罐頭
462631,醬油10克,醬油
462631,蒜末15克,蒜末
462631,韓國魚露18克,韓國魚露
462631,長辣椒1支,長辣椒
462631,新鮮檸檬汁25克,新鮮檸檬汁
462631,朝天椒1根,朝天椒
462631,二砂糖20克,二砂糖
462631,九層塔30克,九層塔
462631,米酒頭20克,米酒頭
462631,橄欖油15克,橄欖油
466042,吐司2片,吐司
466042,起司1片,起司
466042,蛋1顆,蛋
466042,九層塔2株,九層塔
466042,黑胡椒粒1／10茶匙,黑胡椒粒
466042,奇異果1顆,奇異果
466042,砂糖橘1顆,砂糖橘
466042,熟毛豆莢1／2碗,熟毛豆莢
456490,九層塔葉適量,九層塔葉
456490,雞蛋4顆,雞蛋
456490,鹽巴少許,鹽巴
456490,胡椒粉少許,胡椒粉
462579,板豆腐1盒,板豆腐
462579,起司片1片,起司片
462579,九層塔8片,九層塔
462579,醬油膏1大匙,醬油膏
462579,糖1小匙,糖
461098,湯種麵糊約80克80克,湯種麵糊
461098,水75克,水
461098,高粉15克,高粉
461098,低粉75克,低粉
461098,香蒜醬個人喜好,香蒜醬
461098,鹽10克,鹽
461098,糖45克,糖
461098,速酵6克,速酵
461098,湯種麵糊約80克80克,湯種
461098,九層塔20克,九層塔
461098,冰水200克,冰水
461098,優格100克,優格
456597,蘑菇半盒,蘑菇
456597,有機白舞菇半顆,有機白舞菇
456597,羅漢果糖1大匙,羅漢果糖
456597,九層塔1大把,九層塔
456597,黑豆桑醬油1大匙,黑豆桑醬油
456597,薑10克,薑
456597,麻油1大匙,麻油
466635,牛肉絲1份,牛肉絲
466635,紅辣椒1條,紅辣椒
466635,九層塔1包,九層塔
466635,水2大匙,水
466635,油少許,油
466635,鹽少許,鹽
466635,糖少許,糖
459428,九層塔200克,九層塔
459428,帕馬森起司粉65克,帕馬森起司粉
459428,松子50克,松子
459428,蒜頭65克,蒜頭
459428,鹽巴適量,鹽巴
459428,黑胡椒適量,黑胡椒
459428,橄欖油250毫升,橄欖油
459428,鯷魚24克,鯷魚
468950,雞蛋5顆,雞蛋
468950,九層塔一把,九層塔
468950,韭菜2支,韭菜
468950,鹽巴適量,鹽巴
468950,鰹魚粉適量,鰹魚粉
468950,二砂適量,二砂
453947,蛤蜊25顆,蛤蜊
453947,薑5片,薑
453947,麻油20克,麻油
453947,紅辣椒2支,紅辣椒
453947,醬油20克,醬油
453947,蒜頭3瓣,蒜頭
453947,砂糖1小匙,砂糖
453947,九層塔1小把,九層塔
453947,米酒20克,米酒
452953,雞蛋1顆,雞蛋
452953,義美蛋餅皮1片,義美蛋餅皮
452953,九層塔葉適量,九層塔葉
452953,胡椒鹽適量,胡椒鹽
467438,水手牌法國麵包粉150g,水手牌法國麵包粉
467438,酵母1.5g,酵母
467438,糖15g,糖
467438,鹽3g,鹽
467438,番茄羅勒醬30g,番茄羅勒醬
467438,乳酪30g,乳酪
467438,水手牌法國麵包粉150g,水
467438,葵花油15ｇ,葵花油
379428,蛤蜊600g,蛤蜊
379428,九層塔15片,九層塔
379428,姜絲20條,姜絲
379428,油一大匙,油
379428,高湯3大匙,高湯
379428,鹽少許,鹽
379428,米酒1小匙,米酒
448142,蛋2顆,蛋
448142,九層塔適量,九層塔
448142,鹽1小匙,鹽
448142,醬油 1小匙,醬油
450744,麵腸2條,麵腸
450744,九層塔1小把,九層塔
450744,薑絲蒜末適量,薑絲蒜末
450744,米酒少許,米酒
449881,白飯或隔夜飯2碗,白飯或隔夜飯
449881,九層塔2把,九層塔
449881,雞蛋4顆,雞蛋
449881,油1大匙,油
449881,醬油1大匙,醬油
449881,鹽巴0.5小匙,鹽巴
465464,蛤蠣2斤,蛤蠣
465464,九層塔1把,九層塔
465464,蒜頭5顆,蒜頭
465464,薑片5片,薑片
465464,蔥2支,蔥
465464,黑麻油3大匙,黑麻油
465464,醬油膏3大匙,醬油膏
465464,米酒3大匙,米酒
465464,烏醋1大匙,烏醋
464974,蚵仔2斤,蚵仔
464974,地瓜粉200g,地瓜粉
464974,九層塔1把,九層塔
464974,胡椒粉適量,胡椒粉
453640,櫛瓜1條,櫛瓜
453640,蝦花蝦10克,蝦花蝦
453640,吻仔魚10克,吻仔魚
453640,胡蘿蔔絲少許,胡蘿蔔絲
453640,九層塔1把,九層塔
453640,蛋1顆,蛋
464260,九層塔100公克,九層塔
464260,核桃100公克,核桃
464260,橄欖油100公克,橄欖油
464260,黑胡椒2公克,黑胡椒
464260,鹽5公克,鹽
464260,味精2.5公克,味精
452414,雞胸肉100克,雞胸肉
452414,九層塔葉5克,九層塔葉
452414,蘋果1顆,蘋果
452414,醬油20克,醬油
452414,糖20克,糖
452414,胡椒粉5克,胡椒粉
452414,洋蔥10克,洋蔥
452414,胡蘿蔔0.5條,胡蘿蔔
452414,蓮藕粉2克,蓮藕粉
454884,蒜頭100 克,蒜頭
454884,蔥1~2 根,蔥
454884,海鹽1 小匙,海鹽
454884,九層塔約 35克,九層塔
454884,義式香料1 大匙,義式香料
454884,Kolin 歌林多功能食物調理1台,Kolin 歌林多功能食物調理
454884,無鹽奶油250 克,無鹽奶油
454884,細砂糖1/2 大匙,細砂糖
454884,起司粉1/2 大匙,起司粉
460562,茄子2條,茄子
460562,蒜末2大匙,蒜末
460562,薑泥少許,薑泥
460562,辣椒末1條,辣椒末
460562,九層塔切絲1大匙,九層塔切絲
460562,羅漢果糖1大匙,羅漢果糖
460562,香油1小匙,香油
460562,米醋2小匙,米醋
460562,醬油3大匙,醬油
445241,蚵仔200克,蚵仔
445241,蔥花20克,蔥花
445241,薑絲10克,薑絲
445241,豆腐150克,豆腐
445241,米酒2大匙,米酒
445241,白醋2大匙,白醋
445241,香油2小匙,香油
445241,九層塔1小把,九層塔
449539,吳郭魚2尾,吳郭魚
449539,九層塔1把,九層塔
449539,豆瓣醬1小匙,豆瓣醬
449539,蒜頭6瓣,蒜頭
449539,醬油1匙,醬油
449539,蔥段2根,蔥段
449539,黑醋1大匙,黑醋
449539,辣椒1根,辣椒
449539,香油1小匙,香油
478783,冬瓜5至6公分厚一片,冬瓜
478783,香菇4朵,香菇
478783,淡味醬油1大匙,淡味醬油
478783,蝦米或蝦皮2大匙,蝦米或蝦皮
478783,香菇素蠔油1大匙,香菇素蠔油
478783,蔥或香菜適量,蔥或香菜
478783,胡椒粉少許,胡椒粉
478783,紅辣椒1條,紅辣椒
478783,薑片4片,薑片
476317,仙草2盒,仙草
476317,冬瓜磚1份,冬瓜磚
478999,冬瓜1人份,冬瓜
478999,薑適量,薑
478999,醬油1.5大匙,醬油
478999,鹽適量,鹽
478999,糖適量,糖
478999,水淹過冬瓜,水
478999,九層塔適量,九層塔
478582,水200毫升,水
478582,薑絲少許,薑絲
478582,冬瓜市售1塊,冬瓜
478582,蛤蠣市售1盒,蛤蠣
478582,排骨市售1盒,排骨
467984,香菇2朵,香菇
467984,冬瓜600克,冬瓜
467984,蠔油1大匙,蠔油
467984,金針10克,金針
467984,雞粉1小匙,雞粉
466517,冬瓜300克,冬瓜
466517,肝連肉200克,肝連肉
466517,雞粉1小匙,雞粉
466517,米酒1小匙,米酒
466517,鹽1小匙,鹽
187769,冬瓜500g,冬瓜
187769,油豆腐100g,油豆腐
187769,鹽半茶些,鹽
187769,攪肉150g,攪肉
187769,蠔油一湯匙,蠔油
187769,冬菇6隻,冬菇
187769,生粉少許,生粉
187769,水200ml,水
471099,蝦米適量,蝦米
471099,冬瓜適量,冬瓜
471099,鹽少量,鹽
471099,五花肉火鍋肉片適量,五花肉火鍋肉片
471099,味精少量,味精
471099,好勁道寬麵適量,寬麵
471099,香油適量,香油
471099,雞蛋1粒,雞蛋
472801,新鮮冬瓜1節,新鮮冬瓜
472801,黑糖粉80克,黑糖粉
472801,砂糖200克,砂糖
471942,排骨酥150克,排骨酥
471942,冬瓜一片300克,冬瓜一片
471942,薑絲2片,薑絲
