id,recipe,vege_id
476284,九層塔薑絲蛤蜊湯,20
477239,蒜香九層塔鮭魚,20
477596,蒜香九層塔三色蛋捲,20
474705,台式羅勒燒雞,20
478176,台式早午餐-九層塔厚蛋,20
476026,九層塔薑絲大蒜炒蛤蜊,20
477606,涼拌蒜香九層塔鹽水鴨,20
475123,九層塔起司烘蛋,20
470056,九層塔雜炊,20
467396,九層塔煎蛋,20
476542,九層塔芝麻厚燒餅/Vegan純素,20
467131,鐵板九層塔蛋,20
475734,十分鐘上菜-炸蒜香九層塔風味香菇,20
470474,九層塔骨燉排骨湯,20
467048,九層塔醬拌麵,20
466528,九層塔醬香豆腐,20
463326,九層塔烘蛋,20
462631,九層塔拋豬,20
466042,九層塔蛋起司吐司,20
456490,九層塔蛋,20
472236,好簡單「九層塔蛋」熱炒店必點,20
462579,九層塔起司豆腐三明治,20
461098,九層塔香蒜麵包,20
456597,九層塔菇菇,20
466635,水炒香辣九層塔牛肉絲,20
459428,青醬（九層塔版）,20
468950,10分鐘搞定！簡單又好吃的九層塔煎蛋,20
453947,三杯九層塔蛤蜊,20
452953,九層塔煎蛋餅,20
467438,法式番茄羅勒起司大圓一超簡單,20
379428,快燜鮮甜九層塔蛤蜊,20
448142,九層塔炒蛋,20
450744,九層塔炒麵腸,20
452410,蘋果加九層塔煎蛋,20
458405,羅勒蜂蜜蛋糕（無木框）,20
449881,九層塔蛋炒飯,20
465464,超下飯九層塔炒蛤蠣3分鐘就學會！,20
464974,超簡單四步驟，九層塔酥脆蚵仔酥這樣做！,20
453640,九層塔海鮮櫛瓜煎餅,20
464260,青醬（九層塔核桃青醬）風味食材／打勻,20
452414,九層塔翠蘋果炒雞肉,20
454884,九層塔香蒜奶油抹醬,20
460562,茄子也可以好看又少油！｜涼拌九層塔茄子,20
445241,九層塔蚵仔湯,20
449539,蒜香九層塔香吳郭魚,20
478783,紅燒冬瓜,45
476317,冬瓜仙草,45
478999,醬燒冬瓜,45
478582,冬瓜排骨蛤蠣湯,45
476451,冬瓜排骨湯,45
467984,香菇清蒸滷冬瓜,45
466517,冬瓜肝連湯,45
187769,煎釀油豆腐煑冬瓜,45
474135,冬瓜蛤鮮味湯,45
474677,冬瓜蛤蠣排骨湯,45
477994,荷葉冬瓜排骨湯(燜燒鍋版),45
479463,DIY古早味黑糖冬瓜蜜,45
471099,蝦米冬瓜麵,45
472801,黑糖冬瓜糖塊,45
471942,冬瓜排骨酥湯,45
466325,冬瓜盅,45
477202,奇亞籽蜂蜜醋拌冬瓜,45
472020,#276 蛤蜊冬瓜雞湯,45
467657,清燉肉燥冬瓜,45
460029,冬瓜湯,45
470966,冬瓜果凍拿鐵咖啡,45
463444,冬瓜薑雞湯,45
468453,雞肉蕈菇蒸冬瓜,45
458401,冬瓜蛤蜊湯,45
461272,香滷冬瓜,45
461452,腐乳燒冬瓜,45
464635,蝦皮冬瓜湯,45
463523,冬瓜薏仁肉片湯,45
464677,菜脯燒冬瓜,45
459512,冬瓜肉捲,45
463145,豆豉香菇燒冬瓜,45
467123,冬瓜玉米肝連肉湯,45
461790,剝皮辣椒冬瓜雞湯/煮/零廚藝,45
462080,冬瓜蘋果心太軟,45
458513,薑絲冬瓜排骨湯,45
466733,翡翠冬瓜蜜｜Vitamix調理機,45
458877,冬瓜燒松阪豬肉,45
463697,[一鍋到底] 冬瓜燒肉,45
452463,冬瓜滷,45
461876,冬瓜蓮子薏仁排骨湯,45
458781,薑絲蠔油燒冬瓜,45
460460,蝦、肉丸冬瓜湯麵缐,45
462251,黑糖冬瓜糖露 (減糖),45
468160,減脂餐2~冬瓜木耳蕃茄雞蛋湯,45
448809,滷冬瓜,45
479557,南瓜布丁,43
478985,南瓜麵線 (南瓜簡單吃懶人包),43
478143,南瓜沙拉,43
478036,南瓜小米粥,43
478970,南瓜濃湯,43
477973,~南瓜濃湯~,43
478300,南瓜梅花肉,43
476135,南瓜饅頭,43
477732,蒜香金沙栗子南瓜、烤南瓜子,43
479210,清爽版南瓜濃湯,43
477071,南瓜布蕾,43
476919,香料烤南瓜,43
475826,味噌南瓜豬,43
471965,南瓜片炒雞胸,43
472830,金沙南瓜,43
469857,煮南瓜,43
474930,清炒南瓜,43
479528,南瓜玫瑰花饅頭(奶素),43
469856,烤雞肉南瓜,43
476867,栗子南瓜豆豉肉,43
473917,南瓜蔥油餅塔,43
471342,南瓜玉米濃湯,43
475357,南瓜馬鈴薯義大利麵,43
459787,炸南瓜片,43
476831,烤南瓜鮭魚蛋白質沙拉,43
469314,南瓜塔,43
472234,栗子南瓜湯,43
467671,南瓜炒米粉（金瓜米粉）,43
468704,南瓜米粉,43
472343,南瓜炒米粉/10分鐘,43
468901,南瓜湯,43
468539,氣炸南瓜,43
470493,氣炸南瓜片,43
468326,佃煮南瓜,43
473379,南瓜洋蔥蔬菜玉米濃湯,43
470568,蒸南瓜（整顆）,43
459396,金瓜米粉,43
472762,薯泥南瓜煎餅,43
470451,南瓜粉蒸肉,43
467614,南瓜麵包,43
473604,南瓜鮮菇雞肉炊飯,43
458001,南瓜炒蛋,43
479148,培根四季豆,60
478763,四季豆炒蘑菇,60
479531,四季豆炒牛肉,60
451942,蝦醬敏豆,60
474777,辣香四季豆,60
475355,乾煸四季豆,60
474898,四季豆炒肉末,60
474543,四季豆翠綠煮法,60
473900,油炒四季豆,60
478313,干煸魚香四季豆,60
469554,四季豆炒蛋,60
476351,清爽涼拌四季豆(純素),60
476293,椒鹽豆包炒四季豆,60
472055,四季豆蒼蠅頭,60
469852,四季豆水晶蒼蠅頭,60
475071,lanni 涼拌蒜末四季豆,60
461976,四季豆醬炒玉米筍,60
474361,蝦皮蒜香四季豆,60
469125,椒鹽四季豆炒蛋,60
469346,涼拌四季豆 / 家常菜,60
476415,氣炸四季豆雞胸肉豆包卷,60
464875,金沙四季豆,60
468428,四季豆番茄炒蛋,60
457625,番茄四季豆,60
479126,香煎雞腿排同步完成炒蘑菇四季豆,60
466689,四季豆鮭魚炒飯,60
459457,四季豆炒五花肉絲,60
472594,蒜香四季豆（不用油炸）,60
470238,金沙乾煸四季豆,60
467448,四季豆炒雞丁,60
476788,榛果伍仁辣拌四季豆,60
471654,四季豆花枝豆皮卷,60
460932,四季豆捲餅,60
456620,四季豆炒香腸,60
475057,香甜鮭魚佐四季豆｜烤箱料理｜5步驟,60
431254,敏豆炒蝦仁,60
460290,四季豆肉末,60
466869,乾扁四季豆（氣炸鍋）,60
469124,四季豆炒杏鮑菇,60
466559,四季豆炒素雞,60
462489,蒜炒四季豆,60
457815,烤四季豆,60
471656,酸辣四季豆肉排絲醬,60
461659,四季豆炒雞胸肉,60
471861,阿廣四季豆（避風塘蟹口味）,60
461567,菜脯四季豆,60
467718,涼拌四季豆＊白芥末風味,60
476647,栗子地瓜蘋果汁,32
479552,地瓜布蕾,32
479553,地瓜松露巧克力,32
479551,地瓜泥沙拉,32
479550,地瓜蔬菜球,32
479554,高蛋白地瓜蛋糕,32
478739,燙地瓜葉,32
475642,蒸地瓜,32
478350,皮蛋地瓜葉,32
477635,地瓜泥蒸蛋,32
473982,地瓜圓,32
476990,地瓜布朗尼,32
476757,水晶地瓜粽,32
477936,地瓜起司蛋糕,32
475980,拔絲地瓜,32
475352,地瓜薯條（氣炸鍋）,32
474759,地瓜貝果,32
479547,雙色地瓜鯛魚粥,32
477519,香甜地瓜炒五花肉,32
479548,芋圓地瓜圓綠豆湯,32
477977,地瓜洋梨濃湯(燜燒鍋版),32
470845,地瓜蛋糕,32
478743,三色芋圓地瓜圓,32
478410,【低負擔】地瓜布朗尼,32
472793,地瓜紅豆餅,32
473169,地瓜葉煎蛋,32
477961,氣炸雞腿排 (地瓜粉),32
478078,地瓜圓/紫薯芋圓,32
478020,優格地瓜蘋果沙拉,32
476769,地瓜布朗尼蛋撻,32
472364,地瓜薑湯,32
476887,藍家小館-地瓜蒸蛋,32
468701,地瓜球,32
473434,焗烤馬鈴薯/地瓜,32
479510,大排長龍的貓頭鷹餐廳-香甜地瓜泥,32
471465,地瓜葡萄吐司,32
471659,黃金地瓜燒,32
470862,地瓜豆沙圓,32
475972,地瓜粉圓綠豆甜湯,32
470275,焗烤地瓜,32
475452,地瓜薄餅｜Vitamix調理機,32
478697,甜椒地瓜起司泥沙拉,32
474468,肉鬆地瓜起司圓,32
479016,地瓜能量早餐碗｜Vitamix調理機,32
469696,黑糖地瓜圓,32
475926,油潑辣子涼拌地瓜葉梗,32
478739,燙地瓜葉,14
477870,皮蛋地瓜葉,14
473169,地瓜葉煎蛋,14
475926,油潑辣子涼拌地瓜葉梗,14
460406,地瓜葉炒肉片,14
461635,素鬆拌炒地瓜葉,14
469343,椒香地瓜葉,14
463011,蕃薯葉,14
469901,清炒辣味地瓜葉,14
469408,地瓜葉鹹幕斯,14
461785,豆芽地瓜葉,14
467399,紅麴煮地瓜葉,14
464664,燙青菜 / 地瓜葉,14
457016,皮蛋絞肉炒地瓜葉,14
461739,皮蛋炒地瓜葉,14
458050,蒜酥拌炒地瓜葉,14
466704,廚房小白-水煮地瓜葉,14
462892,地瓜葉蛋餅（2）,14
461042,#270 蝦仁地瓜葉,14
455491,豆醬蕃薯葉,14
462028,炒地皮（地瓜葉炒皮蛋）,14
461571,lanni 鱸魚地瓜葉飯湯,14
452640,燙地瓜葉拌油蔥酥,14
456444,皮蛋地瓜葉 / 家常小菜,14
450812,地瓜葉飯糰,14
450350,肉燥燙青菜（地瓜葉）,14
462073,地瓜葉夾心溶豆 寶寶零食,14
456329,地瓜葉草仔粿,14
448364,~地瓜葉粥~,14
451856,地瓜葉炒皮蛋,14
439159,素食-豆皮地瓜葉,14
459089,私房菜秒殺地瓜葉,14
464579,十分鐘快速湯品｜小魚乾地瓜葉湯,14
447798,地瓜葉粥,14
449865,蒜香地瓜葉,14
460358,柴魚醬油拌清燙地瓜葉,14
463144,寶寶4個月副食品～地瓜葉泥#4-5M,14
447112,鮮胡椒地瓜葉,14
448818,蒜香地瓜葉 / 家常菜,14
450619,燙青菜 /日本地瓜葉 / 家常菜,14
443281,醬拌地瓜葉,14
442985,蒜拌地瓜葉,14
439662,地瓜葉蛋捲,14
443120,水炒地瓜葉,14
446916,地瓜葉炒菇菇,14
476189,涼拌大白菜,9
472702,大白菜捲,9
471026,滷大白菜,9
474469,大白菜煨豆腐湯,9
451304,包心大白菜炒火腿絲,9
463863,大白菜煎餅,9
473080,富貴花開一大白菜燒肉,9
470308,涼拌大白菜(五辛素),9
455364,絞肉炒包心大白菜,9
463746,蝦皮炒大白菜,9
449548,大白菜炒米粉,9
457864,大白菜鹹粥,9
459110,大白菜燒雞蛋豆腐,9
449672,大白菜悶油豆腐,9
