recipe_id,description,step_no
479802,▪️馬鈴薯削皮切細條，泡水去除澱粉後瀝乾,1
479802,▪️金針菇去根後剝散、火腿切絲備用 ,2
479802,▪️蒜頭切末，青蔥切段備用 ,3
479802,▪️熱鍋加油，放入蒜末爆香 ,4
479802,▪️放入馬鈴薯絲，中火翻炒，炒到微透明但還保有脆度，放入火腿拌炒 ,5
479802,▪️放入金針菇繼續翻炒 ,6
479802,▪️加入黑豆醬油、白胡椒粉調味 ,7
479802,▪️起鍋前可滴幾滴香油提香，拌入蔥段,8
479779,放油加熱後蒜頭爆炒 下豬肉炒香 在下玉米鴻禧菇一起爆炒,1
479779,白飯自己抓量下 我大約煮2杯米的量,2
479779,加雞湯調鹹淡,3
479779,下皮蛋（大小自己決定）,4
479779,煮滾倒入蛋花（攪均勻,5
479779,最後撒蔥花在攪ㄧ攪拌均勻出鍋💓,6
479774,芋頭削皮後切塊（削皮時建議戴手套） 加水沒過芋頭（喜歡喝甜湯可以多加一些水） 放入電鍋，外鍋一杯水 電鍋跳起後加入砂糖放涼備用,1
479774,煮一鍋滾水 倒入西米露大火煮至浮起 轉中小火續煮10分鐘後 蓋上鍋蓋悶15分鐘 撈起西米露倒入放涼的芋頭甜湯即完成～,2
479770,苦瓜切圈段 用湯匙把中間籽.膜都去除,1
479770,杏鮑菇.香菇.蔥.紅蘿蔔都切丁 鹹蛋切碎,2
479770,絞肉先加入塩巴後把肉甩把的有點黏性,3
479770,步驟3完成後 加入杏鮑菇丁.香菇丁.紅蘿蔔丁 拌均後加入蔥末.碎鹹蛋 陸續加入香油.米酒.醬油 再度攪拌到有點黏狀即可 (也有人會在這步加新鮮蛋黃),4
479770,把攪拌完的肉鑲入苦瓜中 我自己會塞緊一點 就不用再多用太白粉封邊,5
479770,放入電鍋蒸熟就完成啦~ 可直接吃、淋個醬吃、煮湯吃 想怎麼吃就怎麼吃~~,6
479753,高麗菜切小塊洗淨，加一匙鹽，抓一抓靜置十分鐘，豬絞肉加入所有調料攪至出黏，再下全蛋攪至充份吸收,1
479753,高麗菜出水後洗淨，放入脫水機反覆脫水2-3回至乾，高麗菜、玉米加入絞肉盆，充分攪拌均勻，包保鮮膜冷藏30分,2
479753,挖一匙餡，邊緣沾點水後對折黏緊，壓摺收口，煮熟就可以吃囉！,3
479751,蒜頭五瓣切碎爆香,1
479751,放入秋葵（清洗後去蒂斜切）、吻仔魚,2
479751,炒熟放入蔭豆,3
479751,拌勻即可起鍋。,4
479749,水過綠竹筍，冷水開始煮約30分鐘，全程蓋鍋蓋。 關火再悶10分鐘。,1
479749,冰鎮,2
